university_id,year,research_score,citation_score,research_impact,research_productivity
U01184,2024,57.8,81.0,,
U03279,2024,50.1,92.7,,
U00593,2024,54.1,96.9,,
U01620,2024,52.7,88.4,,
U02777,2024,49.3,95.5,,
U00681,2024,59.7,82.5,,
U02860,2024,51.1,91.3,,
U01337,2024,51.3,93.0,,
U03254,2024,49.5,92.3,,
U00590,2024,45.7,95.5,,
U01283,2024,56.6,86.6,,
U03406,2024,52.1,89.0,,
U00003,2024,59.0,86.3,,
U02732,2024,55.5,80.9,,
U02725,2024,50.6,92.8,,
U02946,2024,54.8,90.1,,
U03114,2024,54.1,81.7,,
U03074,2024,58.1,92.8,,
U00723,2024,59.3,85.3,,
U02774,2024,47.0,93.3,,
U01365,2024,52.3,86.2,,
U02196,2024,62.1,77.3,,
U01814,2024,45.6,86.5,,
U03397,2024,60.3,77.4,,
U02957,2024,57.6,90.6,,
U01683,2024,58.7,83.7,,
U02761,2024,42.9,87.7,,
U03076,2024,46.9,87.3,,
U03597,2024,51.0,93.4,,
U02158,2024,47.4,83.2,,
U03162,2024,50.6,92.1,,
U02916,2024,51.3,86.2,,
U03031,2024,49.1,87.3,,
U03154,2024,45.9,90.6,,
U02286,2024,66.4,53.8,,
U02910,2024,56.7,78.3,,
U03214,2024,42.9,88.3,,
U02326,2024,48.4,87.6,,
U01783,2024,42.6,97.9,,
U02950,2024,53.3,84.8,,
U02153,2024,55.6,78.1,,
U02853,2024,51.9,88.6,,
U01289,2024,47.1,86.1,,
U01076,2024,56.8,72.5,,
U01794,2024,51.0,91.3,,
U03538,2024,55.0,81.3,,
U03030,2024,46.3,87.3,,
U02271,2024,48.6,88.7,,
U03193,2024,46.1,92.4,,
U02086,2024,54.2,72.9,,
U03433,2024,44.8,90.8,,
U03316,2024,43.3,95.9,,
U01703,2024,51.5,77.2,,
U02751,2024,45.7,88.3,,
U01977,2024,57.3,69.3,,
U02758,2024,47.3,91.4,,
U01500,2024,54.8,70.8,,
U03522,2024,42.7,90.6,,
U02748,2024,51.3,85.7,,
U02781,2024,44.6,86.5,,
U01229,2024,40.7,93.9,,
U00833,2024,48.1,90.0,,
U03409,2024,49.3,83.7,,
U02851,2024,47.1,85.6,,
U02746,2024,44.4,92.5,,
U00513,2024,40.7,84.7,,
U02337,2024,51.1,79.3,,
U00353,2024,40.2,88.7,,
U03643,2024,45.0,88.5,,
U03400,2024,40.1,88.9,,
U02830,2024,47.0,88.3,,
U03476,2024,49.4,83.1,,
U00586,2024,51.5,71.3,,
U00785,2024,55.1,70.9,,
U03043,2024,40.2,93.4,,
U01551,2024,41.1,93.8,,
U01911,2024,42.6,82.9,,
U00559,2024,44.5,83.5,,
U01648,2024,65.7,50.5,,
U03431,2024,43.4,90.8,,
U00258,2024,45.8,77.5,,
U02906,2024,42.5,95.7,,
U03165,2024,46.5,84.4,,
U01294,2024,44.2,87.4,,
U01893,2024,48.1,77.9,,
U00169,2024,46.2,87.5,,
U02924,2024,38.0,86.7,,
U03376,2024,46.0,75.1,,
U02070,2024,49.6,91.0,,
U02313,2024,53.6,69.5,,
U00716,2024,37.0,85.1,,
U03067,2024,45.4,90.2,,
U00384,2024,46.6,79.4,,
U00347,2024,39.6,91.9,,
U02292,2024,63.3,49.4,,
U02339,2024,35.0,87.5,,
U02904,2024,48.1,79.7,,
U03054,2024,38.1,90.3,,
U03121,2024,47.3,83.7,,
U03286,2024,42.6,77.7,,
U02359,2024,41.2,87.9,,
U00901,2024,38.4,84.9,,
U03153,2024,42.6,76.1,,
U01789,2024,42.1,89.5,,
U02360,2024,40.8,85.0,,
U00001,2024,45.0,83.0,,
U00002,2024,43.1,79.7,,
U02723,2024,35.8,81.8,,
U00016,2024,30.0,85.8,,
U00206,2024,41.4,84.8,,
U02806,2024,41.4,81.7,,
U02819,2024,39.8,93.3,,
U00489,2024,36.5,87.5,,
U00684,2024,42.0,81.8,,
U00715,2024,35.7,86.0,,
U00732,2024,38.2,82.4,,
U02933,2024,43.4,90.2,,
U02953,2024,42.5,75.8,,
U02978,2024,33.9,80.0,,
U00878,2024,57.8,53.9,,
U02987,2024,37.0,79.9,,
U01137,2024,38.7,86.3,,
U01178,2024,46.6,72.0,,
U03032,2024,34.2,95.5,,
U03515,2024,45.0,83.5,,
U03053,2024,39.4,78.1,,
U01341,2024,33.5,91.6,,
U01347,2024,28.7,93.5,,
U03090,2024,34.7,83.2,,
U01399,2024,48.8,55.1,,
U01425,2024,55.7,54.3,,
U03139,2024,38.8,85.5,,
U01578,2024,33.6,93.3,,
U03172,2024,38.5,84.1,,
U01706,2024,49.7,71.9,,
U01718,2024,38.3,90.5,,
U03199,2024,44.7,80.4,,
U01787,2024,38.0,88.7,,
U03209,2024,40.6,84.1,,
U01853,2024,37.2,78.4,,
U01891,2024,39.0,80.1,,
U03300,2024,60.7,57.3,,
U02035,2024,40.8,92.8,,
U02084,2024,39.5,83.2,,
U03297,2024,35.6,92.7,,
U02099,2024,34.0,91.3,,
U02188,2024,49.7,83.0,,
U02276,2024,47.6,71.4,,
U02279,2024,44.9,80.1,,
U02716,2024,41.3,84.0,,
U03383,2024,38.5,87.0,,
U03598,2024,42.6,80.9,,
U03626,2024,42.9,75.2,,
U03422,2024,39.3,84.0,,
U02763,2024,35.1,80.5,,
U00254,2024,44.0,74.7,,
U02773,2024,33.9,84.2,,
U00302,2024,30.5,84.6,,
U00311,2024,28.3,84.6,,
U02814,2024,35.4,85.7,,
U00518,2024,34.6,91.4,,
U02888,2024,32.0,90.9,,
U03732,2024,46.8,53.9,,
U00675,2024,38.6,79.4,,
U00748,2024,37.8,82.7,,
U00797,2024,34.5,82.3,,
U02959,2024,35.5,85.7,,
U00837,2024,27.9,98.0,,
U01034,2024,32.6,82.3,,
U01108,2024,35.9,78.4,,
U01131,2024,28.6,90.7,,
U03011,2024,44.4,71.5,,
U01210,2024,40.0,71.0,,
U01232,2024,36.7,91.7,,
U01220,2024,35.4,88.1,,
U03514,2024,38.7,73.7,,
U01251,2024,41.3,86.4,,
U01275,2024,34.4,77.4,,
U01290,2024,34.2,78.9,,
U03061,2024,35.4,72.6,,
U01342,2024,29.3,89.6,,
U01447,2024,31.4,85.3,,
U01569,2024,41.4,73.3,,
U03167,2024,38.2,84.1,,
U01774,2024,35.6,83.4,,
U01784,2024,38.0,72.3,,
U01802,2024,36.6,81.7,,
U01823,2024,36.2,83.2,,
U01844,2024,46.7,72.2,,
U01918,2024,34.5,94.0,,
U01920,2024,27.8,76.9,,
U01989,2024,36.7,84.2,,
U02020,2024,38.2,83.2,,
U03281,2024,33.5,89.1,,
U03276,2024,36.4,87.6,,
U02071,2024,29.7,81.4,,
U03292,2024,49.5,63.1,,
U03296,2024,34.5,88.0,,
U03455,2024,26.4,84.0,,
U02096,2024,30.2,89.7,,
U03311,2024,38.4,82.0,,
U02157,2024,48.1,62.6,,
U02338,2024,44.1,57.6,,
U03583,2024,39.4,78.8,,
U03590,2024,26.9,98.3,,
U03650,2024,48.0,70.0,,
U00251,2024,43.5,68.6,,
U02791,2024,39.0,68.8,,
U02706,2024,34.1,76.1,,
U00359,2024,30.0,89.4,,
U00407,2024,32.8,92.4,,
U00474,2024,32.3,92.1,,
U00504,2024,31.6,78.9,,
U00552,2024,26.0,79.6,,
U02887,2024,32.1,84.9,,
U00565,2024,35.1,76.3,,
U02905,2024,31.8,81.0,,
U00669,2024,35.4,78.4,,
U02920,2024,33.8,76.7,,
U03509,2024,37.9,66.9,,
U00781,2024,40.4,62.0,,
U00796,2024,36.3,68.9,,
U00821,2024,28.9,77.2,,
U02982,2024,33.1,70.3,,
U03008,2024,33.3,81.6,,
U01216,2024,47.5,51.2,,
U03045,2024,38.7,72.7,,
U01395,2024,35.6,74.7,,
U03127,2024,30.4,82.3,,
U01591,2024,40.6,74.7,,
U01597,2024,38.4,74.7,,
U01640,2024,21.3,91.7,,
U03164,2024,35.1,75.8,,
U03181,2024,32.3,82.7,,
U03216,2024,33.5,74.3,,
U01840,2024,29.3,79.0,,
U02050,2024,25.8,93.5,,
U01956,2024,37.4,78.3,,
U03268,2024,36.8,82.5,,
U02025,2024,46.3,68.4,,
U02067,2024,39.5,76.9,,
U03291,2024,35.5,71.2,,
U02098,2024,34.9,78.8,,
U02125,2024,38.4,80.9,,
U03309,2024,31.8,86.5,,
U02696,2024,37.8,77.7,,
U02263,2024,31.6,84.5,,
U03373,2024,34.9,83.3,,
U02376,2024,34.5,83.2,,
U02715,2024,31.6,82.4,,
U03611,2024,34.5,74.8,,
U03625,2024,31.7,87.7,,
U03354,2024,42.9,72.4,,
U03647,2024,33.5,83.7,,
U00043,2024,27.2,71.9,,
U00125,2024,33.7,77.0,,
U00208,2024,29.9,76.3,,
U02766,2024,40.8,65.0,,
U02785,2024,29.9,72.5,,
U00318,2024,26.5,80.7,,
U02823,2024,45.5,54.0,,
U02824,2024,31.6,82.4,,
U00422,2024,38.2,75.9,,
U00446,2024,30.9,78.6,,
U02856,2024,23.7,93.7,,
U02858,2024,30.2,72.8,,
U00501,2024,38.9,64.8,,
U00576,2024,26.2,86.9,,
U02898,2024,35.2,80.9,,
U02909,2024,34.4,78.6,,
U00682,2024,22.8,85.5,,
U02926,2024,40.5,68.2,,
U00792,2024,38.1,69.1,,
U00800,2024,33.4,65.2,,
U00818,2024,44.0,47.4,,
U00842,2024,30.4,92.0,,
U00860,2024,26.9,67.8,,
U00947,2024,34.5,69.3,,
U01000,2024,30.9,79.6,,
U01046,2024,38.0,72.5,,
U03000,2024,25.9,73.1,,
U01182,2024,40.5,68.9,,
U01242,2024,41.5,62.1,,
U03066,2024,34.7,76.3,,
U01367,2024,43.1,53.6,,
U03092,2024,31.8,87.3,,
U03093,2024,26.0,91.1,,
U01414,2024,29.6,81.4,,
U03125,2024,28.3,86.9,,
U01690,2024,31.3,67.4,,
U01861,2024,37.9,69.5,,
U03287,2024,21.0,81.4,,
U03239,2024,35.1,62.9,,
U03253,2024,25.7,93.8,,
U01959,2024,34.3,85.3,,
U02030,2024,36.7,74.8,,
U03283,2024,25.9,88.0,,
U02169,2024,34.0,66.9,,
U02190,2024,24.3,85.2,,
U03325,2024,28.3,84.9,,
U03363,2024,34.8,80.5,,
U03368,2024,42.6,52.3,,
U03395,2024,31.2,80.1,,
U03681,2024,32.4,78.3,,
U00182,2024,36.6,80.6,,
U00184,2024,26.5,82.5,,
U00195,2024,21.2,84.0,,
U00203,2024,25.7,97.0,,
U00238,2024,25.3,72.7,,
U00245,2024,43.9,22.1,,
U00301,2024,23.1,82.5,,
U00305,2024,21.1,86.7,,
U02792,2024,19.2,89.3,,
U02667,2024,28.9,76.0,,
U02813,2024,23.9,86.8,,
U00339,2024,29.0,76.9,,
U02834,2024,22.7,81.2,,
U00375,2024,33.4,50.6,,
U02837,2024,34.4,74.7,,
U00395,2024,32.5,73.9,,
U00397,2024,33.1,61.9,,
U00435,2024,38.4,52.0,,
U00452,2024,27.1,65.0,,
U02849,2024,38.2,59.9,,
U00462,2024,31.7,74.4,,
U00472,2024,35.9,48.9,,
U00506,2024,35.0,68.1,,
U02875,2024,31.8,72.5,,
U00553,2024,35.2,77.1,,
U03716,2024,30.3,55.7,,
U00651,2024,30.2,65.7,,
U00674,2024,29.3,74.2,,
U02917,2024,33.2,63.2,,
U02925,2024,28.3,78.0,,
U00714,2024,27.5,82.7,,
U00719,2024,25.4,72.6,,
U00734,2024,25.2,75.4,,
U02937,2024,29.9,73.8,,
U02943,2024,36.2,66.2,,
U00766,2024,39.6,50.3,,
U00829,2024,44.0,57.3,,
U02968,2024,24.3,74.3,,
U00868,2024,23.4,65.8,,
U00872,2024,36.5,43.6,,
U00910,2024,32.6,60.2,,
U00952,2024,37.4,75.2,,
U02993,2024,36.3,66.8,,
U01037,2024,35.4,58.2,,
U02997,2024,34.1,78.2,,
U02669,2024,27.8,58.7,,
U03004,2024,29.0,77.6,,
U03005,2024,30.8,71.8,,
U01145,2024,19.9,84.5,,
U03039,2024,32.6,64.1,,
U01248,2024,26.7,68.4,,
U03042,2024,38.0,69.9,,
U03070,2024,31.4,68.8,,
U01333,2024,30.7,77.0,,
U01383,2024,28.7,69.6,,
U01385,2024,26.0,66.0,,
U03106,2024,24.6,79.6,,
U01486,2024,41.0,42.4,,
U01502,2024,36.9,63.8,,
U01508,2024,42.3,58.4,,
U01538,2024,44.3,52.9,,
U03130,2024,31.1,71.5,,
U03131,2024,26.4,67.2,,
U01546,2024,23.5,69.2,,
U03161,2024,30.5,79.4,,
U03177,2024,36.5,66.5,,
U03191,2024,31.2,80.5,,
U03194,2024,21.9,79.5,,
U01716,2024,30.2,73.5,,
U01729,2024,34.3,67.6,,
U03197,2024,35.4,71.1,,
U03198,2024,20.0,84.5,,
U01756,2024,20.5,87.0,,
U01779,2024,24.1,84.2,,
U03507,2024,33.8,57.2,,
U01808,2024,30.3,60.9,,
U01842,2024,20.7,75.6,,
U02686,2024,27.8,60.0,,
U01866,2024,16.3,80.9,,
U02000,2024,36.1,60.2,,
U03273,2024,24.6,75.1,,
U02069,2024,25.3,74.6,,
U03289,2024,26.2,82.4,,
U02083,2024,13.5,68.9,,
U02104,2024,28.2,73.3,,
U02114,2024,32.6,60.9,,
U03318,2024,28.4,71.9,,
U02692,2024,29.3,65.0,,
U02294,2024,31.3,53.4,,
U02336,2024,42.2,62.3,,
U02341,2024,24.4,73.1,,
U03372,2024,30.1,84.5,,
U02368,2024,33.5,80.2,,
U02702,2024,27.6,69.7,,
U03385,2024,27.7,90.3,,
U03569,2024,26.2,84.1,,
U03571,2024,29.9,73.1,,
U03572,2024,34.1,69.4,,
U03582,2024,23.2,82.8,,
U03401,2024,31.0,74.3,,
U03605,2024,22.0,80.6,,
U03692,2024,25.4,85.7,,
U00012,2024,23.0,68.5,,
U03711,2024,31.6,59.3,,
U00046,2024,37.7,52.8,,
U02731,2024,31.0,63.1,,
U00074,2024,15.2,72.7,,
U00117,2024,17.9,73.5,,
U00141,2024,16.3,84.8,,
U00147,2024,26.3,72.4,,
U03026,2024,22.8,73.2,,
U00194,2024,25.7,59.6,,
U00218,2024,21.5,94.4,,
U00240,2024,34.1,54.1,,
U00264,2024,24.6,47.3,,
U00272,2024,30.6,59.0,,
U02788,2024,22.4,73.8,,
U00313,2024,22.0,74.4,,
U00332,2024,36.3,52.8,,
U02802,2024,19.5,69.6,,
U02825,2024,30.9,62.4,,
U00349,2024,31.2,67.0,,
U00370,2024,26.7,76.0,,
U00413,2024,37.5,56.6,,
U00468,2024,29.4,58.8,,
U00470,2024,29.3,66.2,,
U02870,2024,22.0,65.6,,
U02863,2024,25.7,76.5,,
U02866,2024,25.8,75.3,,
U02877,2024,24.3,64.2,,
U00543,2024,22.1,72.8,,
U02892,2024,31.2,69.7,,
U00575,2024,18.4,77.9,,
U00591,2024,28.6,48.1,,
U02908,2024,24.9,74.3,,
U02934,2024,26.6,65.7,,
U02935,2024,21.8,66.9,,
U00745,2024,21.4,51.5,,
U02936,2024,17.5,81.2,,
U00778,2024,24.5,53.0,,
U02964,2024,29.7,65.8,,
U02967,2024,25.0,66.3,,
U02973,2024,34.0,70.6,,
U00980,2024,36.6,51.8,,
U01003,2024,14.4,75.7,,
U01030,2024,22.8,73.5,,
U01099,2024,24.6,73.3,,
U01140,2024,20.1,70.3,,
U03010,2024,19.4,72.4,,
U03015,2024,34.8,63.7,,
U01212,2024,38.1,51.5,,
U01235,2024,13.2,76.4,,
U01246,2024,22.9,85.3,,
U03041,2024,18.7,82.2,,
U01256,2024,19.3,77.7,,
U01299,2024,38.1,62.3,,
U01309,2024,18.5,77.4,,
U01331,2024,28.2,60.5,,
U01354,2024,24.5,60.9,,
U03088,2024,25.3,79.1,,
U01370,2024,18.5,80.0,,
U03110,2024,32.5,63.9,,
U01449,2024,25.2,67.2,,
U01463,2024,39.2,47.2,,
U01458,2024,23.9,77.3,,
U01497,2024,32.0,51.4,,
U01539,2024,27.3,74.6,,
U01541,2024,29.5,65.9,,
U03129,2024,16.4,77.8,,
U03141,2024,21.0,76.1,,
U01585,2024,22.7,75.8,,
U01600,2024,14.3,84.6,,
U01602,2024,33.7,61.5,,
U01712,2024,27.6,76.9,,
U03200,2024,34.3,56.7,,
U01770,2024,39.1,45.1,,
U02683,2024,30.5,51.2,,
U01830,2024,24.3,68.1,,
U01847,2024,14.2,78.0,,
U03226,2024,24.4,79.2,,
U01910,2024,25.6,60.1,,
U01952,2024,38.0,62.7,,
U01968,2024,22.8,77.7,,
U01971,2024,17.9,85.2,,
U03258,2024,25.6,75.9,,
U02009,2024,24.3,79.8,,
U02027,2024,27.7,65.4,,
U03347,2024,27.7,70.2,,
U03301,2024,23.4,80.1,,
U02108,2024,15.1,73.1,,
U02112,2024,17.8,84.1,,
U02265,2024,22.5,79.2,,
U02309,2024,40.0,31.8,,
U03364,2024,25.1,74.2,,
U02334,2024,24.0,61.5,,
U02269,2024,17.2,71.9,,
U02358,2024,22.1,68.8,,
U03380,2024,26.6,69.0,,
U03387,2024,25.6,75.7,,
U03614,2024,20.4,70.2,,
U03349,2024,15.0,82.6,,
U03416,2024,29.8,56.7,,
U03428,2024,29.8,67.3,,
U03662,2024,24.6,64.9,,
U00009,2024,12.6,80.4,,
U00041,2024,12.5,81.5,,
U02239,2024,13.8,58.6,,
U02240,2024,21.2,64.4,,
U00060,2024,12.8,64.8,,
U00082,2024,14.0,61.6,,
U00111,2024,23.5,71.3,,
U00113,2024,17.1,57.2,,
U00123,2024,26.3,57.9,,
U02749,2024,30.5,62.6,,
U02752,2024,30.2,57.3,,
U00219,2024,12.0,70.5,,
U00231,2024,16.4,66.4,,
U02760,2024,21.8,78.3,,
U03337,2024,23.9,65.8,,
U00248,2024,19.7,61.3,,
U02768,2024,22.2,65.4,,
U00280,2024,32.6,48.0,,
U00286,2024,26.0,48.8,,
U00292,2024,11.8,77.8,,
U00309,2024,26.6,57.4,,
U02822,2024,9.6,79.0,,
U00342,2024,15.4,83.4,,
U02828,2024,23.8,71.0,,
U00344,2024,20.9,65.8,,
U00345,2024,16.1,82.0,,
U02209,2024,20.0,45.6,,
U02210,2024,38.7,42.9,,
U00386,2024,34.6,47.2,,
U00431,2024,32.2,50.2,,
U00450,2024,20.8,66.8,,
U00469,2024,16.6,88.2,,
U02869,2024,19.9,62.6,,
U00480,2024,14.9,69.6,,
U00494,2024,19.1,63.3,,
U02873,2024,22.5,40.7,,
U00517,2024,15.1,71.0,,
U02878,2024,12.8,71.8,,
U00560,2024,14.2,87.5,,
U00567,2024,25.8,60.2,,
U00570,2024,15.2,73.8,,
U03714,2024,25.7,32.6,,
U03715,2024,31.4,34.5,,
U03718,2024,37.0,31.3,,
U00584,2024,27.6,62.4,,
U02902,2024,12.8,82.6,,
U02590,2024,33.1,38.1,,
U00618,2024,35.3,44.5,,
U00643,2024,36.0,36.7,,
U02617,2024,22.5,54.1,,
U00655,2024,17.2,71.3,,
U02911,2024,24.7,65.5,,
U00701,2024,18.3,71.7,,
U00729,2024,13.9,66.7,,
U00738,2024,15.0,83.4,,
U00751,2024,19.3,79.6,,
U00769,2024,26.8,50.4,,
U02948,2024,30.1,68.4,,
U02949,2024,10.5,72.3,,
U00787,2024,27.4,72.9,,
U02958,2024,13.4,67.2,,
U00811,2024,26.4,44.7,,
U00864,2024,13.9,70.6,,
U00867,2024,19.6,72.4,,
U00887,2024,24.1,52.0,,
U00890,2024,24.1,59.7,,
U00897,2024,24.1,70.6,,
U02983,2024,22.7,80.4,,
U00934,2024,21.4,71.7,,
U00951,2024,16.4,54.5,,
U00957,2024,35.7,56.3,,
U00959,2024,26.5,62.0,,
U00984,2024,34.9,40.0,,
U00998,2024,29.0,55.7,,
U01002,2024,15.0,74.8,,
U01011,2024,24.3,51.8,,
U01026,2024,14.1,77.5,,
U01048,2024,19.2,78.3,,
U02249,2024,13.4,62.7,,
U01042,2024,18.3,58.3,,
U01045,2024,17.1,59.3,,
U02999,2024,28.7,44.4,,
U01067,2024,20.9,57.4,,
U03002,2024,19.9,74.7,,
U01084,2024,15.0,75.6,,
U01100,2024,27.0,49.2,,
U01126,2024,15.8,61.5,,
U01144,2024,21.7,43.6,,
U01161,2024,27.2,48.1,,
U01173,2024,37.6,49.1,,
U01190,2024,11.2,67.6,,
U01241,2024,22.5,57.6,,
U03038,2024,23.2,58.6,,
U01272,2024,12.4,65.9,,
U03049,2024,18.9,58.0,,
U01276,2024,21.4,61.1,,
U01285,2024,11.3,34.2,,
U01301,2024,25.0,46.3,,
U01304,2024,15.6,76.5,,
U02675,2024,19.0,67.5,,
U01311,2024,18.5,46.3,,
U01318,2024,22.6,75.6,,
U03073,2024,24.6,61.5,,
U01327,2024,31.0,50.1,,
U01328,2024,14.7,63.9,,
U01334,2024,12.4,65.6,,
U03095,2024,30.3,59.3,,
U01382,2024,20.0,58.8,,
U01393,2024,22.7,61.9,,
U03124,2024,27.2,53.7,,
U01443,2024,31.6,50.1,,
U01436,2024,21.2,79.4,,
U01440,2024,16.2,69.1,,
U01477,2024,27.0,38.3,,
U01527,2024,19.4,71.2,,
U01525,2024,27.1,43.2,,
U01493,2024,33.7,43.8,,
U01504,2024,23.0,59.1,,
U01479,2024,20.2,64.7,,
U01480,2024,19.5,71.7,,
U01542,2024,18.8,66.6,,
U03132,2024,25.6,64.7,,
U03134,2024,25.0,62.4,,
U03146,2024,22.1,74.4,,
U01577,2024,28.1,57.8,,
U01583,2024,15.9,60.0,,
U01589,2024,18.7,64.3,,
U01595,2024,14.7,64.0,,
U01605,2024,36.6,31.6,,
U01622,2024,20.1,61.2,,
U01625,2024,20.9,60.8,,
U01626,2024,20.4,61.2,,
U01632,2024,25.0,63.5,,
U02236,2024,16.1,68.7,,
U01635,2024,18.2,75.9,,
U03743,2024,22.5,77.9,,
U01652,2024,18.0,54.4,,
U01654,2024,21.1,62.5,,
U03173,2024,22.5,69.8,,
U01662,2024,16.2,67.9,,
U03176,2024,22.6,72.2,,
U01672,2024,22.6,78.2,,
U02681,2024,25.2,38.8,,
U02659,2024,21.0,57.3,,
U01717,2024,25.0,55.4,,
U01754,2024,12.0,80.8,,
U01758,2024,16.3,66.1,,
U01775,2024,11.6,71.9,,
U01776,2024,18.4,84.1,,
U02663,2024,18.2,70.3,,
U01811,2024,24.0,76.1,,
U03212,2024,20.5,57.4,,
U03217,2024,25.3,58.3,,
U01828,2024,33.4,55.5,,
U01843,2024,23.0,46.1,,
U01871,2024,16.9,69.3,,
U03225,2024,21.8,64.5,,
U03232,2024,20.5,63.6,,
U03235,2024,21.1,58.7,,
U03240,2024,24.7,66.3,,
U01904,2024,10.2,77.8,,
U01937,2024,22.9,49.9,,
U03257,2024,26.9,60.7,,
U02019,2024,21.7,63.9,,
U02022,2024,13.5,74.7,,
U02049,2024,12.8,79.3,,
U03288,2024,15.6,66.6,,
U02082,2024,22.2,62.3,,
U02090,2024,14.6,71.7,,
U02091,2024,22.0,61.1,,
U02119,2024,20.6,65.7,,
U02184,2024,18.5,54.3,,
U02698,2024,16.8,58.0,,
U03322,2024,20.5,65.5,,
U02198,2024,20.9,56.9,,
U02202,2024,11.9,84.8,,
U03358,2024,16.7,54.5,,
U02311,2024,16.0,90.6,,
U02316,2024,32.3,57.3,,
U03375,2024,22.6,77.3,,
U03379,2024,20.2,73.1,,
U02362,2024,22.4,62.0,,
U02369,2024,14.4,62.2,,
U01667,2024,23.4,55.0,,
U03545,2024,11.7,69.3,,
U03589,2024,15.6,68.3,,
U03405,2024,29.9,55.6,,
U03352,2024,23.8,59.3,,
U03350,2024,16.0,66.5,,
U03631,2024,21.7,62.2,,
U03423,2024,14.7,64.7,,
U03633,2024,22.1,61.2,,
U03637,2024,13.3,66.9,,
U03430,2024,20.3,62.1,,
U03652,2024,15.1,70.8,,
U03655,2024,25.0,61.0,,
U03672,2024,18.0,66.8,,
U03697,2024,19.0,75.4,,
U03703,2024,19.8,82.5,,
U03331,2024,21.9,54.4,,
U00037,2024,10.7,58.1,,
U00064,2024,10.9,69.2,,
U02733,2024,15.1,55.0,,
U00072,2024,17.7,58.2,,
U02734,2024,19.5,52.3,,
U00114,2024,24.0,51.1,,
U00127,2024,14.0,62.3,,
U00133,2024,20.5,60.8,,
U03333,2024,19.6,48.4,,
U00165,2024,10.2,66.4,,
U00167,2024,16.8,66.3,,
U00173,2024,19.5,35.2,,
U00185,2024,12.1,75.6,,
U00189,2024,23.6,53.3,,
U00225,2024,24.4,59.4,,
U00224,2024,9.7,77.3,,
