university_id,year,source,total_students,students_per_staff,international_student_percentage,international_student_is_true_percentage,international_student_score_qs,faculty_student_score_qs
U00019,2025,QS_2025,,,,False,99.4,20.6
U00020,2024,THE_2024,38518,11.2,10.0,True,,
U00020,2025,QS_2025,,,,False,13.4,95.0
U00021,2025,QS_2025,,,,False,87.0,94.2
U00022,2024,THE_2024,7753,7.3,23.0,True,,
U00022,2023,WUR_2023,8279.0,8.0,23.0,True,,
U00022,2025,QS_2025,,,,False,56.6,57.0
U00023,2024,THE_2024,11924,5.2,21.0,True,,
U00023,2023,WUR_2023,13482.0,5.9,21.0,True,,
U00023,2025,QS_2025,,,,False,63.3,100.0
U00024,2025,QS_2025,,,,False,65.0,98.1
U00025,2024,THE_2024,79282,25.8,27.0,True,,
U00025,2023,WUR_2023,77468.0,25.8,26.0,True,,
U00025,2025,QS_2025,,,,False,96.1,44.9
U00026,2025,QS_2025,,,,False,100.0,91.2
U00027,2025,QS_2025,,,,False,99.8,65.5
U00028,2024,THE_2024,35506,44.4,39.0,True,,
U00028,2025,QS_2025,,,,False,98.6,76.8
U00029,2024,THE_2024,30821,11.9,29.0,True,,
U00029,2025,QS_2025,,,,False,89.6,62.3
U00030,2025,QS_2025,,,,False,96.2,34.6
U00031,2024,THE_2024,28620,16.1,13.0,True,,
U00031,2023,WUR_2023,26209.0,15.1,10.0,True,,
U00031,2025,QS_2025,,,,False,16.9,83.1
U00032,2024,THE_2024,15772,4.1,28.0,True,,
U00032,2023,WUR_2023,17584.0,4.7,29.0,True,,
U00032,2025,QS_2025,,,,False,95.8,100.0
U00033,2024,THE_2024,26345,10.3,15.0,True,,
U00033,2023,WUR_2023,26112.0,10.5,15.0,True,,
U00033,2025,QS_2025,,,,False,29.7,89.3
U00034,2024,THE_2024,25914,5.2,35.0,True,,
U00034,2023,WUR_2023,21781.0,4.5,38.0,True,,
U00034,2025,QS_2025,,,,False,97.0,100.0
U00035,2025,QS_2025,,,,False,99.2,51.3
U00036,2025,QS_2025,,,,False,87.5,64.2
U00037,2024,THE_2024,58460,43.1,38.0,True,,
U00037,2023,WUR_2023,58725.0,42.5,41.0,True,,
U00037,2025,QS_2025,,,,False,100.0,9.4
U00038,2024,THE_2024,58987,19.4,34.0,True,,
U00038,2023,WUR_2023,56452.0,18.9,34.0,True,,
U00038,2025,QS_2025,,,,False,72.8,34.5
U00039,2024,THE_2024,38101,12.6,9.0,True,,
U00039,2023,WUR_2023,36318.0,11.9,9.0,True,,
U00039,2025,QS_2025,,,,False,35.1,79.7
U00040,2024,THE_2024,32835,13.9,53.0,True,,
U00040,2023,WUR_2023,28965.0,11.8,52.0,True,,
U00040,2025,QS_2025,,,,False,99.5,64.3
U00041,2024,THE_2024,42847,39.1,42.0,True,,
U00041,2025,QS_2025,,,,False,100.0,21.2
U00042,2024,THE_2024,42634,9.6,15.0,True,,
U00042,2023,WUR_2023,42434.0,9.7,16.0,True,,
U00042,2025,QS_2025,,,,False,22.3,35.4
U00043,2024,THE_2024,48461,11.8,42.0,True,,
U00043,2023,WUR_2023,36337.0,9.8,42.0,True,,
U00043,2025,QS_2025,,,,False,98.1,90.5
U00044,2024,THE_2024,45783,8.1,16.0,True,,
U00044,2023,WUR_2023,45912.0,8.2,17.0,True,,
U00044,2025,QS_2025,,,,False,39.2,80.3
U00045,2024,THE_2024,38472,12.6,9.0,True,,
U00045,2023,WUR_2023,37478.0,11.5,8.0,True,,
U00045,2025,QS_2025,,,,False,19.6,58.6
U00046,2024,THE_2024,6073,6.8,42.0,True,,
U00046,2023,WUR_2023,5999.0,6.7,41.0,True,,
U00046,2025,QS_2025,,,,False,98.0,95.9
U00047,2024,THE_2024,9794,19.9,30.0,True,,
U00047,2025,QS_2025,,,,False,95.4,56.7
U00048,2024,THE_2024,48169,12.0,16.0,True,,
U00048,2025,QS_2025,,,,False,15.9,54.7
U00049,2024,THE_2024,21262,15.9,30.0,True,,
U00049,2023,WUR_2023,20299.0,16.1,31.0,True,,
U00049,2025,QS_2025,,,,False,91.4,39.4
U00050,2024,THE_2024,21817,9.0,11.0,True,,
U00050,2023,WUR_2023,22269.0,9.2,12.0,True,,
U00050,2025,QS_2025,,,,False,19.0,94.2
U00051,2024,THE_2024,18894,13.1,18.0,True,,
U00051,2023,WUR_2023,19175.0,13.2,20.0,True,,
U00051,2025,QS_2025,,,,False,52.0,97.6
U00052,2024,THE_2024,11945,12.6,72.0,True,,
U00052,2023,WUR_2023,11120.0,11.9,73.0,True,,
U00052,2025,QS_2025,,,,False,100.0,35.1
U00053,2025,QS_2025,,,,False,10.9,60.2
U00054,2024,THE_2024,27335,14.8,31.0,True,,
U00054,2025,QS_2025,,,,False,89.8,36.7
U00055,2024,THE_2024,28649,13.2,36.0,True,,
U00055,2023,WUR_2023,29157.0,14.5,32.0,True,,
U00055,2025,QS_2025,,,,False,87.5,21.4
U00056,2024,THE_2024,18961,13.9,17.0,True,,
U00056,2025,QS_2025,,,,False,51.2,84.2
U00057,2025,QS_2025,,,,False,91.9,65.0
U00058,2024,THE_2024,13562,11.9,44.0,True,,
U00058,2023,WUR_2023,14305.0,12.9,47.0,True,,
U00058,2025,QS_2025,,,,False,99.1,40.9
U00059,2025,QS_2025,,,,False,37.6,38.5
U00060,2025,QS_2025,,,,False,64.2,75.7
U00061,2024,THE_2024,15527,3.9,18.0,True,,
U00061,2023,WUR_2023,16091.0,4.2,24.0,True,,
U00061,2025,QS_2025,,,,False,61.0,100.0
U00062,2024,THE_2024,9076,13.2,67.0,True,,
U00062,2025,QS_2025,,,,False,100.0,89.5
U00063,2024,THE_2024,49435,37.3,19.0,True,,
U00063,2025,QS_2025,,,,False,47.7,7.1
U00064,2024,THE_2024,41527,14.5,22.0,True,,
U00064,2023,WUR_2023,41443.0,13.9,21.0,True,,
U00064,2025,QS_2025,,,,False,46.7,43.0
U00065,2025,QS_2025,,,,False,84.0,15.5
U00066,2024,THE_2024,48558,16.4,8.0,True,,
U00066,2023,WUR_2023,49171.0,17.4,10.0,True,,
U00066,2025,QS_2025,,,,False,11.7,8.1
U00067,2024,THE_2024,22324,16.3,31.0,True,,
U00067,2025,QS_2025,,,,False,45.7,73.0
U00068,2024,THE_2024,24744,11.1,13.0,True,,
U00068,2025,QS_2025,,,,False,27.4,25.5
U00069,2025,QS_2025,,,,False,99.1,35.5
U00070,2024,THE_2024,50250,19.6,23.0,True,,
U00070,2023,WUR_2023,48674.0,17.4,22.0,True,,
U00070,2025,QS_2025,,,,False,56.3,6.4
U00071,2025,QS_2025,,,,False,64.6,71.7
U00072,2024,THE_2024,40596,12.0,19.0,True,,
U00072,2023,WUR_2023,37030.0,11.3,28.0,True,,
U00072,2025,QS_2025,,,,False,44.3,50.8
U00073,2024,THE_2024,31662,13.0,24.0,True,,
U00073,2023,WUR_2023,44443.0,14.9,19.0,True,,
U00073,2025,QS_2025,,,,False,58.6,99.8
U00074,2024,THE_2024,13269,15.9,26.0,True,,
U00074,2023,WUR_2023,13329.0,16.4,20.0,True,,
U00074,2025,QS_2025,,,,False,65.9,62.3
U00075,2024,THE_2024,30349,12.0,18.0,True,,
U00075,2023,WUR_2023,28545.0,11.5,18.0,True,,
U00075,2025,QS_2025,,,,False,73.4,55.5
U00076,2024,THE_2024,49486,10.1,16.0,True,,
U00076,2023,WUR_2023,47727.0,10.8,18.0,True,,
U00076,2025,QS_2025,,,,False,32.8,28.6
U00077,2024,THE_2024,19382,22.4,26.0,True,,
U00077,2023,WUR_2023,18405.0,21.3,28.0,True,,
U00077,2025,QS_2025,,,,False,99.8,13.1
U00078,2024,THE_2024,32270,14.4,43.0,True,,
U00078,2025,QS_2025,,,,False,99.4,38.0
U00079,2024,THE_2024,9781,10.3,19.0,True,,
U00079,2023,WUR_2023,10037.0,10.1,21.0,True,,
U00079,2025,QS_2025,,,,False,50.9,77.7
U00080,2024,THE_2024,32625,15.2,32.0,True,,
U00080,2023,WUR_2023,31820.0,15.0,34.0,True,,
U00080,2025,QS_2025,,,,False,89.3,39.0
U00081,2024,THE_2024,19920,13.0,35.0,True,,
U00081,2023,WUR_2023,21175.0,13.7,39.0,True,,
U00081,2025,QS_2025,,,,False,98.0,40.7
U00082,2025,QS_2025,,,,False,99.3,17.9
U00083,2024,THE_2024,33450,14.4,32.0,True,,
U00083,2023,WUR_2023,33990.0,14.6,36.0,True,,
U00083,2025,QS_2025,,,,False,88.5,36.4
U00084,2025,QS_2025,,,,False,53.6,99.4
U00085,2024,THE_2024,9928,9.6,17.0,True,,
U00085,2023,WUR_2023,9878.0,9.5,17.0,True,,
U00085,2025,QS_2025,,,,False,30.5,84.1
U00086,2024,THE_2024,22274,10.4,10.0,True,,
U00086,2023,WUR_2023,22485.0,10.5,10.0,True,,
U00086,2025,QS_2025,,,,False,12.2,45.2
U00087,2025,QS_2025,,,,False,88.0,20.2
U00088,2024,THE_2024,28223,37.4,25.0,True,,
U00088,2025,QS_2025,,,,False,86.0,9.8
U00089,2024,THE_2024,19575,14.0,32.0,True,,
U00089,2023,WUR_2023,18425.0,14.1,35.0,True,,
U00089,2025,QS_2025,,,,False,84.9,26.3
U00090,2025,QS_2025,,,,False,28.0,25.0
U00091,2025,QS_2025,,,,False,45.2,11.4
U00092,2025,QS_2025,,,,False,2.1,21.4
U00093,2024,THE_2024,30448,15.0,3.0,True,,
U00093,2023,WUR_2023,31578.0,16.0,4.0,True,,
U00093,2025,QS_2025,,,,False,3.7,23.7
U00094,2024,THE_2024,32680,9.6,37.0,True,,
U00094,2025,QS_2025,,,,False,91.5,99.7
U00095,2025,QS_2025,,,,False,2.3,37.4
U00096,2024,THE_2024,33730,22.8,27.0,True,,
U00096,2023,WUR_2023,32338.0,21.6,28.0,True,,
U00096,2025,QS_2025,,,,False,71.0,39.1
U00097,2025,QS_2025,,,,False,43.7,5.0
U00098,2024,THE_2024,3300,10.5,5.0,True,,
U00098,2025,QS_2025,,,,False,2.7,99.9
U00099,2024,THE_2024,34914,43.3,29.0,True,,
U00099,2023,WUR_2023,39738.0,50.0,28.0,True,,
U00099,2025,QS_2025,,,,False,85.5,6.3
U00100,2024,THE_2024,31728,4.3,14.0,True,,
U00100,2023,WUR_2023,31519.0,4.2,16.0,True,,
U00100,2025,QS_2025,,,,False,15.6,99.8
U00101,2024,THE_2024,6801,8.5,15.0,True,,
U00101,2023,WUR_2023,7268.0,8.6,10.0,True,,
U00101,2025,QS_2025,,,,False,47.6,86.0
U00102,2025,QS_2025,,,,False,42.9,39.4
U00103,2024,THE_2024,24749,13.3,17.0,True,,
U00103,2023,WUR_2023,25548.0,15.3,17.0,True,,
U00103,2025,QS_2025,,,,False,81.1,52.0
U00104,2024,THE_2024,10325,12.4,46.0,True,,
U00104,2023,WUR_2023,9770.0,12.3,47.0,True,,
U00104,2025,QS_2025,,,,False,100.0,64.7
U00105,2025,QS_2025,,,,False,96.8,52.5
U00106,2023,WUR_2023,32532.0,17.1,13.0,True,,
U00106,2025,QS_2025,,,,False,19.4,31.0
U00107,2024,THE_2024,17409,11.8,12.0,True,,
U00107,2023,WUR_2023,17812.0,12.4,14.0,True,,
U00107,2025,QS_2025,,,,False,11.4,97.8
U00108,2024,THE_2024,33520,16.0,27.0,True,,
U00108,2023,WUR_2023,32875.0,15.1,31.0,True,,
U00108,2025,QS_2025,,,,False,70.5,32.8
U00109,2024,THE_2024,10410,7.7,28.0,True,,
U00109,2023,WUR_2023,9599.0,6.9,26.0,True,,
U00109,2025,QS_2025,,,,False,87.7,99.1
U00110,2024,THE_2024,25608,14.7,24.0,True,,
U00110,2023,WUR_2023,25003.0,13.7,22.0,True,,
U00110,2025,QS_2025,,,,False,42.8,92.2
U00111,2024,THE_2024,38978,25.7,19.0,True,,
U00111,2025,QS_2025,,,,False,56.8,5.8
U00112,2024,THE_2024,26677,10.8,29.0,True,,
U00112,2023,WUR_2023,27243.0,10.8,31.0,True,,
U00112,2025,QS_2025,,,,False,88.9,38.3
U00113,2024,THE_2024,14427,20.4,23.0,True,,
U00113,2023,WUR_2023,13306.0,19.7,21.0,True,,
U00113,2025,QS_2025,,,,False,40.1,33.2
U00114,2024,THE_2024,32079,28.0,29.0,True,,
U00114,2023,WUR_2023,28826.0,24.7,40.0,True,,
U00114,2025,QS_2025,,,,False,66.4,20.3
U00115,2024,THE_2024,36904,24.2,23.0,True,,
U00115,2023,WUR_2023,34306.0,23.2,23.0,True,,
U00115,2025,QS_2025,,,,False,71.3,6.5
U00116,2024,THE_2024,41209,9.9,13.0,True,,
U00116,2023,WUR_2023,40701.0,10.0,14.0,True,,
U00116,2025,QS_2025,,,,False,23.6,74.3
U00117,2024,THE_2024,22887,15.9,5.0,True,,
U00117,2023,WUR_2023,23059.0,15.8,5.0,True,,
U00117,2025,QS_2025,,,,False,5.7,59.4
U00118,2025,QS_2025,,,,False,1.3,14.4
U00119,2024,THE_2024,20967,12.5,15.0,True,,
U00119,2023,WUR_2023,21548.0,13.3,15.0,True,,
U00119,2025,QS_2025,,,,False,31.7,73.8
U00120,2024,THE_2024,22205,14.6,45.0,True,,
U00120,2023,WUR_2023,20505.0,13.1,46.0,True,,
U00120,2025,QS_2025,,,,False,99.2,30.4
U00121,2024,THE_2024,30176,33.0,24.0,True,,
U00121,2025,QS_2025,,,,False,49.5,3.3
U00122,2024,THE_2024,10081,8.4,36.0,True,,
U00122,2023,WUR_2023,9084.0,8.8,35.0,True,,
U00122,2025,QS_2025,,,,False,96.5,68.1
U00123,2024,THE_2024,32574,24.0,34.0,True,,
U00123,2023,WUR_2023,32692.0,23.6,34.0,True,,
U00123,2025,QS_2025,,,,False,91.4,5.2
U00124,2024,THE_2024,23402,19.4,19.0,True,,
U00124,2025,QS_2025,,,,False,41.7,80.5
U00125,2024,THE_2024,44083,14.2,24.0,True,,
U00125,2023,WUR_2023,40549.0,12.6,22.0,True,,
U00125,2025,QS_2025,,,,False,74.1,17.3
U00126,2025,QS_2025,,,,False,35.1,7.4
U00127,2024,THE_2024,23405,20.7,25.0,True,,
U00127,2023,WUR_2023,23361.0,21.3,31.0,True,,
U00127,2025,QS_2025,,,,False,74.8,16.6
U00128,2024,THE_2024,29774,20.3,13.0,True,,
U00128,2023,WUR_2023,30365.0,20.7,7.0,True,,
U00128,2025,QS_2025,,,,False,89.8,26.7
U00129,2024,THE_2024,25650,14.8,26.0,True,,
U00129,2025,QS_2025,,,,False,68.6,39.2
U00130,2024,THE_2024,37926,13.3,18.0,True,,
U00130,2023,WUR_2023,37639.0,13.1,18.0,True,,
U00130,2025,QS_2025,,,,False,51.3,23.5
U00131,2024,THE_2024,8536,10.4,31.0,True,,
U00131,2023,WUR_2023,8632.0,10.9,30.0,True,,
U00131,2025,QS_2025,,,,False,85.8,61.4
U00132,2024,THE_2024,60522,22.2,9.0,True,,
U00132,2023,WUR_2023,72604.0,28.2,10.0,True,,
U00132,2025,QS_2025,,,,False,8.0,5.0
U00133,2025,QS_2025,,,,False,12.3,3.7
U00134,2024,THE_2024,30371,51.7,22.0,True,,
U00134,2023,WUR_2023,30561.0,69.0,27.0,True,,
U00134,2025,QS_2025,,,,False,91.6,9.1
U00135,2024,THE_2024,20252,8.1,5.0,True,,
U00135,2025,QS_2025,,,,False,5.1,94.7
U00136,2024,THE_2024,10611,21.4,27.0,True,,
U00136,2023,WUR_2023,10240.0,21.0,24.0,True,,
U00136,2025,QS_2025,,,,False,82.7,35.7
U00137,2024,THE_2024,31318,37.4,31.0,True,,
U00137,2023,WUR_2023,35929.0,42.9,29.0,True,,
U00137,2025,QS_2025,,,,False,92.0,23.2
U00138,2024,THE_2024,16764,10.1,18.0,True,,
U00138,2023,WUR_2023,16873.0,10.1,14.0,True,,
U00138,2025,QS_2025,,,,False,78.8,80.4
U00139,2024,THE_2024,10103,15.4,17.0,True,,
U00139,2023,WUR_2023,9513.0,13.8,19.0,True,,
U00139,2025,QS_2025,,,,False,63.1,50.5
U00140,2025,QS_2025,,,,False,4.5,8.0
U00141,2024,THE_2024,15385,13.9,38.0,True,,
U00141,2023,WUR_2023,14380.0,12.8,39.0,True,,
U00141,2025,QS_2025,,,,False,92.3,27.7
U00142,2024,THE_2024,35072,19.3,21.0,True,,
U00142,2025,QS_2025,,,,False,51.7,21.3
U00143,2024,THE_2024,7318,9.8,26.0,True,,
U00143,2023,WUR_2023,7068.0,9.2,28.0,True,,
U00143,2025,QS_2025,,,,False,94.1,62.5
U00144,2024,THE_2024,26996,13.5,9.0,True,,
U00144,2023,WUR_2023,26475.0,13.5,10.0,True,,
U00144,2025,QS_2025,,,,False,11.9,30.8
U00145,2024,THE_2024,36711,16.7,8.0,True,,
U00145,2023,WUR_2023,36426.0,16.5,8.0,True,,
U00145,2025,QS_2025,,,,False,7.6,35.6
U00146,2024,THE_2024,24850,12.1,28.0,True,,
U00146,2023,WUR_2023,23492.0,11.6,17.0,True,,
U00146,2025,QS_2025,,,,False,96.4,46.4
U00147,2025,QS_2025,,,,False,74.8,58.0
U00148,2024,THE_2024,19001,11.3,27.0,True,,
U00148,2023,WUR_2023,18365.0,11.1,26.0,True,,
U00148,2025,QS_2025,,,,False,92.0,58.8
U00149,2024,THE_2024,60540,13.9,3.0,True,,
U00149,2025,QS_2025,,,,False,9.5,41.6
U00150,2025,QS_2025,,,,False,1.5,17.3
U00151,2024,THE_2024,15280,15.8,31.0,True,,
U00151,2023,WUR_2023,14955.0,15.4,34.0,True,,
U00151,2025,QS_2025,,,,False,80.0,18.3
U00152,2024,THE_2024,44514,16.1,11.0,True,,
U00152,2023,WUR_2023,45465.0,16.0,13.0,True,,
U00152,2025,QS_2025,,,,False,12.4,11.4
U00153,2024,THE_2024,15224,13.0,12.0,True,,
U00153,2023,WUR_2023,15224.0,12.8,12.0,True,,
U00153,2025,QS_2025,,,,False,19.6,84.7
U00154,2024,THE_2024,64427,20.5,6.0,True,,
U00154,2023,WUR_2023,62931.0,21.3,8.0,True,,
U00154,2025,QS_2025,,,,False,12.1,4.4
U00155,2024,THE_2024,18865,8.4,40.0,True,,
U00155,2023,WUR_2023,19078.0,8.7,40.0,True,,
U00155,2025,QS_2025,,,,False,97.6,40.4
U00156,2024,THE_2024,30782,7.7,8.0,True,,
U00156,2023,WUR_2023,31080.0,7.9,8.0,True,,
U00156,2025,QS_2025,,,,False,11.1,72.9
U00157,2024,THE_2024,15899,18.1,28.0,True,,
U00157,2023,WUR_2023,15404.0,18.6,27.0,True,,
U00157,2025,QS_2025,,,,False,81.2,98.6
U00158,2024,THE_2024,33874,36.0,25.0,True,,
U00158,2025,QS_2025,,,,False,70.0,18.1
U00159,2025,QS_2025,,,,False,54.1,76.0
U00160,2024,THE_2024,31942,28.8,29.0,True,,
U00160,2025,QS_2025,,,,False,83.5,49.3
U00161,2024,THE_2024,12399,18.2,16.0,True,,
U00161,2023,WUR_2023,11728.0,17.2,17.0,True,,
U00161,2025,QS_2025,,,,False,38.0,45.9
U00162,2024,THE_2024,19344,13.2,21.0,True,,
U00162,2025,QS_2025,,,,False,57.6,77.1
U00163,2024,THE_2024,24303,5.9,10.0,True,,
U00163,2023,WUR_2023,24229.0,5.7,15.0,True,,
U00163,2025,QS_2025,,,,False,54.2,99.3
U00164,2024,THE_2024,59814,11.8,10.0,True,,
U00164,2023,WUR_2023,61128.0,20.3,12.0,True,,
U00164,2025,QS_2025,,,,False,34.3,28.7
U00165,2025,QS_2025,,,,False,26.3,12.4
U00166,2024,THE_2024,25955,14.2,32.0,True,,
U00166,2025,QS_2025,,,,False,85.4,37.8
U00167,2024,THE_2024,18220,7.7,13.0,True,,
U00167,2023,WUR_2023,18568.0,7.8,14.0,True,,
U00167,2025,QS_2025,,,,False,14.1,78.4
U00168,2024,THE_2024,16328,26.1,22.0,True,,
U00168,2023,WUR_2023,17440.0,29.1,27.0,True,,
U00168,2025,QS_2025,,,,False,56.3,17.0
U00169,2024,THE_2024,41487,37.6,12.0,True,,
U00169,2023,WUR_2023,39437.0,35.6,12.0,True,,
U00169,2025,QS_2025,,,,False,21.4,78.5
U00170,2025,QS_2025,,,,False,72.2,30.2
U00171,2024,THE_2024,21961,13.6,13.0,True,,
U00171,2025,QS_2025,,,,False,19.2,13.8
U00172,2024,THE_2024,15945,16.6,31.0,True,,
U00172,2023,WUR_2023,15720.0,16.4,32.0,True,,
U00172,2025,QS_2025,,,,False,78.6,13.1
U00173,2024,THE_2024,17659,8.2,10.0,True,,
U00173,2023,WUR_2023,18263.0,8.4,11.0,True,,
U00173,2025,QS_2025,,,,False,12.1,76.2
U00174,2024,THE_2024,29283,20.8,29.0,True,,
U00174,2025,QS_2025,,,,False,24.3,15.7
U00175,2025,QS_2025,,,,False,16.5,11.5
U00176,2024,THE_2024,28254,30.9,22.0,True,,
U00176,2025,QS_2025,,,,False,56.7,63.8
U00177,2024,THE_2024,13825,7.3,22.0,True,,
U00177,2023,WUR_2023,14420.0,7.8,24.0,True,,
U00177,2025,QS_2025,,,,False,72.4,99.7
U00178,2024,THE_2024,25540,27.5,18.0,True,,
U00178,2023,WUR_2023,25860.0,28.5,20.0,True,,
U00178,2025,QS_2025,,,,False,17.2,7.7
U00179,2025,QS_2025,,,,False,24.2,28.7
U00180,2025,QS_2025,,,,False,1.9,14.2
U00181,2024,THE_2024,20863,12.7,26.0,True,,
U00181,2025,QS_2025,,,,False,86.9,46.0
U00182,2024,THE_2024,46013,14.3,13.0,True,,
U00182,2023,WUR_2023,46799.0,14.6,13.0,True,,
U00182,2025,QS_2025,,,,False,28.0,23.5
U00183,2025,QS_2025,,,,False,100.0,99.9
U00184,2024,THE_2024,19505,16.1,31.0,True,,
U00184,2023,WUR_2023,17665.0,14.4,28.0,True,,
U00184,2025,QS_2025,,,,False,75.6,43.0
U00185,2025,QS_2025,,,,False,10.6,62.5
U00186,2024,THE_2024,28815,15.0,27.0,True,,
U00186,2025,QS_2025,,,,False,67.7,36.1
U00187,2024,THE_2024,2024,7.9,11.0,True,,
U00187,2023,WUR_2023,2171.0,8.6,11.0,True,,
U00187,2025,QS_2025,,,,False,11.7,97.0
U00188,2024,THE_2024,33577,10.2,8.0,True,,
U00188,2023,WUR_2023,33636.0,10.1,8.0,True,,
U00188,2025,QS_2025,,,,False,10.2,57.2
U00189,2024,THE_2024,38366,27.2,26.0,True,,
U00189,2025,QS_2025,,,,False,77.8,3.5
U00190,2025,QS_2025,,,,False,90.4,12.5
U00191,2025,QS_2025,,,,False,20.4,16.5
U00192,2024,THE_2024,31632,11.3,15.0,True,,
U00192,2023,WUR_2023,30153.0,10.8,12.0,True,,
U00192,2025,QS_2025,,,,False,26.5,29.1
U00193,2025,QS_2025,,,,False,26.6,5.4
U00194,2024,THE_2024,21698,11.9,13.0,True,,
U00194,2023,WUR_2023,20891.0,10.7,12.0,True,,
U00194,2025,QS_2025,,,,False,78.2,60.9
U00195,2024,THE_2024,56066,15.0,5.0,True,,
U00195,2023,WUR_2023,55412.0,15.2,6.0,True,,
U00195,2025,QS_2025,,,,False,4.9,14.0
U00196,2024,THE_2024,13127,4.0,19.0,True,,
U00196,2023,WUR_2023,13190.0,4.2,20.0,True,,
U00196,2025,QS_2025,,,,False,33.9,93.8
U00197,2024,THE_2024,40988,32.7,18.0,True,,
U00197,2023,WUR_2023,43080.0,33.9,25.0,True,,
U00197,2025,QS_2025,,,,False,63.8,4.6
U00198,2025,QS_2025,,,,False,10.4,29.1
U00199,2024,THE_2024,34012,18.8,24.0,True,,
U00199,2023,WUR_2023,33560.0,18.7,21.0,True,,
U00199,2025,QS_2025,,,,False,66.2,18.1
U00200,2024,THE_2024,48870,19.7,14.0,True,,
U00200,2025,QS_2025,,,,False,37.2,7.4
U00201,2024,THE_2024,50906,11.9,6.0,True,,
U00201,2023,WUR_2023,33931.0,10.6,14.0,True,,
U00201,2025,QS_2025,,,,False,15.0,54.3
U00202,2024,THE_2024,4737,12.5,74.0,True,,
U00202,2023,WUR_2023,4468.0,11.9,76.0,True,,
U00202,2025,QS_2025,,,,False,100.0,19.1
U00203,2024,THE_2024,25409,37.3,20.0,True,,
U00203,2023,WUR_2023,24523.0,36.0,20.0,True,,
U00203,2025,QS_2025,,,,False,47.6,4.6
U00204,2025,QS_2025,,,,False,8.7,32.4
U00205,2025,QS_2025,,,,False,96.5,99.0
U00206,2024,THE_2024,20895,17.2,41.0,True,,
U00206,2025,QS_2025,,,,False,98.2,28.6
U00207,2025,QS_2025,,,,False,7.1,55.7
U00208,2025,QS_2025,,,,False,10.6,39.5
U00209,2024,THE_2024,24995,24.2,5.0,True,,
U00209,2023,WUR_2023,23834.0,23.0,7.0,True,,
U00209,2025,QS_2025,,,,False,7.0,4.2
U00210,2024,THE_2024,13979,16.2,12.0,True,,
U00210,2023,WUR_2023,13711.0,16.3,11.0,True,,
U00210,2025,QS_2025,,,,False,11.1,28.0
U00211,2024,THE_2024,4495,9.6,1.0,True,,
U00211,2023,WUR_2023,3990.0,8.8,1.0,True,,
U00211,2025,QS_2025,,,,False,1.5,37.9
U00212,2025,QS_2025,,,,False,33.7,24.6
U00213,2024,THE_2024,35164,37.9,14.0,True,,
