university_id,year,source,research_score,citation_score,research_impact
U00058,2023,WUR_2023,81.8,98.7,90.25
U00059,2025,QS_2025,,50.0,
U00060,2025,QS_2025,,29.1,
U00061,2025,QS_2025,,35.1,
U00061,2024,THE_2024,76.1,96.2,86.15
U00061,2023,WUR_2023,76.2,95.7,85.95
U00062,2025,QS_2025,,100.0,
U00062,2024,THE_2024,52.4,91.1,71.75
U00063,2025,QS_2025,,91.0,
U00063,2024,THE_2024,74.9,91.9,83.4
U00064,2025,QS_2025,,72.3,
U00064,2024,THE_2024,60.8,83.7,72.25
U00064,2023,WUR_2023,58.3,76.6,67.44999999999999
U00065,2025,QS_2025,,66.9,
U00066,2025,QS_2025,,76.7,
U00066,2024,THE_2024,75.7,91.0,83.35
U00066,2023,WUR_2023,73.1,87.5,80.3
U00067,2025,QS_2025,,45.0,
U00067,2024,THE_2024,46.6,72.0,59.3
U00068,2025,QS_2025,,44.3,
U00068,2024,THE_2024,54.8,70.8,62.8
U00069,2025,QS_2025,,37.7,
U00070,2025,QS_2025,,77.5,
U00070,2024,THE_2024,81.5,85.2,83.35
U00070,2023,WUR_2023,78.9,78.1,78.5
U00071,2025,QS_2025,,1.6,
U00072,2025,QS_2025,,67.0,
U00072,2024,THE_2024,78.4,97.6,88.0
U00072,2023,WUR_2023,77.2,98.2,87.7
U00073,2025,QS_2025,,35.0,
U00073,2024,THE_2024,66.1,82.4,74.25
U00073,2023,WUR_2023,55.2,79.1,67.15
U00074,2025,QS_2025,,86.1,
U00074,2024,THE_2024,57.8,81.0,69.4
U00074,2023,WUR_2023,53.8,68.4,61.1
U00075,2025,QS_2025,,44.6,
U00075,2024,THE_2024,56.6,86.6,71.6
U00075,2023,WUR_2023,55.5,81.0,68.25
U00076,2025,QS_2025,,78.8,
U00076,2024,THE_2024,83.5,98.2,90.85
U00076,2023,WUR_2023,82.8,98.9,90.85
U00077,2025,QS_2025,,98.8,
U00077,2024,THE_2024,48.6,88.7,68.65
U00077,2023,WUR_2023,48.1,85.6,66.85
U00078,2025,QS_2025,,32.5,
U00078,2024,THE_2024,51.8,96.8,74.3
U00079,2025,QS_2025,,76.4,
U00079,2024,THE_2024,59.6,89.7,74.65
U00079,2023,WUR_2023,58.0,89.5,73.75
U00080,2025,QS_2025,,40.5,
U00080,2024,THE_2024,49.3,95.5,72.4
U00080,2023,WUR_2023,46.2,95.2,70.7
U00081,2025,QS_2025,,83.4,
U00081,2024,THE_2024,50.1,92.7,71.4
U00081,2023,WUR_2023,47.5,92.3,69.9
U00082,2025,QS_2025,,87.0,
U00083,2025,QS_2025,,39.8,
U00083,2024,THE_2024,49.1,87.3,68.2
U00083,2023,WUR_2023,47.8,79.3,63.55
U00084,2025,QS_2025,,32.7,
U00085,2025,QS_2025,,43.1,
U00085,2024,THE_2024,63.3,49.4,56.349999999999994
U00085,2023,WUR_2023,58.2,31.0,44.6
U00086,2025,QS_2025,,54.9,
U00086,2024,THE_2024,65.7,50.5,58.1
U00086,2023,WUR_2023,60.9,31.8,46.35
U00087,2025,QS_2025,,58.4,
U00088,2025,QS_2025,,97.7,
U00088,2024,THE_2024,43.3,95.9,69.6
U00089,2025,QS_2025,,40.9,
U00089,2024,THE_2024,44.5,83.5,64.0
U00089,2023,WUR_2023,44.6,70.0,57.3
U00090,2025,QS_2025,,55.4,
U00091,2025,QS_2025,,54.3,
U00092,2025,QS_2025,,28.5,
U00093,2025,QS_2025,,8.8,
U00093,2024,THE_2024,34.3,67.6,50.949999999999996
U00093,2023,WUR_2023,31.9,66.2,49.05
U00094,2025,QS_2025,,4.1,
U00094,2024,THE_2024,75.2,33.9,54.55
U00095,2025,QS_2025,,2.4,
U00096,2025,QS_2025,,61.3,
U00096,2024,THE_2024,55.5,80.9,68.2
U00096,2023,WUR_2023,52.7,72.9,62.800000000000004
U00097,2025,QS_2025,,71.7,
U00098,2025,QS_2025,,96.9,
U00098,2024,THE_2024,51.5,77.2,64.35
U00099,2025,QS_2025,,71.9,
U00099,2024,THE_2024,64.8,78.9,71.85
U00099,2023,WUR_2023,64.5,66.1,65.3
U00100,2025,QS_2025,,23.1,
U00100,2024,THE_2024,51.1,91.3,71.2
U00100,2023,WUR_2023,47.5,87.2,67.35
U00101,2025,QS_2025,,78.0,
U00101,2024,THE_2024,38.7,86.3,62.5
U00101,2023,WUR_2023,35.9,80.3,58.099999999999994
U00102,2025,QS_2025,,68.4,
U00103,2025,QS_2025,,42.3,
U00103,2024,THE_2024,55.0,81.3,68.15
U00103,2023,WUR_2023,55.7,75.2,65.45
U00104,2025,QS_2025,,49.2,
U00104,2024,THE_2024,42.6,77.7,60.150000000000006
U00104,2023,WUR_2023,41.4,67.8,54.599999999999994
U00105,2025,QS_2025,,43.9,
U00106,2025,QS_2025,,79.5,
U00106,2023,WUR_2023,66.0,91.2,78.6
U00107,2025,QS_2025,,23.9,
U00107,2024,THE_2024,66.4,53.8,60.1
U00107,2023,WUR_2023,62.3,36.8,49.55
U00108,2025,QS_2025,,37.6,
U00108,2024,THE_2024,45.9,90.6,68.25
U00108,2023,WUR_2023,44.1,86.6,65.35
U00109,2025,QS_2025,,84.4,
U00109,2024,THE_2024,47.4,83.2,65.3
U00109,2023,WUR_2023,44.9,73.2,59.05
U00110,2025,QS_2025,,40.1,
U00110,2024,THE_2024,53.4,91.8,72.6
U00110,2023,WUR_2023,50.7,87.5,69.1
U00111,2025,QS_2025,,40.2,
U00111,2024,THE_2024,49.7,71.9,60.800000000000004
U00112,2025,QS_2025,,41.3,
U00112,2024,THE_2024,54.1,94.3,74.2
U00112,2023,WUR_2023,56.1,92.9,74.5
U00113,2025,QS_2025,,73.6,
U00113,2024,THE_2024,43.1,79.7,61.400000000000006
U00113,2023,WUR_2023,40.4,67.5,53.95
U00114,2025,QS_2025,,52.8,
U00114,2024,THE_2024,78.9,94.1,86.5
U00114,2023,WUR_2023,75.9,91.4,83.65
U00115,2025,QS_2025,,78.9,
U00115,2024,THE_2024,49.3,83.7,66.5
U00115,2023,WUR_2023,46.4,71.0,58.7
U00116,2025,QS_2025,,23.7,
U00116,2024,THE_2024,67.5,85.5,76.5
U00116,2023,WUR_2023,62.9,78.7,70.8
U00117,2025,QS_2025,,49.6,
U00117,2024,THE_2024,57.6,90.6,74.1
U00117,2023,WUR_2023,58.5,86.6,72.55
U00118,2025,QS_2025,,79.1,
U00119,2025,QS_2025,,55.7,
U00119,2024,THE_2024,50.6,92.1,71.35
U00119,2023,WUR_2023,48.5,89.0,68.75
U00120,2025,QS_2025,,62.8,
U00120,2024,THE_2024,42.6,97.9,70.25
U00120,2023,WUR_2023,41.3,97.7,69.5
U00121,2025,QS_2025,,93.4,
U00121,2024,THE_2024,42.9,75.2,59.05
U00122,2025,QS_2025,,48.2,
U00122,2024,THE_2024,35.6,83.4,59.5
U00122,2023,WUR_2023,38.7,79.6,59.15
U00123,2025,QS_2025,,77.7,
U00123,2024,THE_2024,36.2,83.2,59.7
U00123,2023,WUR_2023,32.7,71.8,52.25
U00124,2025,QS_2025,,41.3,
U00124,2024,THE_2024,54.2,72.9,63.550000000000004
U00125,2025,QS_2025,,58.0,
U00125,2024,THE_2024,58.8,92.5,75.65
U00125,2023,WUR_2023,58.6,90.4,74.5
U00126,2025,QS_2025,,27.0,
U00127,2025,QS_2025,,46.4,
U00127,2024,THE_2024,41.3,84.0,62.65
U00127,2023,WUR_2023,40.3,73.9,57.1
U00128,2025,QS_2025,,64.5,
U00128,2024,THE_2024,49.6,91.0,70.3
U00128,2023,WUR_2023,50.4,87.1,68.75
U00129,2025,QS_2025,,38.7,
U00129,2024,THE_2024,41.1,93.8,67.45
U00130,2025,QS_2025,,52.5,
U00130,2024,THE_2024,67.8,87.2,77.5
U00130,2023,WUR_2023,66.3,80.9,73.6
U00131,2025,QS_2025,,94.5,
U00131,2024,THE_2024,42.9,87.7,65.3
U00131,2023,WUR_2023,44.1,86.5,65.3
U00132,2025,QS_2025,,45.3,
U00132,2024,THE_2024,48.1,77.9,63.0
U00132,2023,WUR_2023,44.9,67.7,56.3
U00133,2025,QS_2025,,46.6,
U00134,2025,QS_2025,,79.6,
U00134,2024,THE_2024,44.2,87.4,65.80000000000001
U00134,2023,WUR_2023,44.6,76.1,60.349999999999994
U00135,2025,QS_2025,,97.7,
U00135,2024,THE_2024,66.3,88.2,77.25
U00136,2025,QS_2025,,79.3,
U00136,2024,THE_2024,51.5,71.3,61.4
U00136,2023,WUR_2023,49.8,55.5,52.65
U00137,2025,QS_2025,,13.0,
U00137,2024,THE_2024,60.3,77.4,68.85
U00137,2023,WUR_2023,59.3,65.1,62.199999999999996
U00138,2025,QS_2025,,14.1,
U00138,2024,THE_2024,27.8,58.7,43.25
U00138,2023,WUR_2023,23.9,47.1,35.5
U00139,2025,QS_2025,,77.4,
U00139,2024,THE_2024,46.6,79.4,63.0
U00139,2023,WUR_2023,44.5,64.4,54.45
U00140,2025,QS_2025,,11.2,
U00141,2025,QS_2025,,69.6,
U00141,2024,THE_2024,40.7,93.9,67.30000000000001
U00141,2023,WUR_2023,40.0,96.9,68.45
U00142,2025,QS_2025,,54.5,
U00142,2024,THE_2024,62.7,93.0,77.85
U00143,2025,QS_2025,,87.9,
U00143,2024,THE_2024,45.6,86.5,66.05
U00143,2023,WUR_2023,39.7,84.4,62.050000000000004
U00144,2025,QS_2025,,63.8,
U00144,2024,THE_2024,59.0,86.3,72.65
U00144,2023,WUR_2023,60.0,77.6,68.8
U00145,2025,QS_2025,,93.0,
U00145,2024,THE_2024,61.7,85.3,73.5
U00145,2023,WUR_2023,58.2,74.3,66.25
U00146,2025,QS_2025,,19.6,
U00146,2024,THE_2024,27.8,60.0,43.9
U00146,2023,WUR_2023,25.3,43.2,34.25
U00147,2025,QS_2025,,22.1,
U00148,2025,QS_2025,,25.7,
U00148,2024,THE_2024,30.5,51.2,40.85
U00148,2023,WUR_2023,28.2,28.8,28.5
U00149,2025,QS_2025,,34.4,
U00149,2024,THE_2024,28.6,90.7,59.650000000000006
U00150,2025,QS_2025,,77.4,
U00151,2025,QS_2025,,52.0,
U00151,2024,THE_2024,35.1,80.5,57.8
U00151,2023,WUR_2023,33.8,73.8,53.8
U00152,2025,QS_2025,,50.3,
U00152,2024,THE_2024,52.3,86.2,69.25
U00152,2023,WUR_2023,55.6,78.8,67.2
U00153,2025,QS_2025,,25.4,
U00153,2024,THE_2024,55.7,54.3,55.0
U00153,2023,WUR_2023,54.1,39.7,46.900000000000006
U00154,2025,QS_2025,,64.3,
U00154,2024,THE_2024,62.1,77.3,69.7
U00154,2023,WUR_2023,54.8,63.2,59.0
U00155,2025,QS_2025,,62.4,
U00155,2024,THE_2024,38.0,86.7,62.35
U00155,2023,WUR_2023,35.4,81.8,58.599999999999994
U00156,2025,QS_2025,,47.2,
U00156,2024,THE_2024,60.3,93.9,77.1
U00156,2023,WUR_2023,59.7,93.3,76.5
U00157,2025,QS_2025,,41.3,
U00157,2024,THE_2024,59.8,93.8,76.8
U00157,2023,WUR_2023,60.2,93.2,76.7
U00158,2025,QS_2025,,63.3,
U00158,2024,THE_2024,54.1,96.9,75.5
U00159,2025,QS_2025,,19.3,
U00160,2025,QS_2025,,41.2,
U00160,2024,THE_2024,57.2,94.5,75.85
U00161,2025,QS_2025,,99.3,
U00161,2024,THE_2024,47.0,93.3,70.15
U00161,2023,WUR_2023,46.5,90.7,68.6
U00162,2025,QS_2025,,28.5,
U00162,2024,THE_2024,40.4,62.0,51.2
U00163,2025,QS_2025,,1.4,
U00163,2024,THE_2024,11.1,27.1,19.1
U00163,2023,WUR_2023,10.8,26.2,18.5
U00164,2025,QS_2025,,7.9,
U00164,2024,THE_2024,29.4,58.8,44.099999999999994
U00164,2023,WUR_2023,34.7,60.5,47.6
U00165,2025,QS_2025,,38.1,
U00166,2025,QS_2025,,36.6,
U00166,2024,THE_2024,40.2,93.4,66.80000000000001
U00167,2025,QS_2025,,27.9,
U00167,2024,THE_2024,47.5,51.2,49.35
U00167,2023,WUR_2023,42.5,34.8,38.65
U00168,2025,QS_2025,,94.6,
U00168,2024,THE_2024,39.3,84.0,61.65
U00168,2023,WUR_2023,38.2,74.8,56.5
U00169,2025,QS_2025,,21.5,
U00169,2024,THE_2024,59.3,85.3,72.3
U00169,2023,WUR_2023,60.1,77.8,68.95
U00170,2025,QS_2025,,42.5,
U00171,2025,QS_2025,,46.8,
U00171,2024,THE_2024,47.0,88.3,67.65
U00172,2025,QS_2025,,65.7,
U00172,2024,THE_2024,40.6,84.1,62.349999999999994
U00172,2023,WUR_2023,39.6,78.5,59.05
U00173,2025,QS_2025,,26.0,
U00173,2024,THE_2024,44.0,47.4,45.7
U00173,2023,WUR_2023,40.8,32.2,36.5
U00174,2025,QS_2025,,84.7,
U00174,2024,THE_2024,36.5,87.5,62.0
U00175,2025,QS_2025,,59.5,
U00176,2025,QS_2025,,35.6,
U00176,2024,THE_2024,51.3,93.0,72.15
U00177,2025,QS_2025,,47.7,
U00177,2024,THE_2024,57.2,97.5,77.35
U00177,2023,WUR_2023,56.8,98.2,77.5
U00178,2025,QS_2025,,97.8,
U00178,2024,THE_2024,64.7,96.9,80.80000000000001
U00178,2023,WUR_2023,61.5,96.2,78.85
U00179,2025,QS_2025,,91.7,
U00180,2025,QS_2025,,5.9,
U00181,2025,QS_2025,,40.5,
U00181,2024,THE_2024,29.3,65.0,47.15
U00182,2025,QS_2025,,3.8,
U00182,2024,THE_2024,26.2,43.1,34.65
U00182,2023,WUR_2023,23.8,27.6,25.700000000000003
U00183,2025,QS_2025,,100.0,
U00184,2025,QS_2025,,40.1,
U00184,2024,THE_2024,44.8,90.8,67.8
U00184,2023,WUR_2023,44.0,85.9,64.95
U00185,2025,QS_2025,,2.4,
U00186,2025,QS_2025,,30.0,
U00186,2024,THE_2024,39.6,91.9,65.75
U00187,2025,QS_2025,,93.5,
U00187,2024,THE_2024,46.8,53.9,50.349999999999994
U00187,2023,WUR_2023,46.2,47.4,46.8
U00188,2025,QS_2025,,5.1,
U00188,2024,THE_2024,27.0,49.2,38.1
U00188,2023,WUR_2023,24.7,44.3,34.5
U00189,2025,QS_2025,,81.3,
U00189,2024,THE_2024,46.5,84.4,65.45
U00190,2025,QS_2025,,73.8,
U00191,2025,QS_2025,,54.7,
U00192,2025,QS_2025,,96.9,
U00192,2024,THE_2024,53.6,69.5,61.55
U00192,2023,WUR_2023,52.3,46.1,49.2
U00193,2025,QS_2025,,42.6,
U00194,2025,QS_2025,,33.6,
U00194,2024,THE_2024,43.4,90.2,66.8
U00194,2023,WUR_2023,43.6,87.9,65.75
U00195,2025,QS_2025,,91.9,
U00195,2024,THE_2024,45.0,88.5,66.75
U00195,2023,WUR_2023,40.5,89.2,64.85
U00196,2025,QS_2025,,78.4,
U00196,2024,THE_2024,45.7,95.5,70.6
U00196,2023,WUR_2023,46.0,98.0,72.0
U00197,2025,QS_2025,,73.6,
U00197,2024,THE_2024,34.6,91.4,63.0
U00197,2023,WUR_2023,33.0,83.2,58.1
U00198,2025,QS_2025,,21.0,
U00199,2025,QS_2025,,40.3,
U00199,2024,THE_2024,41.4,81.7,61.55
U00199,2023,WUR_2023,40.2,75.9,58.050000000000004
U00200,2025,QS_2025,,47.1,
U00200,2024,THE_2024,46.2,87.5,66.85
U00201,2025,QS_2025,,40.0,
U00201,2024,THE_2024,19.9,84.5,52.2
U00201,2023,WUR_2023,32.9,76.3,54.599999999999994
U00202,2025,QS_2025,,23.9,
U00202,2024,THE_2024,26.3,57.9,42.1
U00202,2023,WUR_2023,21.3,45.6,33.45
U00203,2025,QS_2025,,55.0,
U00203,2024,THE_2024,49.4,83.1,66.25
U00203,2023,WUR_2023,50.4,72.8,61.599999999999994
U00204,2025,QS_2025,,41.9,
U00205,2025,QS_2025,,62.6,
U00206,2025,QS_2025,,40.6,
U00206,2024,THE_2024,38.0,88.7,63.35
U00207,2025,QS_2025,,2.1,
U00208,2025,QS_2025,,31.2,
U00209,2025,QS_2025,,99.4,
U00209,2024,THE_2024,49.7,83.0,66.35
U00209,2023,WUR_2023,51.2,72.0,61.6
U00210,2025,QS_2025,,49.6,
U00210,2024,THE_2024,42.3,58.4,50.349999999999994
U00210,2023,WUR_2023,42.6,47.2,44.900000000000006
U00211,2025,QS_2025,,99.9,
U00211,2024,THE_2024,57.8,53.9,55.849999999999994
U00211,2023,WUR_2023,56.9,33.1,45.0
U00212,2025,QS_2025,,52.2,
U00213,2025,QS_2025,,59.9,
U00213,2024,THE_2024,42.1,89.5,65.8
U00214,2025,QS_2025,,38.8,
U00214,2024,THE_2024,35.1,75.8,55.45
U00214,2023,WUR_2023,34.5,70.2,52.35
U00215,2025,QS_2025,,20.3,
U00215,2024,THE_2024,39.2,47.2,43.2
U00216,2025,QS_2025,,32.1,
U00216,2024,THE_2024,56.7,78.3,67.5
U00216,2023,WUR_2023,58.7,64.2,61.45
U00217,2025,QS_2025,,77.7,
U00217,2024,THE_2024,35.4,88.1,61.75
U00218,2025,QS_2025,,55.0,
U00218,2024,THE_2024,58.1,92.8,75.45
U00218,2023,WUR_2023,57.7,89.7,73.7
U00219,2025,QS_2025,,52.7,
U00219,2024,THE_2024,44.3,52.9,48.599999999999994
U00219,2023,WUR_2023,46.7,34.9,40.8
U00220,2025,QS_2025,,3.4,
U00221,2025,QS_2025,,63.7,
U00221,2024,THE_2024,51.0,93.4,72.2
U00221,2023,WUR_2023,52.2,87.5,69.85
U00222,2025,QS_2025,,20.5,
U00223,2025,QS_2025,,90.2,
U00224,2025,QS_2025,,94.9,
U00225,2025,QS_2025,,32.4,
U00225,2024,THE_2024,34.4,77.4,55.900000000000006
U00225,2023,WUR_2023,32.6,61.0,46.8
U00226,2025,QS_2025,,61.0,
U00226,2024,THE_2024,46.3,87.3,66.8
U00226,2023,WUR_2023,47.6,83.0,65.3
U00227,2025,QS_2025,,70.3,
U00228,2025,QS_2025,,17.2,
U00229,2025,QS_2025,,7.5,
U00229,2024,THE_2024,32.2,50.2,41.2
U00230,2025,QS_2025,,62.8,
U00230,2024,THE_2024,47.1,86.1,66.6
U00230,2023,WUR_2023,49.6,75.5,62.55
U00231,2025,QS_2025,,49.9,
U00231,2024,THE_2024,45.0,83.5,64.25
U00231,2023,WUR_2023,44.1,77.3,60.7
U00232,2025,QS_2025,,24.3,
U00233,2025,QS_2025,,61.3,
U00233,2024,THE_2024,46.0,75.1,60.55
U00233,2023,WUR_2023,46.4,57.2,51.8
U00234,2025,QS_2025,,28.5,
U00235,2025,QS_2025,,84.7,
U00235,2024,THE_2024,31.0,74.3,52.65
U00235,2023,WUR_2023,28.1,66.4,47.25
U00236,2025,QS_2025,,45.7,
U00237,2025,QS_2025,,32.0,
U00237,2024,THE_2024,35.8,81.8,58.8
U00237,2023,WUR_2023,34.1,89.8,61.95
U00238,2025,QS_2025,,33.6,
U00238,2024,THE_2024,42.9,88.3,65.6
U00238,2023,WUR_2023,40.5,87.0,63.75
U00239,2025,QS_2025,,1.7,
U00240,2025,QS_2025,,27.4,
U00240,2024,THE_2024,28.2,60.5,44.35
U00240,2023,WUR_2023,25.8,39.7,32.75
U00241,2025,QS_2025,,51.6,
U00242,2025,QS_2025,,70.0,
U00242,2024,THE_2024,48.1,62.6,55.35
U00242,2023,WUR_2023,48.2,43.8,46.0
U00243,2025,QS_2025,,60.6,
U00243,2024,THE_2024,40.7,84.7,62.7
U00243,2023,WUR_2023,40.4,88.2,64.3
U00244,2025,QS_2025,,32.1,
U00244,2024,THE_2024,34.1,69.4,51.75
U00244,2023,WUR_2023,34.0,53.2,43.6
U00245,2025,QS_2025,,99.1,
U00246,2025,QS_2025,,8.0,
U00246,2024,THE_2024,33.1,61.9,47.5
U00246,2023,WUR_2023,31.0,49.7,40.35
U00247,2025,QS_2025,,56.8,
U00247,2024,THE_2024,35.6,92.7,64.15
U00247,2023,WUR_2023,34.2,89.0,61.6
U00248,2025,QS_2025,,53.0,
U00248,2024,THE_2024,48.5,96.0,72.25
U00248,2023,WUR_2023,47.5,96.5,72.0
U00249,2025,QS_2025,,14.7,
U00249,2024,THE_2024,30.4,82.3,56.349999999999994
U00249,2023,WUR_2023,30.3,84.7,57.5
U00250,2025,QS_2025,,28.9,
U00250,2024,THE_2024,17.9,73.5,45.7
U00250,2023,WUR_2023,14.8,89.6,52.199999999999996
U00251,2025,QS_2025,,10.1,
U00252,2025,QS_2025,,99.8,
U00252,2024,THE_2024,55.1,70.9,63.0
U00252,2023,WUR_2023,46.9,49.0,47.95
U00253,2025,QS_2025,,61.4,
U00253,2024,THE_2024,28.9,77.2,53.05
U00253,2023,WUR_2023,28.2,57.4,42.8
U00254,2025,QS_2025,,16.2,
U00254,2024,THE_2024,54.8,90.1,72.44999999999999
U00254,2023,WUR_2023,53.8,83.9,68.85
U00255,2025,QS_2025,,62.5,
U00255,2024,THE_2024,37.8,82.7,60.25
U00256,2025,QS_2025,,2.6,
U00256,2024,THE_2024,17.1,29.2,23.15
U00256,2023,WUR_2023,25.8,15.3,20.55
U00257,2025,QS_2025,,65.2,
U00257,2024,THE_2024,33.4,65.2,49.3
U00257,2023,WUR_2023,31.1,48.3,39.7
U00258,2025,QS_2025,,5.5,
U00258,2024,THE_2024,29.9,55.6,42.75
U00258,2023,WUR_2023,27.4,42.6,35.0
U00259,2025,QS_2025,,61.6,
U00259,2024,THE_2024,40.2,88.7,64.45
U00259,2023,WUR_2023,40.6,90.7,65.65
