university_id,year,total_students,students_per_staff,international_student_percentage,stats_female_male_ratio,source,female_male_ratio
U2847,2024,22887.0,15.9,5.0,67 : 33,THE 2024,
U1628,2024,45875.0,14.2,15.0,48 : 52,THE 2024,
U2663,2024,8536.0,10.4,31.0,56 : 44,THE 2024,
U2956,2024,63500.0,13.3,14.0,50 : 50,THE 2024,
U3365,2024,31704.0,19.2,18.0,57 : 43,THE 2024,
U2063,2024,10410.0,7.7,28.0,32 : 68,THE 2024,
U3042,2024,20967.0,12.5,15.0,66 : 34,THE 2024,
U2809,2024,19417.0,34.4,17.0,53 : 47,THE 2024,
U2916,2024,33450.0,14.4,32.0,59 : 41,THE 2024,
U3034,2024,33520.0,16.0,27.0,54 : 46,THE 2024,
U2116,2024,17409.0,11.8,12.0,28 : 72,THE 2024,
U2803,2024,48114.0,16.7,9.0,56 : 44,THE 2024,
U3093,2024,9855.0,7.3,34.0,50 : 50,THE 2024,
U2153,2024,18778.0,22.2,34.0,61 : 39,THE 2024,
U1723,2024,22205.0,14.6,45.0,54 : 46,THE 2024,
U2840,2024,29240.0,58.5,13.0,58 : 42,THE 2024,
U2058,2024,20425.0,49.6,29.0,35 : 65,THE 2024,
U2748,2024,35844.0,16.5,8.0,45 : 55,THE 2024,
U1253,2024,21337.0,19.6,57.0,60 : 40,THE 2024,
U1051,2024,21448.0,20.5,25.0,29 : 71,THE 2024,
U1730,2024,23004.0,18.2,12.0,57 : 43,THE 2024,
U3309,2024,24749.0,13.3,17.0,60 : 40,THE 2024,
U2915,2024,14478.0,10.5,23.0,,THE 2024,
U3276,2024,19382.0,22.4,26.0,50 : 50,THE 2024,
U3072,2024,26305.0,5.4,10.0,56 : 44,THE 2024,
U2000,2024,23402.0,19.4,19.0,,THE 2024,
U3294,2024,19505.0,16.1,31.0,56 : 44,THE 2024,
U3189,2024,28223.0,37.4,25.0,50 : 50,THE 2024,
U1648,2024,3300.0,10.5,5.0,,THE 2024,
U2653,2024,35663.0,24.4,31.0,57 : 43,THE 2024,
U1902,2024,49117.0,15.9,5.0,,THE 2024,
U2660,2024,44365.0,15.3,11.0,64 : 36,THE 2024,
U1451,2024,24744.0,11.1,13.0,41 : 59,THE 2024,
U2577,2024,61690.0,16.9,18.0,66 : 34,THE 2024,
U2650,2024,45517.0,19.9,7.0,56 : 44,THE 2024,
U2685,2024,74105.0,24.7,11.0,57 : 43,THE 2024,
U1194,2024,15385.0,13.9,38.0,51 : 49,THE 2024,
U0817,2024,57663.0,15.5,4.0,,THE 2024,
U3273,2024,36904.0,24.2,23.0,47 : 53,THE 2024,
U2746,2024,31299.0,28.7,17.0,,THE 2024,
U2648,2024,16168.0,31.8,17.0,56 : 44,THE 2024,
U0509,2024,6226.0,7.4,16.0,49 : 51,THE 2024,
U2160,2024,29719.0,29.4,17.0,45 : 55,THE 2024,
U0338,2024,10294.0,8.8,25.0,51 : 49,THE 2024,
U3410,2024,56066.0,15.0,5.0,,THE 2024,
U3265,2024,25953.0,8.9,11.0,54 : 46,THE 2024,
U2726,2024,21961.0,13.6,13.0,54 : 46,THE 2024,
U2486,2024,25409.0,37.3,20.0,54 : 46,THE 2024,
U0579,2024,10611.0,21.4,27.0,,THE 2024,
U0769,2024,30933.0,10.6,6.0,,THE 2024,
U2928,2024,25955.0,14.2,32.0,54 : 46,THE 2024,
U1495,2024,25650.0,14.8,26.0,53 : 47,THE 2024,
U1842,2024,614.0,7.4,11.0,29 : 71,THE 2024,
U0555,2024,19575.0,14.0,32.0,54 : 46,THE 2024,
U1597,2024,22274.0,10.4,10.0,32 : 68,THE 2024,
U3290,2024,23637.0,38.3,12.0,59 : 41,THE 2024,
U0244,2024,26439.0,14.4,9.0,,THE 2024,
U2799,2024,27190.0,16.6,28.0,53 : 47,THE 2024,
U3045,2024,38366.0,27.2,26.0,59 : 41,THE 2024,
U1256,2024,30371.0,51.7,22.0,,THE 2024,
U1826,2024,60522.0,22.2,9.0,61 : 39,THE 2024,
U0160,2024,48870.0,19.7,14.0,46 : 54,THE 2024,
U2817,2024,18865.0,8.4,40.0,62 : 38,THE 2024,
U3243,2024,9964.0,13.9,38.0,37 : 63,THE 2024,
U1986,2024,29774.0,20.3,13.0,,THE 2024,
U2142,2024,31632.0,11.3,15.0,41 : 59,THE 2024,
U0701,2024,17508.0,10.1,18.0,55 : 45,THE 2024,
U2947,2024,7475.0,57.1,14.0,52 : 48,THE 2024,
U0369,2024,10103.0,15.4,17.0,32 : 68,THE 2024,
U0334,2024,28815.0,15.0,27.0,58 : 42,THE 2024,
U2123,2024,9928.0,9.6,17.0,16 : 84,THE 2024,
U2161,2024,11611.0,10.5,16.0,57 : 43,THE 2024,
U2797,2024,29467.0,41.9,13.0,51 : 49,THE 2024,
U2937,2024,10908.0,18.6,41.0,54 : 46,THE 2024,
U2986,2024,27529.0,25.1,5.0,,THE 2024,
U3161,2024,10325.0,12.4,46.0,58 : 42,THE 2024,
U2183,2024,10301.0,26.4,13.0,51 : 49,THE 2024,
U0858,2024,66389.0,12.3,12.0,54 : 46,THE 2024,
U3032,2024,12576.0,10.9,12.0,47 : 53,THE 2024,
U1724,2024,35164.0,37.9,14.0,54 : 46,THE 2024,
U2184,2024,3799.0,11.8,9.0,28 : 72,THE 2024,
U0001,2024,17275.0,14.9,12.0,,THE 2024,
U0002,2024,14427.0,20.4,23.0,39 : 61,THE 2024,
U2622,2024,12755.0,15.3,40.0,58 : 42,THE 2024,
U0016,2024,2506.0,10.9,60.0,51 : 49,THE 2024,
U0195,2024,32901.0,13.2,13.0,60 : 40,THE 2024,
U2704,2024,34012.0,18.8,24.0,54 : 46,THE 2024,
U2717,2024,19154.0,24.2,12.0,47 : 53,THE 2024,
U0491,2024,29283.0,20.8,29.0,53 : 47,THE 2024,
U0672,2024,16048.0,18.9,14.0,,THE 2024,
U0702,2024,22211.0,13.0,14.0,62 : 38,THE 2024,
U0719,2024,28572.0,14.5,14.0,59 : 41,THE 2024,
U2825,2024,21698.0,11.9,13.0,,THE 2024,
U2843,2024,14936.0,11.3,10.0,57 : 43,THE 2024,
U2867,2024,28868.0,11.4,18.0,54 : 46,THE 2024,
U0862,2024,4495.0,9.6,1.0,27 : 73,THE 2024,
U2874,2024,28583.0,10.9,6.0,55 : 45,THE 2024,
U1109,2024,6801.0,8.5,15.0,8 : 92,THE 2024,
U1149,2024,22324.0,16.3,31.0,,THE 2024,
U2917,2024,14000.0,13.9,31.0,54 : 46,THE 2024,
U2570,2024,30287.0,51.7,30.0,58 : 42,THE 2024,
U2936,2024,5599.0,21.3,49.0,53 : 47,THE 2024,
U1300,2024,4027.0,15.5,29.0,54 : 46,THE 2024,
U1306,2024,7271.0,8.4,30.0,54 : 46,THE 2024,
U2970,2024,17060.0,10.4,14.0,54 : 46,THE 2024,
U1357,2024,6111.0,11.6,21.0,,THE 2024,
U1383,2024,15224.0,13.0,12.0,30 : 70,THE 2024,
U3013,2024,24608.0,31.3,16.0,57 : 43,THE 2024,
U1524,2024,22269.0,14.1,32.0,49 : 51,THE 2024,
U3050,2024,44401.0,26.5,7.0,56 : 44,THE 2024,
U1650,2024,38978.0,25.7,19.0,35 : 65,THE 2024,
U1661,2024,12173.0,22.7,13.0,61 : 39,THE 2024,
U3078,2024,14330.0,38.1,16.0,57 : 43,THE 2024,
U1728,2024,20895.0,17.2,41.0,57 : 43,THE 2024,
U3088,2024,15945.0,16.6,31.0,55 : 45,THE 2024,
U1789,2024,46256.0,11.2,17.0,53 : 47,THE 2024,
U1825,2024,718.0,7.4,20.0,37 : 63,THE 2024,
U3138,2024,83182.0,13.9,2.0,47 : 53,THE 2024,
U1951,2024,6575.0,9.0,1.0,,THE 2024,
U2003,2024,61453.0,15.2,5.0,48 : 52,THE 2024,
U3172,2024,17640.0,17.3,34.0,55 : 45,THE 2024,
U2011,2024,14324.0,28.5,24.0,42 : 58,THE 2024,
U2092,2024,24995.0,24.2,5.0,57 : 43,THE 2024,
U2109,2024,26486.0,8.9,13.0,,THE 2024,
U2111,2024,13225.0,32.2,21.0,51 : 49,THE 2024,
U2616,2024,23405.0,20.7,25.0,,THE 2024,
U3248,2024,31502.0,13.3,8.0,50 : 50,THE 2024,
U3366,2024,14931.0,35.1,23.0,58 : 42,THE 2024,
U3389,2024,30176.0,33.0,24.0,56 : 44,THE 2024,
U3285,2024,16328.0,26.1,22.0,55 : 45,THE 2024,
U2665,2024,15280.0,15.8,31.0,45 : 55,THE 2024,
U0242,2024,34050.0,13.4,8.0,,THE 2024,
U2675,2024,15751.0,13.0,11.0,61 : 39,THE 2024,
U0288,2024,13156.0,14.9,10.0,55 : 45,THE 2024,
U0296,2024,4791.0,11.6,33.0,59 : 41,THE 2024,
U2712,2024,25670.0,19.6,14.0,53 : 47,THE 2024,
U0511,2024,40988.0,32.7,18.0,60 : 40,THE 2024,
U2782,2024,16475.0,14.3,21.0,57 : 43,THE 2024,
U0452,2024,2024.0,7.9,11.0,43 : 57,THE 2024,
U0662,2024,39831.0,24.6,6.0,58 : 42,THE 2024,
U0736,2024,34770.0,31.6,15.0,60 : 40,THE 2024,
U0781,2024,28121.0,30.1,13.0,58 : 42,THE 2024,
U2849,2024,8369.0,37.7,14.0,57 : 43,THE 2024,
U0820,2024,1988.0,17.9,18.0,59 : 41,THE 2024,
U1012,2024,30755.0,24.1,11.0,59 : 41,THE 2024,
U1083,2024,3289.0,9.3,41.0,58 : 42,THE 2024,
U1104,2024,60540.0,13.9,3.0,50 : 50,THE 2024,
U2897,2024,7594.0,34.5,11.0,58 : 42,THE 2024,
U1181,2024,20427.0,17.6,30.0,56 : 44,THE 2024,
U1197,2024,5028.0,31.6,14.0,34 : 66,THE 2024,
U1200,2024,19172.0,28.2,29.0,63 : 37,THE 2024,
U2569,2024,30362.0,17.9,16.0,58 : 42,THE 2024,
U1217,2024,15233.0,14.9,15.0,54 : 46,THE 2024,
U1242,2024,16110.0,13.9,25.0,40 : 60,THE 2024,
U1254,2024,14091.0,41.8,92.0,57 : 43,THE 2024,
U2942,2024,19346.0,10.2,22.0,55 : 45,THE 2024,
U1301,2024,3337.0,12.9,44.0,55 : 45,THE 2024,
U1402,2024,31416.0,11.7,7.0,,THE 2024,
U1518,2024,31391.0,15.9,11.0,49 : 51,THE 2024,
U3046,2024,10719.0,20.8,8.0,55 : 45,THE 2024,
U1714,2024,10081.0,8.4,36.0,77 : 23,THE 2024,
U1726,2024,27034.0,25.9,16.0,58 : 42,THE 2024,
U1737,2024,2703.0,23.9,67.0,,THE 2024,
U1758,2024,32574.0,24.0,34.0,48 : 52,THE 2024,
U1780,2024,37709.0,46.7,16.0,50 : 50,THE 2024,
U1849,2024,11678.0,18.9,15.0,51 : 49,THE 2024,
U1851,2024,9966.0,12.8,37.0,69 : 31,THE 2024,
U1914,2024,27269.0,26.8,31.0,54 : 46,THE 2024,
U1942,2024,40449.0,12.6,6.0,38 : 62,THE 2024,
U3153,2024,18279.0,9.9,13.0,52 : 48,THE 2024,
U3156,2024,40379.0,19.0,13.0,,THE 2024,
U1987,2024,25825.0,10.5,19.0,54 : 46,THE 2024,
U3167,2024,15152.0,25.3,20.0,34 : 66,THE 2024,
U3171,2024,14630.0,16.3,33.0,54 : 46,THE 2024,
U2507,2024,3714.0,14.0,67.0,46 : 54,THE 2024,
U2008,2024,18505.0,16.8,21.0,47 : 53,THE 2024,
U3183,2024,16894.0,22.5,31.0,60 : 40,THE 2024,
U2062,2024,15882.0,37.0,19.0,33 : 67,THE 2024,
U2169,2024,11373.0,19.0,31.0,32 : 68,THE 2024,
U3351,2024,37225.0,18.6,13.0,44 : 56,THE 2024,
U3356,2024,4087.0,13.9,5.0,62 : 38,THE 2024,
U3415,2024,45764.0,14.7,7.0,35 : 65,THE 2024,
U0239,2024,32854.0,12.3,4.0,,THE 2024,
U2693,2024,12263.0,19.5,13.0,53 : 47,THE 2024,
U2606,2024,27086.0,17.2,12.0,46 : 54,THE 2024,
U0346,2024,28830.0,39.1,7.0,71 : 29,THE 2024,
U0390,2024,7110.0,14.7,7.0,57 : 43,THE 2024,
U0477,2024,16785.0,27.5,23.0,48 : 52,THE 2024,
U0502,2024,17314.0,14.7,27.0,54 : 46,THE 2024,
U0545,2024,16910.0,11.0,15.0,51 : 49,THE 2024,
U2781,2024,14145.0,18.1,25.0,65 : 35,THE 2024,
U0561,2024,28787.0,14.1,8.0,64 : 36,THE 2024,
U2798,2024,15540.0,16.0,41.0,54 : 46,THE 2024,
U0656,2024,17422.0,29.4,33.0,66 : 34,THE 2024,
U2813,2024,15734.0,26.1,16.0,59 : 41,THE 2024,
U2530,2024,51244.0,18.4,17.0,53 : 47,THE 2024,
U0767,2024,19344.0,13.2,21.0,,THE 2024,
U0780,2024,19267.0,8.9,5.0,58 : 42,THE 2024,
U0806,2024,7460.0,10.2,55.0,65 : 35,THE 2024,
U2870,2024,15315.0,23.7,48.0,55 : 45,THE 2024,
U2894,2024,29463.0,23.9,8.0,54 : 46,THE 2024,
U1185,2024,18220.0,7.7,13.0,28 : 72,THE 2024,
U2923,2024,23545.0,29.2,20.0,58 : 42,THE 2024,
U1353,2024,40734.0,20.5,15.0,55 : 45,THE 2024,
U3006,2024,11969.0,14.3,26.0,54 : 46,THE 2024,
U1537,2024,36797.0,14.5,4.0,25 : 75,THE 2024,
U1544,2024,37865.0,15.0,9.0,49 : 51,THE 2024,
U1589,2024,2984.0,0.9,3.0,68 : 32,THE 2024,
U3044,2024,19350.0,20.6,16.0,61 : 39,THE 2024,
U3059,2024,17701.0,31.5,9.0,54 : 46,THE 2024,
U3096,2024,18480.0,24.0,20.0,58 : 42,THE 2024,
U1775,2024,11290.0,16.1,31.0,55 : 45,THE 2024,
U1980,2024,3725.0,13.1,18.0,66 : 34,THE 2024,
U1884,2024,9389.0,21.8,2.0,26 : 74,THE 2024,
U3145,2024,22822.0,30.2,17.0,60 : 40,THE 2024,
U1943,2024,39637.0,12.4,4.0,36 : 64,THE 2024,
U1978,2024,25140.0,25.7,7.0,56 : 44,THE 2024,
U3166,2024,20400.0,16.3,25.0,51 : 49,THE 2024,
U2010,2024,4437.0,4.7,8.0,71 : 29,THE 2024,
U2030,2024,16236.0,20.7,7.0,55 : 45,THE 2024,
U3182,2024,9694.0,9.0,12.0,68 : 32,THE 2024,
U2559,2024,4570.0,13.1,12.0,37 : 63,THE 2024,
U3192,2024,28377.0,17.0,3.0,,THE 2024,
U3241,2024,13528.0,15.7,6.0,63 : 37,THE 2024,
U2197,2024,8147.0,12.6,18.0,74 : 26,THE 2024,
U2615,2024,18567.0,21.1,16.0,59 : 41,THE 2024,
U3378,2024,28896.0,18.8,6.0,55 : 45,THE 2024,
U3388,2024,35590.0,41.8,21.0,59 : 41,THE 2024,
U3224,2024,27765.0,24.4,7.0,57 : 43,THE 2024,
U3412,2024,44715.0,15.1,2.0,,THE 2024,
U0041,2024,72946.0,17.3,14.0,60 : 40,THE 2024,
U0118,2024,9859.0,20.2,3.0,35 : 65,THE 2024,
U0197,2024,30227.0,13.4,15.0,62 : 38,THE 2024,
U2668,2024,8944.0,24.5,14.0,46 : 54,THE 2024,
U2688,2024,52643.0,21.7,14.0,60 : 40,THE 2024,
U0304,2024,14130.0,17.9,40.0,47 : 53,THE 2024,
U2721,2024,32252.0,18.9,3.0,46 : 54,THE 2024,
U2722,2024,11299.0,34.4,23.0,56 : 44,THE 2024,
U0405,2024,42607.0,20.1,2.0,,THE 2024,
U0422,2024,16080.0,19.5,45.0,58 : 42,THE 2024,
U2751,2024,20208.0,4.5,7.0,58 : 42,THE 2024,
U2753,2024,28128.0,13.1,11.0,53 : 47,THE 2024,
U0499,2024,742.0,6.3,4.0,36 : 64,THE 2024,
U0570,2024,17965.0,29.8,24.0,62 : 38,THE 2024,
U2791,2024,37498.0,15.7,3.0,30 : 70,THE 2024,
U2802,2024,40535.0,24.0,10.0,56 : 44,THE 2024,
U0669,2024,4244.0,10.7,14.0,67 : 33,THE 2024,
U2819,2024,37565.0,15.7,6.0,58 : 42,THE 2024,
U0776,2024,5749.0,30.9,14.0,50 : 50,THE 2024,
U0784,2024,9735.0,18.2,36.0,39 : 61,THE 2024,
U0802,2024,17659.0,8.2,10.0,29 : 71,THE 2024,
U0824,2024,41481.0,17.8,2.0,47 : 53,THE 2024,
U0840,2024,6107.0,12.2,36.0,37 : 63,THE 2024,
U0927,2024,28591.0,17.1,8.0,46 : 54,THE 2024,
U0979,2024,9759.0,17.3,9.0,66 : 34,THE 2024,
U1025,2024,27184.0,42.4,11.0,64 : 36,THE 2024,
U2886,2024,23410.0,9.5,7.0,53 : 47,THE 2024,
U1152,2024,6427.0,19.5,9.0,49 : 51,THE 2024,
U1209,2024,19807.0,39.5,15.0,44 : 56,THE 2024,
U2946,2024,30316.0,30.0,21.0,54 : 46,THE 2024,
U1325,2024,16182.0,21.2,12.0,49 : 51,THE 2024,
U2972,2024,50995.0,21.8,7.0,60 : 40,THE 2024,
U2973,2024,29943.0,29.8,5.0,62 : 38,THE 2024,
U1372,2024,14816.0,34.0,38.0,62 : 38,THE 2024,
U3004,2024,56127.0,19.5,2.0,56 : 44,THE 2024,
U1635,2024,16400.0,10.0,33.0,42 : 58,THE 2024,
U1796,2024,3847.0,20.5,11.0,38 : 62,THE 2024,
U3163,2024,8799.0,12.9,33.0,36 : 64,THE 2024,
U3117,2024,17924.0,18.1,21.0,56 : 44,THE 2024,
U3128,2024,12848.0,18.9,51.0,67 : 33,THE 2024,
U1886,2024,35736.0,14.0,1.0,49 : 51,THE 2024,
U1947,2024,20555.0,10.7,6.0,,THE 2024,
U3155,2024,11650.0,24.8,15.0,63 : 37,THE 2024,
U2073,2024,15934.0,22.7,13.0,40 : 60,THE 2024,
U2094,2024,34069.0,12.3,6.0,56 : 44,THE 2024,
U3195,2024,24679.0,21.6,15.0,44 : 56,THE 2024,
U3231,2024,14100.0,18.4,7.0,51 : 49,THE 2024,
U3236,2024,15506.0,12.1,16.0,38 : 62,THE 2024,
U3260,2024,21486.0,23.9,21.0,56 : 44,THE 2024,
U3442,2024,44038.0,29.1,28.0,55 : 45,THE 2024,
U0172,2024,11431.0,29.5,4.0,63 : 37,THE 2024,
U0174,2024,12950.0,19.0,25.0,48 : 52,THE 2024,
U0184,2024,18592.0,17.7,46.0,60 : 40,THE 2024,
U0190,2024,23843.0,38.4,14.0,76 : 24,THE 2024,
U0227,2024,8130.0,14.8,23.0,61 : 39,THE 2024,
U0234,2024,16061.0,6.6,18.0,42 : 58,THE 2024,
U0287,2024,3170.0,11.2,34.0,54 : 46,THE 2024,
U0291,2024,14260.0,19.1,21.0,53 : 47,THE 2024,
U2694,2024,14615.0,24.2,6.0,47 : 53,THE 2024,
U2533,2024,3503.0,11.3,14.0,66 : 34,THE 2024,
U2711,2024,9170.0,19.6,9.0,51 : 49,THE 2024,
U0326,2024,2210.0,18.4,1.0,62 : 38,THE 2024,
U2729,2024,26717.0,22.2,3.0,57 : 43,THE 2024,
U0354,2024,1678.0,14.8,39.0,25 : 75,THE 2024,
U2732,2024,65269.0,39.1,4.0,57 : 43,THE 2024,
U0379,2024,7313.0,33.6,27.0,71 : 29,THE 2024,
U0381,2024,51728.0,13.4,23.0,62 : 38,THE 2024,
U0412,2024,18193.0,22.4,23.0,,THE 2024,
U0428,2024,27444.0,12.7,14.0,55 : 45,THE 2024,
U2744,2024,21767.0,18.4,15.0,57 : 43,THE 2024,
U0466,2024,27786.0,16.2,5.0,56 : 44,THE 2024,
U0476,2024,1534.0,22.1,83.0,42 : 58,THE 2024,
U0503,2024,37389.0,14.5,3.0,,THE 2024,
U2769,2024,21545.0,16.1,11.0,57 : 43,THE 2024,
U0549,2024,14325.0,26.1,12.0,58 : 42,THE 2024,
U0435,2024,1992.0,8.7,39.0,31 : 69,THE 2024,
U0640,2024,111949.0,22.9,15.0,56 : 44,THE 2024,
U0661,2024,35006.0,22.4,9.0,60 : 40,THE 2024,
