master_university_id,year,source,research_score,research_impact_score,research_network_score,industry_income_score
UNI00149,2024,QS,,89.7,40.1,
UNI00117,2024,QS,,96.5,74.4,
UNI00087,2024,QS,,62.7,93.7,
UNI00109,2024,QS,,99.2,89.1,
UNI00150,2024,QS,,75.4,87.3,
UNI00151,2024,QS,,80.9,52.2,
UNI00152,2024,QS,,81.3,81.4,
UNI00141,2024,QS,,14.5,93.5,
UNI00066,2024,QS,,40.7,77.8,
UNI00079,2024,QS,,42.5,82.2,
UNI00157,2024,QS,,44.9,96.9,
UNI00137,2024,QS,,68.4,88.4,
UNI00125,2024,QS,,58.0,95.6,
UNI00160,2024,QS,,16.2,59.6,
UNI00162,2024,QS,,98.5,32.2,
UNI00090,2024,QS,,42.9,92.1,
UNI00164,2024,QS,,68.6,57.3,
UNI00165,2024,QS,,96.9,26.4,
UNI00166,2024,QS,,24.9,65.2,
UNI00127,2024,QS,,54.1,94.8,
UNI00168,2024,QS,,37.5,84.4,
UNI00148,2024,QS,,50.7,72.8,
UNI00139,2024,QS,,82.5,9.8,
UNI00169,2024,QS,,37.9,9.8,
UNI00171,2024,QS,,61.9,59.3,
UNI00172,2024,QS,,73.1,8.5,
UNI00173,2024,QS,,70.6,84.2,
UNI00174,2024,QS,,30.8,85.0,
UNI00067,2024,QS,,46.0,97.8,
UNI00176,2024,QS,,43.3,89.8,
UNI00177,2024,QS,,49.5,91.0,
UNI00178,2024,QS,,39.6,81.6,
UNI00179,2024,QS,,24.9,55.0,
UNI00064,2024,QS,,50.7,60.5,
UNI00180,2024,QS,,22.7,45.4,
UNI00126,2024,QS,,25.1,99.8,
UNI00181,2024,QS,,12.5,48.6,
UNI00182,2024,QS,,11.7,56.7,
UNI00183,2024,QS,,93.8,72.7,
UNI00185,2024,QS,,96.9,43.5,
UNI00186,2024,QS,,23.3,15.6,
UNI00187,2024,QS,,23.9,32.8,
UNI00188,2024,QS,,41.8,97.8,
UNI00167,2024,QS,,40.3,79.2,
UNI00154,2024,QS,,26.6,97.7,
UNI00121,2024,QS,,68.4,85.5,
UNI00191,2024,QS,,67.4,77.8,
UNI00193,2024,QS,,7.0,83.4,
UNI00194,2024,QS,,38.9,50.5,
UNI00195,2024,QS,,38.8,59.8,
UNI00196,2024,QS,,91.4,49.2,
UNI00189,2024,QS,,45.7,95.4,
UNI00114,2024,QS,,53.4,71.6,
UNI00197,2024,QS,,33.0,17.6,
UNI00192,2024,QS,,37.9,97.2,
UNI00199,2024,QS,,61.5,87.9,
UNI00200,2024,QS,,65.8,25.7,
UNI00201,2024,QS,,60.2,83.2,
UNI00202,2024,QS,,41.5,62.3,
UNI00203,2024,QS,,86.2,84.9,
UNI00205,2024,QS,,98.4,34.3,
UNI00206,2024,QS,,85.7,45.1,
UNI00207,2024,QS,,2.3,13.5,
UNI00208,2024,QS,,39.4,86.4,
UNI00209,2024,QS,,33.9,58.6,
UNI00122,2024,QS,,29.0,40.2,
UNI00210,2024,QS,,64.9,68.8,
UNI00212,2024,QS,,63.3,69.1,
UNI00214,2024,QS,,63.3,82.7,
UNI00215,2024,QS,,80.7,5.6,
UNI00217,2024,QS,,87.4,48.4,
UNI00218,2024,QS,,46.4,86.1,
UNI00219,2024,QS,,27.8,38.1,
UNI00220,2024,QS,,64.3,6.6,
UNI00221,2024,QS,,5.9,11.1,
UNI00095,2024,QS,,69.7,57.0,
UNI00223,2024,QS,,25.1,80.4,
UNI00226,2024,QS,,4.3,17.5,
UNI00229,2024,QS,,43.5,84.1,
UNI00230,2024,QS,,32.2,88.6,
UNI00198,2024,QS,,79.1,85.8,
UNI00233,2024,QS,,60.0,87.2,
UNI00234,2024,QS,,51.0,38.1,
UNI00143,2024,QS,,68.1,70.1,
UNI00211,2024,QS,,42.1,73.3,
UNI00236,2024,QS,,45.1,22.5,
UNI00204,2024,QS,,65.3,67.6,
UNI00238,2024,QS,,7.0,49.4,
UNI00239,2024,QS,,34.6,77.1,
UNI00240,2024,QS,,19.7,89.9,
UNI00242,2024,QS,,6.0,9.2,
UNI00243,2024,QS,,99.9,39.5,
UNI00245,2024,QS,,91.8,21.3,
UNI00248,2024,QS,,52.1,4.4,
UNI00249,2024,QS,,70.9,62.9,
UNI00250,2024,QS,,51.8,91.3,
UNI00251,2024,QS,,24.9,53.7,
UNI00158,2024,QS,,65.1,48.0,
UNI00252,2024,QS,,74.9,78.8,
UNI00253,2024,QS,,38.7,81.1,
UNI00155,2024,QS,,51.6,31.3,
UNI00244,2024,QS,,100.0,4.4,
UNI00254,2024,QS,,24.2,35.6,
UNI00255,2024,QS,,3.5,13.3,
UNI00257,2024,QS,,21.2,10.9,
UNI00258,2024,QS,,95.8,75.1,
UNI00259,2024,QS,,1.4,12.0,
UNI00260,2024,QS,,48.3,29.6,
UNI00132,2024,QS,,17.7,91.8,
UNI00261,2024,QS,,67.4,51.4,
UNI00263,2024,QS,,38.3,6.7,
UNI00264,2024,QS,,79.4,40.2,
UNI00266,2024,QS,,93.7,99.6,
UNI00146,2024,QS,,78.6,6.6,
UNI00267,2024,QS,,2.0,2.0,
UNI00268,2024,QS,,22.7,65.2,
UNI00269,2024,QS,,22.1,90.7,
UNI00270,2024,QS,,32.3,38.1,
UNI00272,2024,QS,,77.5,45.8,
UNI00273,2024,QS,,65.8,72.7,
UNI00265,2024,QS,,56.2,71.1,
UNI00275,2024,QS,,57.6,52.0,
UNI00276,2024,QS,,79.0,32.5,
UNI00279,2024,QS,,14.8,87.4,
UNI00280,2024,QS,,9.4,90.9,
UNI00153,2024,QS,,49.2,90.0,
UNI00281,2024,QS,,75.0,17.5,
UNI00283,2024,QS,,22.5,37.1,
UNI00284,2024,QS,,57.9,49.9,
UNI00285,2024,QS,,58.1,93.8,
UNI00288,2024,QS,,96.9,11.4,
UNI00156,2024,QS,,63.9,21.0,
UNI00292,2024,QS,,98.8,23.2,
UNI00163,2024,QS,,62.7,46.5,
UNI00293,2024,QS,,32.8,21.9,
UNI00295,2024,QS,,22.0,88.4,
UNI00297,2024,QS,,34.1,57.7,
UNI00108,2024,QS,,37.2,47.1,
UNI00298,2024,QS,,6.3,62.1,
UNI00299,2024,QS,,1.7,2.1,
UNI00161,2024,QS,,49.4,68.6,
UNI00300,2024,QS,,27.7,92.4,
UNI00224,2024,QS,,98.6,1.2,
UNI00301,2024,QS,,35.1,97.4,
UNI00302,2024,QS,,48.8,57.9,
UNI00107,2024,QS,,50.3,65.3,
UNI00170,2024,QS,,31.2,80.9,
UNI00305,2024,QS,,85.8,10.7,
UNI00307,2024,QS,,86.4,22.8,
UNI00184,2024,QS,,45.3,75.7,
UNI00308,2024,QS,,67.3,49.6,
UNI00309,2024,QS,,99.3,45.4,
UNI00310,2024,QS,,47.8,59.0,
UNI00311,2024,QS,,33.7,61.6,
UNI00312,2024,QS,,75.5,3.3,
UNI00216,2024,QS,,19.2,55.0,
UNI00313,2024,QS,,15.1,28.9,
UNI00315,2024,QS,,2.5,1.2,
UNI00225,2024,QS,,31.2,69.3,
UNI00316,2024,QS,,59.9,92.0,
UNI00317,2024,QS,,8.5,3.8,
UNI00319,2024,QS,,54.7,2.7,
UNI00271,2024,QS,,89.5,23.9,
UNI00322,2024,QS,,19.5,88.0,
UNI00324,2024,QS,,98.2,18.6,
UNI00325,2024,QS,,13.5,45.7,
UNI00326,2024,QS,,13.8,56.5,
UNI00327,2024,QS,,80.9,36.8,
UNI00329,2024,QS,,27.5,88.9,
UNI00330,2024,QS,,21.6,25.1,
UNI00331,2024,QS,,48.8,92.6,
UNI00332,2024,QS,,51.9,2.6,
UNI00333,2024,QS,,66.0,64.8,
UNI00159,2024,QS,,18.6,14.4,
UNI00335,2024,QS,,41.8,37.2,
UNI00256,2024,QS,,18.1,59.7,
UNI00337,2024,QS,,3.2,1.3,
UNI00339,2024,QS,,95.0,6.8,
UNI00340,2024,QS,,21.3,82.1,
UNI00336,2024,QS,,34.8,70.0,
UNI00341,2024,QS,,6.2,59.4,
UNI00222,2024,QS,,39.1,32.0,
UNI00342,2024,QS,,20.7,96.9,
UNI00343,2024,QS,,100.0,1.0,
UNI00328,2024,QS,,27.4,59.0,
UNI00344,2024,QS,,65.7,24.2,
UNI00334,2024,QS,,58.1,48.8,
UNI00346,2024,QS,,88.6,28.1,
UNI00347,2024,QS,,55.6,38.4,
UNI00348,2024,QS,,64.8,36.5,
UNI00350,2024,QS,,21.6,68.5,
UNI00314,2024,QS,,56.9,75.4,
UNI00351,2024,QS,,97.0,23.0,
UNI00352,2024,QS,,5.1,69.5,
UNI00354,2024,QS,,32.4,62.9,
UNI00323,2024,QS,,42.5,34.5,
UNI00356,2024,QS,,1.4,1.0,
UNI00357,2024,QS,,3.2,1.4,
UNI00358,2024,QS,,4.8,18.5,
UNI00360,2024,QS,,65.0,19.0,
UNI00361,2024,QS,,44.1,33.3,
UNI00362,2024,QS,,26.2,50.1,
UNI00363,2024,QS,,20.7,97.6,
UNI00364,2024,QS,,32.8,58.6,
UNI00365,2024,QS,,40.7,49.7,
UNI00366,2024,QS,,42.2,22.1,
UNI00367,2024,QS,,100.0,1.3,
UNI00369,2024,QS,,3.4,30.0,
UNI00371,2024,QS,,56.4,4.2,
UNI00303,2024,QS,,14.0,16.7,
UNI00213,2024,QS,,79.6,19.3,
UNI00373,2024,QS,,99.1,9.7,
UNI00374,2024,QS,,61.8,81.6,
UNI00227,2024,QS,,42.4,79.2,
UNI00375,2024,QS,,22.2,32.2,
UNI00376,2024,QS,,1.8,2.5,
UNI00378,2024,QS,,43.9,43.0,
UNI00380,2024,QS,,76.4,17.1,
UNI00235,2024,QS,,29.3,61.0,
UNI00383,2024,QS,,2.0,60.1,
UNI00384,2024,QS,,44.2,56.9,
UNI00385,2024,QS,,84.3,72.3,
UNI00386,2024,QS,,1.4,1.4,
UNI00388,2024,QS,,54.3,47.2,
UNI00389,2024,QS,,72.3,32.0,
UNI00391,2024,QS,,1.7,4.2,
UNI00393,2024,QS,,11.4,59.9,
UNI00395,2024,QS,,41.1,67.6,
UNI00304,2024,QS,,97.7,14.7,
UNI00397,2024,QS,,41.6,78.8,
UNI00399,2024,QS,,29.2,28.0,
UNI00401,2024,QS,,22.3,72.8,
UNI00402,2024,QS,,1.4,1.1,
UNI00404,2024,QS,,94.7,26.2,
UNI00405,2024,QS,,19.0,31.7,
UNI00407,2024,QS,,49.6,73.0,
UNI00379,2024,QS,,11.5,73.7,
UNI00408,2024,QS,,78.7,16.3,
UNI00410,2024,QS,,67.5,68.6,
UNI00411,2024,QS,,51.5,1.2,
UNI00413,2024,QS,,11.2,32.9,
UNI00414,2024,QS,,20.0,6.4,
UNI00416,2024,QS,,98.1,5.8,
UNI00418,2024,QS,,36.8,69.4,
UNI00419,2024,QS,,11.7,23.5,
UNI00421,2024,QS,,77.8,55.9,
UNI00422,2024,QS,,91.2,3.6,
UNI00423,2024,QS,,99.7,3.6,
UNI00424,2024,QS,,2.8,48.7,
UNI00274,2024,QS,,44.2,9.4,
UNI00427,2024,QS,,8.3,51.7,
UNI00394,2024,QS,,65.1,9.1,
UNI00277,2024,QS,,29.5,68.3,
UNI00430,2024,QS,,99.8,9.5,
UNI00190,2024,QS,,24.2,33.2,
UNI00318,2024,QS,,59.7,62.3,
UNI00175,2024,QS,,42.9,18.9,
UNI00349,2024,QS,,42.6,38.9,
UNI00246,2024,QS,,28.6,18.4,
UNI00434,2024,QS,,4.7,10.3,
UNI00436,2024,QS,,57.6,99.8,
UNI00437,2024,QS,,73.9,8.1,
UNI00438,2024,QS,,12.5,59.1,
UNI00241,2024,QS,,48.6,53.7,
UNI00338,2024,QS,,26.5,99.4,
UNI00442,2024,QS,,1.3,3.4,
UNI00444,2024,QS,,23.7,40.4,
UNI00446,2024,QS,,27.0,1.9,
UNI00447,2024,QS,,8.2,2.3,
UNI00448,2024,QS,,50.8,18.8,
UNI00451,2024,QS,,95.4,9.7,
UNI00449,2024,QS,,25.4,12.8,
UNI00453,2024,QS,,65.3,25.4,
UNI00428,2024,QS,,85.7,63.8,
UNI00455,2024,QS,,2.8,61.7,
UNI00457,2024,QS,,31.8,34.4,
UNI00458,2024,QS,,1.9,71.1,
UNI00426,2024,QS,,58.7,50.9,
UNI00460,2024,QS,,15.2,56.2,
UNI00462,2024,QS,,24.2,63.5,
UNI00463,2024,QS,,23.3,96.8,
UNI00465,2024,QS,,13.3,37.2,
UNI00290,2024,QS,,59.9,45.1,
UNI00466,2024,QS,,1.9,9.3,
UNI00461,2024,QS,,18.5,12.0,
UNI00467,2024,QS,,22.5,24.7,
UNI00468,2024,QS,,20.3,54.9,
UNI00469,2024,QS,,4.0,7.3,
UNI00429,2024,QS,,9.0,35.7,
UNI00372,2024,QS,,59.6,60.6,
UNI00471,2024,QS,,8.4,27.1,
UNI00370,2024,QS,,36.3,23.7,
UNI00420,2024,QS,,51.1,42.5,
UNI00474,2024,QS,,16.0,5.4,
UNI00476,2024,QS,,4.6,1.4,
UNI00478,2024,QS,,5.1,23.4,
UNI00480,2024,QS,,16.2,34.5,
UNI00387,2024,QS,,35.4,46.5,
UNI00482,2024,QS,,13.6,10.4,
UNI00483,2024,QS,,12.6,5.3,
UNI00484,2024,QS,,27.2,79.3,
UNI00485,2024,QS,,23.1,70.2,
UNI00294,2024,QS,,51.7,8.9,
UNI00487,2024,QS,,21.9,34.6,
UNI00490,2024,QS,,99.8,33.8,
UNI00491,2024,QS,,2.6,1.0,
UNI00492,2024,QS,,64.6,3.1,
UNI00454,2024,QS,,44.0,61.0,
UNI00431,2024,QS,,28.6,6.4,
UNI00435,2024,QS,,53.1,40.1,
UNI00495,2024,QS,,34.3,1.3,
UNI00497,2024,QS,,5.9,1.5,
UNI00441,2024,QS,,34.7,14.4,
UNI00477,2024,QS,,12.4,19.3,
UNI00320,2024,QS,,65.5,29.2,
UNI00377,2024,QS,,31.8,56.4,
UNI00500,2024,QS,,97.3,9.2,
UNI00501,2024,QS,,22.8,1.0,
UNI00503,2024,QS,,68.0,41.9,
UNI00231,2024,QS,,14.2,27.4,
UNI00306,2024,QS,,25.1,55.4,
UNI00278,2024,QS,,36.5,54.4,
UNI00506,2024,QS,,29.1,72.8,
UNI00409,2024,QS,,41.6,61.4,
UNI00459,2024,QS,,34.1,50.5,
UNI00504,2024,QS,,16.1,26.5,
UNI00381,2024,QS,,72.5,45.2,
UNI00510,2024,QS,,96.4,1.0,
UNI00499,2024,QS,,15.3,54.7,
UNI00513,2024,QS,,94.8,11.1,
UNI00515,2024,QS,,98.4,13.5,
UNI00517,2024,QS,,55.3,90.8,
UNI00518,2024,QS,,4.1,15.3,
UNI00519,2024,QS,,94.4,1.2,
UNI00521,2024,QS,,73.1,21.1,
UNI00522,2024,QS,,18.4,48.3,
UNI00523,2024,QS,,45.1,2.0,
UNI00525,2024,QS,,25.6,40.1,
UNI00526,2024,QS,,38.6,86.3,
UNI00296,2024,QS,,30.7,40.1,
UNI00527,2024,QS,,10.9,2.0,
UNI00530,2024,QS,,10.0,84.0,
UNI00531,2024,QS,,14.8,70.2,
UNI00470,2024,QS,,70.8,2.3,
UNI00533,2024,QS,,14.9,44.8,
UNI00400,2024,QS,,21.4,91.2,
UNI00321,2024,QS,,13.5,35.9,
UNI00534,2024,QS,,52.7,20.1,
UNI00425,2024,QS,,48.5,1.5,
UNI00535,2024,QS,,51.0,53.1,
UNI00536,2024,QS,,9.6,30.0,
UNI00538,2024,QS,,68.7,7.0,
UNI00540,2024,QS,,2.1,63.3,
UNI00541,2024,QS,,3.0,43.5,
UNI00542,2024,QS,,11.6,8.7,
UNI00543,2024,QS,,19.6,56.8,
UNI00545,2024,QS,,21.2,24.1,
UNI00547,2024,QS,,9.6,59.3,
UNI00516,2024,QS,,85.1,2.1,
UNI00464,2024,QS,,39.7,24.6,
UNI00550,2024,QS,,2.2,1.0,
UNI00433,2024,QS,,14.8,44.3,
UNI00551,2024,QS,,1.2,1.0,
UNI00359,2024,QS,,57.1,45.2,
UNI00552,2024,QS,,22.4,83.4,
UNI00554,2024,QS,,96.4,21.7,
UNI00496,2024,QS,,47.5,22.3,
UNI00556,2024,QS,,1.7,1.2,
UNI00368,2024,QS,,38.1,32.8,
UNI00557,2024,QS,,79.8,16.3,
UNI00558,2024,QS,,37.2,23.3,
UNI00247,2024,QS,,20.9,51.3,
UNI00560,2024,QS,,8.9,1.7,
UNI00562,2024,QS,,82.0,3.8,
UNI00539,2024,QS,,70.7,1.6,
UNI00565,2024,QS,,8.5,82.0,
UNI00566,2024,QS,,7.7,1.6,
UNI00567,2024,QS,,12.1,38.5,
UNI00406,2024,QS,,59.1,28.2,
UNI00569,2024,QS,,3.3,13.8,
UNI00572,2024,QS,,12.9,4.1,
UNI00575,2024,QS,,23.6,17.9,
UNI00532,2024,QS,,18.7,44.8,
UNI00577,2024,QS,,47.8,2.4,
UNI00578,2024,QS,,25.2,2.5,
UNI00579,2024,QS,,41.1,58.2,
UNI00580,2024,QS,,13.4,9.0,
UNI00581,2024,QS,,5.5,1.0,
UNI00398,2024,QS,,27.0,40.2,
UNI00583,2024,QS,,53.1,31.0,
UNI00544,2024,QS,,15.2,1.0,
UNI00586,2024,QS,,24.8,98.2,
UNI00587,2024,QS,,14.3,4.9,
UNI00479,2024,QS,,33.6,63.7,
UNI00588,2024,QS,,1.1,1.0,
UNI00590,2024,QS,,25.4,11.5,
UNI00593,2024,QS,,29.7,59.1,
UNI00594,2024,QS,,24.4,77.7,
UNI00596,2024,QS,,17.2,7.7,
UNI00597,2024,QS,,1.8,1.0,
UNI00443,2024,QS,,54.5,23.8,
UNI00598,2024,QS,,7.1,55.3,
UNI00498,2024,QS,,25.4,36.4,
UNI00599,2024,QS,,8.6,1.0,
UNI00601,2024,QS,,1.4,1.0,
UNI00439,2024,QS,,19.2,1.8,
UNI00602,2024,QS,,95.4,2.4,
UNI00412,2024,QS,,41.0,18.7,
UNI00604,2024,QS,,13.5,75.4,
UNI00605,2024,QS,,16.1,79.9,
UNI00606,2024,QS,,1.1,1.0,
UNI00486,2024,QS,,40.6,54.3,
UNI00608,2024,QS,,78.7,3.3,
UNI00609,2024,QS,,3.0,21.9,
UNI00473,2024,QS,,67.9,13.4,
UNI00611,2024,QS,,6.9,45.3,
UNI00612,2024,QS,,5.2,37.9,
UNI00615,2024,QS,,7.1,3.4,
UNI00617,2024,QS,,6.0,1.1,
UNI00618,2024,QS,,2.1,9.1,
UNI00620,2024,QS,,6.9,27.3,
UNI00621,2024,QS,,33.7,14.5,
UNI00623,2024,QS,,1.8,6.0,
UNI00584,2024,QS,,62.2,10.2,
UNI00625,2024,QS,,5.8,89.0,
UNI00626,2024,QS,,20.9,1.2,
UNI00628,2024,QS,,38.4,9.1,
UNI00629,2024,QS,,16.0,49.8,
UNI00603,2024,QS,,24.6,62.4,
UNI00631,2024,QS,,2.2,2.0,
UNI00632,2024,QS,,2.3,1.0,
UNI00355,2024,QS,,18.3,27.2,
UNI00520,2024,QS,,33.7,42.6,
UNI00634,2024,QS,,2.8,24.3,
UNI00488,2024,QS,,12.8,68.1,
UNI00636,2024,QS,,1.7,1.0,
UNI00638,2024,QS,,79.3,4.1,
UNI00639,2024,QS,,8.0,1.5,
UNI00641,2024,QS,,12.9,3.2,
UNI00643,2024,QS,,70.4,11.4,
UNI00528,2024,QS,,29.1,45.4,
UNI00392,2024,QS,,1.7,1.1,
UNI00645,2024,QS,,38.8,8.9,
UNI00262,2024,QS,,36.6,57.8,
UNI00286,2024,QS,,22.8,1.1,
UNI00646,2024,QS,,2.7,1.0,
UNI00647,2024,QS,,4.4,1.2,
UNI00616,2024,QS,,20.9,41.2,
UNI00648,2024,QS,,3.9,20.9,
UNI00650,2024,QS,,6.8,50.7,
UNI00651,2024,QS,,88.7,1.5,
UNI00652,2024,QS,,4.3,9.7,
UNI00654,2024,QS,,1.6,1.0,
UNI00655,2024,QS,,33.6,40.8,
UNI00656,2024,QS,,2.1,2.3,
UNI00658,2024,QS,,17.9,1.3,
UNI00659,2024,QS,,8.9,42.5,
UNI00232,2024,QS,,12.4,1.2,
UNI00502,2024,QS,,11.4,3.0,
UNI00660,2024,QS,,1.7,1.0,
UNI00661,2024,QS,,1.0,,
UNI00662,2024,QS,,2.3,1.0,
UNI00663,2024,QS,,4.0,21.3,
UNI00665,2024,QS,,7.2,4.4,
UNI00667,2024,QS,,17.4,23.9,
UNI00669,2024,QS,,16.0,1.2,
UNI00633,2024,QS,,9.8,66.6,
UNI00670,2024,QS,,20.3,1.1,
UNI00494,2024,QS,,13.6,1.2,
UNI00472,2024,QS,,25.7,32.1,
UNI00672,2024,QS,,2.3,11.6,
UNI00637,2024,QS,,5.2,52.1,
UNI00673,2024,QS,,7.7,2.4,
UNI00675,2024,QS,,42.6,14.3,
UNI00677,2024,QS,,39.0,3.6,
UNI00678,2024,QS,,82.2,3.4,
UNI00679,2024,QS,,2.1,2.0,
UNI00445,2024,QS,,10.4,45.5,
UNI00682,2024,QS,,8.3,39.0,
UNI00570,2024,QS,,40.7,29.5,
UNI00683,2024,QS,,1.9,1.0,
UNI00403,2024,QS,,41.3,3.6,
UNI00345,2024,QS,,35.1,28.4,
UNI00684,2024,QS,,24.1,4.8,
UNI00687,2024,QS,,8.7,9.2,
UNI00688,2024,QS,,2.0,4.5,
UNI00690,2024,QS,,7.4,16.3,
UNI00692,2024,QS,,4.9,34.6,
UNI00693,2024,QS,,4.2,1.4,
UNI00694,2024,QS,,1.0,1.0,
UNI00696,2024,QS,,6.7,38.6,
UNI00697,2024,QS,,6.9,73.4,
UNI00698,2024,QS,,17.8,2.1,
UNI00653,2024,QS,,17.1,7.9,
UNI00553,2024,QS,,18.2,1.2,
UNI00700,2024,QS,,18.7,52.7,
UNI00701,2024,QS,,1.5,1.0,
UNI00702,2024,QS,,43.0,1.4,
UNI00703,2024,QS,,1.7,1.0,
UNI00704,2024,QS,,1.6,1.0,
UNI00705,2024,QS,,53.6,6.1,
UNI00548,2024,QS,,52.4,1.2,
UNI00642,2024,QS,,8.5,2.4,
UNI00627,2024,QS,,22.8,78.1,
UNI00707,2024,QS,,6.3,59.3,
UNI00699,2024,QS,,17.4,73.6,
UNI00709,2024,QS,,65.6,4.4,
UNI00573,2024,QS,,17.4,1.1,
UNI00287,2024,QS,,21.5,9.1,
