master_university_id,university_name,country,year,source,rank_start,overall_score,academic_reputation_score
UNI00118,University of Nottingham,United Kingdom,2024,QS,,60.4,60.7
UNI00072,University of Wisconsin-Madison,United States,2024,QS,102.0,60.0,80.2
UNI00120,Pontificia Universidad CatÃ³lica de Chile (UC),Chile,2024,QS,103.0,59.9,92.9
UNI00123,The University of Sheffield,United Kingdom,2024,QS,104.0,59.7,58.7
UNI00124,Uppsala University,Sweden,2024,QS,105.0,59.4,62.7
UNI00104,RWTH Aachen University,Germany,2024,QS,106.0,59.3,49.7
UNI00119,University of Copenhagen,Denmark,2024,QS,,58.8,74.1
UNI00075,Utrecht University,Netherlands,2024,QS,,58.8,66.6
UNI00128,Aalto University,Finland,2024,QS,109.0,58.7,44.6
UNI00131,Newcastle University,United Kingdom,2024,QS,110.0,58.6,48.0
UNI00129,University of Alberta,Canada,2024,QS,111.0,58.3,56.8
UNI00133,University of Waterloo,Canada,2024,QS,112.0,58.1,40.7
UNI00134,Tohoku University,Japan,2024,QS,113.0,58.0,72.4
UNI00135,Western University,Canada,2024,QS,114.0,57.4,32.1
UNI00130,University of Helsinki,Finland,2024,QS,115.0,57.2,65.1
UNI00073,University of Southern California,United States,2024,QS,116.0,57.1,52.5
UNI00136,University of Oslo,Norway,2024,QS,117.0,56.9,55.8
UNI00138,Stockholm University,Sweden,2024,QS,118.0,56.8,54.1
UNI00140,"KIT, Karlsruhe Institute of Technology",Germany,2024,QS,119.0,56.4,45.6
UNI00142,Humboldt-UniversitÃ¤t zu Berlin,Germany,2024,QS,120.0,56.3,90.2
UNI00144,Technical University of Denmark,Denmark,2024,QS,121.0,56.2,32.5
UNI00145,Lancaster University,United Kingdom,2024,QS,122.0,55.7,39.7
UNI00147,Politecnico di Milano,Italy,2024,QS,123.0,55.2,69.3
UNI00149,Eindhoven University of Technology,Netherlands,2024,QS,,55.0,29.3
UNI00117,University of Basel,Switzerland,2024,QS,,55.0,27.8
UNI00087,Leiden University,Netherlands,2024,QS,,54.8,69.1
UNI00109,University of Bern,Switzerland,2024,QS,,54.8,30.5
UNI00150,University of Geneva,Switzerland,2024,QS,128.0,54.2,45.1
UNI00151,Chalmers University of Technology,Sweden,2024,QS,129.0,54.0,26.6
UNI00152,Macquarie University,Australia,2024,QS,,53.7,31.6
UNI00141,University of Vienna,Austria,2024,QS,,53.7,70.8
UNI00066,"University of California, Davis",United States,2024,QS,,53.2,63.9
UNI00079,"University of North Carolina, Chapel Hill",United States,2024,QS,,53.2,63.0
UNI00157,Sapienza University of Rome,Italy,2024,QS,,52.9,79.2
UNI00137,Texas A&M University,United States,2024,QS,,52.9,62.0
UNI00125,Michigan State University,United States,2024,QS,136.0,52.7,59.9
UNI00160,Universiti Sains Malaysia (USM),Malaysia,2024,QS,,52.6,61.4
UNI00162,University of Science and Technology of China,China (Mainland),2024,QS,,52.6,52.5
UNI00090,University of Groningen,Netherlands,2024,QS,139.0,52.5,52.9
UNI00164,RMIT University,Australia,2024,QS,140.0,52.4,38.6
UNI00165,Nanjing University,China (Mainland),2024,QS,,52.1,59.6
UNI00166,UniversitÃ© de MontrÃ©al,Canada,2024,QS,,52.1,56.6
UNI00127,Aarhus University,Denmark,2024,QS,,52.0,55.8
UNI00168,King Abdulaziz University (KAU),Saudi Arabia,2024,QS,,52.0,54.5
UNI00148,Queen Mary University of London,United Kingdom,2024,QS,,51.9,48.8
UNI00139,Rice University,United States,2024,QS,,51.9,38.7
UNI00169,Sungkyunkwan University(SKKU),South Korea,2024,QS,,51.9,64.2
UNI00171,University of Bath,United Kingdom,2024,QS,148.0,51.8,35.6
UNI00172,Indian Institute of Technology Bombay (IITB),India,2024,QS,,51.7,55.5
UNI00173,Universitat AutÃ²noma de Barcelona,Spain,2024,QS,,51.7,63.2
UNI00174,The Ohio State University,United States,2024,QS,,51.3,59.4
UNI00067,Wageningen University & Research,Netherlands,2024,QS,,51.3,43.3
UNI00176,The University of Exeter,United Kingdom,2024,QS,153.0,50.9,43.0
UNI00177,Alma Mater Studiorum - University of Bologna,Italy,2024,QS,,50.5,79.6
UNI00178,Cardiff University,United Kingdom,2024,QS,,50.5,46.5
UNI00179,Technische UniversitÃ¤t Berlin (TU Berlin),Germany,2024,QS,,50.5,56.2
UNI00064,Washington University in St. Louis,United States,2024,QS,,50.5,38.6
UNI00180,Universiti Putra Malaysia (UPM),Malaysia,2024,QS,158.0,50.4,58.8
UNI00126,Ghent University,Belgium,2024,QS,,50.2,53.4
UNI00181,Universidad de Chile,Chile,2024,QS,,50.2,81.5
UNI00182,Universiti Kebangsaan Malaysia (UKM),Malaysia,2024,QS,,50.2,59.7
UNI00183,University of Wollongong,Australia,2024,QS,162.0,50.1,29.7
UNI00185,"University of California, Santa Barbara (UCSB)",United States,2024,QS,163.0,50.0,54.8
UNI00186,Hanyang University,South Korea,2024,QS,,49.7,49.0
UNI00187,Kyushu University,Japan,2024,QS,,49.7,57.4
UNI00188,Universitat de Barcelona,Spain,2024,QS,,49.7,73.2
UNI00167,University of York,United Kingdom,2024,QS,167.0,49.4,43.5
UNI00154,University of Florida,United States,2024,QS,168.0,49.1,48.0
UNI00121,"University of Maryland, College Park",United States,2024,QS,,48.9,49.2
UNI00191,University of Reading,United Kingdom,2024,QS,,48.9,33.2
UNI00193,Complutense University of Madrid,Spain,2024,QS,,48.8,68.2
UNI00194,University College Dublin,Ireland,2024,QS,,48.8,49.8
UNI00195,Qatar University,Qatar,2024,QS,,48.7,27.1
UNI00196,"The University of Newcastle, Australia (UON)",Australia,2024,QS,,48.7,29.3
UNI00189,University of Cape Town,South Africa,2024,QS,,48.7,44.4
UNI00114,Erasmus University Rotterdam,Netherlands,2024,QS,,48.5,37.3
UNI00197,Nagoya University,Japan,2024,QS,,48.5,61.5
UNI00192,University of Liverpool,United Kingdom,2024,QS,,48.5,44.4
UNI00199,Arizona State University,United States,2024,QS,179.0,48.1,46.7
UNI00200,King Fahd University of Petroleum & Minerals,Saudi Arabia,2024,QS,,48.0,32.9
UNI00201,UniversitÃ© catholique de Louvain (UCLouvain),Belgium,2024,QS,,48.0,49.1
UNI00202,University of Calgary,Canada,2024,QS,182.0,47.9,37.7
UNI00203,Curtin University,Australia,2024,QS,183.0,47.8,32.4
UNI00205,Ãcole Normale SupÃ©rieure de Lyon,France,2024,QS,,47.6,30.5
UNI00206,Technische UniversitÃ¤t Wien,Austria,2024,QS,,47.6,32.9
UNI00207,TecnolÃ³gico de Monterrey,Mexico,2024,QS,,47.6,51.3
UNI00208,University of Gothenburg,Sweden,2024,QS,187.0,47.3,36.2
UNI00209,Universiti Teknologi Malaysia,Malaysia,2024,QS,188.0,46.9,46.6
UNI00122,McMaster University,Canada,2024,QS,,46.8,40.5
UNI00210,Queensland University of Technology (QUT),Australia,2024,QS,,46.8,40.9
UNI00212,Universite libre de Bruxelles,Belgium,2024,QS,,46.8,34.4
UNI00214,Albert-Ludwigs-Universitaet Freiburg,Germany,2024,QS,,46.7,46.1
UNI00215,Ecole des Ponts ParisTech,France,2024,QS,,46.7,8.3
UNI00217,Wuhan University,China (Mainland),2024,QS,194.0,46.6,40.9
UNI00218,University of Minnesota Twin Cities,United States,2024,QS,195.0,46.4,59.0
UNI00219,Hokkaido University,Japan,2024,QS,196.0,46.2,57.3
UNI00220,Indian Institute of Technology Delhi (IITD),India,2024,QS,197.0,46.1,51.2
UNI00221,Universidad de los Andes,Colombia,2024,QS,198.0,46.0,65.4
UNI00095,Emory University,United States,2024,QS,,45.9,25.6
UNI00223,Universidad AutÃ³noma de Madrid,Spain,2024,QS,,45.9,60.4
UNI00226,Waseda University,Japan,2024,QS,,45.9,60.2
UNI00229,Queen's University Belfast,United Kingdom,2024,QS,202.0,45.8,33.6
UNI00230,King Saud University,Saudi Arabia,2024,QS,,45.2,36.9
UNI00198,University of Ottawa,Canada,2024,QS,,45.2,26.5
UNI00233,UniversitÃ¤t Hamburg,Germany,2024,QS,205.0,45.1,51.0
UNI00234,University of Otago,New Zealand,2024,QS,206.0,45.0,46.3
UNI00143,Vrije Universiteit Amsterdam,Netherlands,2024,QS,207.0,44.9,39.6
UNI00211,University of Aberdeen,United Kingdom,2024,QS,208.0,44.6,29.6
UNI00236,Queen's University at Kingston,Canada,2024,QS,209.0,44.5,40.5
UNI00204,University of Twente,Netherlands,2024,QS,210.0,44.4,20.6
UNI00238,Chulalongkorn University,Thailand,2024,QS,211.0,44.3,66.6
UNI00239,Loughborough University,United Kingdom,2024,QS,212.0,44.2,30.5
UNI00240,Eberhard Karls UniversitÃ¤t TÃ¼bingen,Germany,2024,QS,213.0,44.1,45.8
UNI00242,Keio University,Japan,2024,QS,214.0,44.0,51.4
UNI00243,Tel Aviv University,Israel,2024,QS,215.0,43.9,33.2
UNI00245,Tongji University,China (Mainland),2024,QS,216.0,43.5,34.4
UNI00248,National Yang Ming Chiao Tung University,Taiwan,2024,QS,217.0,43.3,33.3
UNI00249,University of Sussex,United Kingdom,2024,QS,218.0,43.1,22.9
UNI00250,UniversitÃ Â di Padova,Italy,2024,QS,219.0,43.0,57.3
UNI00251,Universidade Estadual de Campinas (Unicamp),Brazil,2024,QS,,42.7,70.3
UNI00158,University of Lausanne,Switzerland,2024,QS,,42.7,29.4
UNI00252,Radboud University,Netherlands,2024,QS,,42.5,28.9
UNI00253,University of Pittsburgh,United States,2024,QS,,42.5,37.9
UNI00155,University of Rochester,United States,2024,QS,224.0,42.4,22.1
UNI00244,Indian Institute of Science,India,2024,QS,225.0,42.1,41.5
UNI00254,American University of Beirut (AUB),Lebanon,2024,QS,,41.9,27.6
UNI00255,Universidad Nacional de Colombia,Colombia,2024,QS,,41.9,69.5
UNI00257,National Cheng Kung University (NCKU),Taiwan,2024,QS,228.0,41.8,49.4
UNI00258,Friedrich-Alexander-UniversitÃ¤t Erlangen-NÃ¼rnberg,Germany,2024,QS,229.0,41.7,25.2
UNI00259,Al-Farabi Kazakh National University,Kazakhstan,2024,QS,,41.6,51.4
UNI00260,Khalifa University of Science and Technology,United Arab Emirates,2024,QS,,41.6,19.7
UNI00132,University of GÃ¶ttingen,Germany,2024,QS,232.0,41.4,47.4
UNI00261,Deakin University,Australia,2024,QS,,41.3,29.6
UNI00263,National Tsing Hua University,Taiwan,2024,QS,,41.3,53.1
UNI00264,Heriot-Watt University,United Kingdom,2024,QS,235.0,41.2,16.4
UNI00266,UniversitÃ© de Paris-CitÃ©,France,2024,QS,236.0,41.1,31.6
UNI00146,Dartmouth College,United States,2024,QS,,40.9,21.1
UNI00267,Universitas Indonesia,Indonesia,2024,QS,,40.9,50.5
UNI00268,Massey University,New Zealand,2024,QS,,40.6,30.4
UNI00269,Rheinische Friedrich-Wilhelms-UniversitÃ¤t Bonn,Germany,2024,QS,,40.6,52.4
UNI00270,Victoria University of Wellington,New Zealand,2024,QS,241.0,40.5,44.8
UNI00272,La Trobe University,Australia,2024,QS,242.0,40.3,22.6
UNI00273,Griffith University,Australia,2024,QS,243.0,40.1,26.5
UNI00265,University of Surrey,United Kingdom,2024,QS,244.0,39.9,20.4
UNI00275,University of Massachusetts Amherst,United States,2024,QS,245.0,39.8,39.5
UNI00276,Technical University of Darmstadt,Germany,2024,QS,,39.7,21.0
UNI00279,Technische UniversitÃ¤t Dresden,Germany,2024,QS,,39.7,37.5
UNI00280,Charles University,Czech Republic,2024,QS,,39.6,45.5
UNI00153,University of Antwerp,Belgium,2024,QS,,39.6,23.7
UNI00281,University of Waikato,New Zealand,2024,QS,250.0,39.5,18.4
UNI00283,The Hebrew University of Jerusalem,Israel,2024,QS,251.0,39.3,34.3
UNI00284,Politecnico di Torino,Italy,2024,QS,252.0,39.2,38.5
UNI00285,University of Porto,Portugal,2024,QS,253.0,39.0,39.8
UNI00288,University of Macau,Macau SAR,2024,QS,254.0,38.9,10.6
UNI00156,Case Western Reserve University,United States,2024,QS,255.0,38.8,18.4
UNI00292,Harbin Institute of Technology,China (Mainland),2024,QS,,38.7,28.6
UNI00163,Maastricht University,Netherlands,2024,QS,,38.7,23.4
UNI00293,University of Canterbury | Te Whare WÄnanga o Waitaha,New Zealand,2024,QS,,38.7,33.8
UNI00295,Vrije Universiteit Brussel (VUB),Belgium,2024,QS,259.0,38.6,23.1
UNI00297,University of Virginia,United States,2024,QS,260.0,38.5,35.6
UNI00108,Vanderbilt University,United States,2024,QS,261.0,38.4,25.2
UNI00298,University of Warsaw,Poland,2024,QS,262.0,38.1,48.7
UNI00299,Gadjah Mada University,Indonesia,2024,QS,263.0,38.0,51.7
UNI00161,University of Colorado Boulder,United States,2024,QS,,37.9,36.9
UNI00300,University of Witwatersrand,South Africa,2024,QS,,37.9,25.7
UNI00224,Ulsan National Institute of Science and Technology (UNIST),South Korea,2024,QS,,37.7,15.0
UNI00301,University of Lisbon,Portugal,2024,QS,,37.7,42.2
UNI00302,LinkÃ¶ping University,Sweden,2024,QS,,37.5,19.0
UNI00107,"University of California, Irvine",United States,2024,QS,,37.5,37.6
UNI00170,University of Cologne,Germany,2024,QS,,37.5,36.9
UNI00305,Indian Institute of Technology Kharagpur (IIT-KGP),India,2024,QS,271.0,37.4,32.2
UNI00307,Beijing Normal University,China (Mainland),2024,QS,,37.3,38.4
UNI00184,University of Leicester,United Kingdom,2024,QS,,37.3,21.2
UNI00308,North Carolina State University,United States,2024,QS,274.0,37.2,27.8
UNI00309,Huazhong University of Science and Technology,China (Mainland),2024,QS,275.0,37.1,22.7
UNI00310,University of Milan,Italy,2024,QS,,37.0,51.2
UNI00311,University of Strathclyde,United Kingdom,2024,QS,,37.0,26.3
UNI00312,Indian Institute of Technology Kanpur (IITK),India,2024,QS,,36.9,34.7
UNI00216,University of Miami,United States,2024,QS,,36.9,20.1
UNI00313,University of Navarra,Spain,2024,QS,280.0,36.8,29.0
UNI00315,Bandung Institute of Technology (ITB),Indonesia,2024,QS,,36.6,41.0
UNI00225,University of Bergen,Norway,2024,QS,,36.6,32.7
UNI00316,Stellenbosch University,South Africa,2024,QS,283.0,36.5,25.0
UNI00317,Taylor's University,Malaysia,2024,QS,284.0,36.2,24.0
UNI00319,Indian Institute of Technology Madras (IITM),India,2024,QS,,36.1,40.1
UNI00271,Swinburne University of Technology,Australia,2024,QS,,36.1,13.4
UNI00322,The University of Arizona,United States,2024,QS,,36.1,38.5
UNI00324,Tianjin University,China (Mainland),2024,QS,,36.1,18.7
UNI00325,University of Galway,Ireland,2024,QS,289.0,36.0,26.3
UNI00326,United Arab Emirates University,United Arab Emirates,2024,QS,290.0,35.9,28.3
UNI00327,Xiâan Jiaotong University,China (Mainland),2024,QS,291.0,35.8,21.4
UNI00329,Norwegian University of Science And Technology,Norway,2024,QS,,35.7,34.0
UNI00330,University College Cork,Ireland,2024,QS,,35.7,28.4
UNI00331,UniversitÃ© Grenoble Alpes,France,2024,QS,294.0,35.6,44.5
UNI00332,Hong Kong Baptist University,Hong Kong SAR,2024,QS,,35.4,19.4
UNI00333,University of East Anglia (UEA),United Kingdom,2024,QS,,35.4,19.2
UNI00159,Georgetown University,United States,2024,QS,297.0,35.3,30.3
UNI00335,Dalhousie University,Canada,2024,QS,298.0,34.9,19.2
UNI00256,Rutgers UniversityâNew Brunswick,United States,2024,QS,299.0,34.8,36.9
UNI00337,UCSI University,Malaysia,2024,QS,300.0,34.7,22.5
UNI00339,Southern University of Science and Technology,China (Mainland),2024,QS,301.0,34.6,9.1
UNI00340,Goethe-University Frankfurt am Main,Germany,2024,QS,,34.5,44.4
UNI00336,Virginia Polytechnic Institute and State University,United States,2024,QS,,34.5,26.2
UNI00341,Jagiellonian University,Poland,2024,QS,,34.3,37.3
UNI00222,University of Notre Dame,United States,2024,QS,,34.3,26.5
UNI00342,University of Johannesburg,South Africa,2024,QS,306.0,34.0,16.2
UNI00343,Daegu Gyeongbuk Institute of Science and Technology (DGIST),South Korea,2024,QS,307.0,34.0,10.4
UNI00328,Swansea University,United Kingdom,2024,QS,,33.9,21.0
UNI00344,Universiti Teknologi PETRONAS (UTP),Malaysia,2024,QS,,33.9,18.2
UNI00334,University of Tasmania,Australia,2024,QS,,33.9,17.2
UNI00346,Hamad Bin Khalifa University,Qatar,2024,QS,,33.8,11.5
UNI00347,Universitat Pompeu Fabra (Barcelona),Spain,2024,QS,,33.8,30.9
UNI00348,UniversitÃ¤t Stuttgart,Germany,2024,QS,312.0,33.7,23.7
UNI00350,Indiana University Bloomington,United States,2024,QS,,33.5,35.1
UNI00314,University of Oulu,Finland,2024,QS,,33.5,15.8
UNI00351,Quaid-i-Azam University,Pakistan,2024,QS,,33.4,15.8
UNI00352,Saint Petersburg State University,Russia,2024,QS,,33.4,40.8
UNI00354,University of Turku,Finland,2024,QS,,33.4,28.3
UNI00323,Simon Fraser University,Canada,2024,QS,318.0,33.3,25.5
UNI00356,Bauman Moscow State Technical University,Russia,2024,QS,,33.2,31.3
UNI00357,Sciences Po,France,2024,QS,,33.2,17.7
UNI00358,Universidad Carlos III de Madrid (UC3M),Spain,2024,QS,,33.2,32.9
UNI00360,University of Victoria (UVic),Canada,2024,QS,322.0,33.0,17.3
UNI00361,Sun Yat-sen University,China (Mainland),2024,QS,,32.8,36.4
UNI00362,University of Illinois at Chicago (UIC),United States,2024,QS,,32.8,40.9
UNI00363,University of Pretoria,South Africa,2024,QS,,32.8,23.6
UNI00364,University of South Australia,Australia,2024,QS,,32.7,22.5
UNI00365,University of Southern Denmark (SDU),Denmark,2024,QS,,32.7,20.0
UNI00366,"City, University of London",United Kingdom,2024,QS,,32.6,21.4
UNI00367,Gwangju Institute of Science and Technology (GIST),South Korea,2024,QS,,32.6,17.4
UNI00369,UniversitÃ© Paris 1 PanthÃ©on-Sorbonne,France,2024,QS,,32.6,65.2
UNI00371,USI - UniversitÃ della Svizzera italiana,Switzerland,2024,QS,,32.6,5.8
UNI00303,Kyung Hee University,South Korea,2024,QS,,32.5,28.0
UNI00213,"University of California, Santa Cruz",United States,2024,QS,,32.5,18.4
UNI00373,Sharif University of Technology,"Iran, Islamic Republic of",2024,QS,334.0,32.4,10.1
UNI00374,University of Naples - Federico II,Italy,2024,QS,335.0,32.3,35.2
UNI00227,Aalborg University,Denmark,2024,QS,,32.2,20.0
UNI00375,Middle East Technical University,Turkey,2024,QS,,32.2,29.0
UNI00376,Pontificia Universidad CatÃ³lica del PerÃº,Peru,2024,QS,,32.2,46.3
UNI00378,University of Kent,United Kingdom,2024,QS,,32.2,17.0
UNI00380,Beijing Institute of Technology,China (Mainland),2024,QS,,32.1,22.7
UNI00235,George Washington University,United States,2024,QS,,32.1,26.9
UNI00383,RUDN University,Russia,2024,QS,342.0,32.0,22.4
UNI00384,Brunel University London,United Kingdom,2024,QS,343.0,31.9,11.3
UNI00385,University of Aveiro,Portugal,2024,QS,344.0,31.6,13.4
UNI00386,Airlangga University,Indonesia,2024,QS,,31.5,34.0
UNI00388,University of Saskatchewan,Canada,2024,QS,,31.5,12.0
UNI00389,National Technical University of Athens,Greece,2024,QS,,31.4,20.5
UNI00391,Pontificia Universidad Javeriana,Colombia,2024,QS,,31.4,43.2
UNI00393,Universidad PolitÃ©cnica de Madrid (UPM),Spain,2024,QS,,31.3,31.2
UNI00395,University of Pisa,Italy,2024,QS,,31.3,40.4
UNI00304,Lappeenranta-Lahti University of Technology LUT,Finland,2024,QS,,31.2,6.9
UNI00397,University of Coimbra,Portugal,2024,QS,,31.2,28.9
UNI00399,York University,Canada,2024,QS,353.0,31.1,23.0
UNI00401,Universitat PolitÃ¨cnica de Catalunya Â· BarcelonaTech (UPC),Spain,2024,QS,354.0,31.0,31.9
UNI00402,L.N. Gumilyov Eurasian National University (ENU),Kazakhstan,2024,QS,,30.9,29.5
UNI00404,Sichuan University,China (Mainland),2024,QS,,30.9,20.1
UNI00405,University of Tsukuba,Japan,2024,QS,,30.9,35.8
UNI00407,University of Florence,Italy,2024,QS,,30.8,33.6
UNI00379,University of Tartu,Estonia,2024,QS,,30.8,24.4
UNI00408,Shandong University,China (Mainland),2024,QS,,30.7,15.6
