master_university_id,year,source,faculty_student_score,international_students_score,faculty_to_student_ratio,international_student_pct
UNI00233,2024,QS,16.9,22.3,,
UNI00234,2024,QS,11.0,29.2,,
UNI00143,2024,QS,23.6,40.2,,
UNI00211,2024,QS,29.6,96.7,,
UNI00236,2024,QS,5.3,30.6,,
UNI00204,2024,QS,39.4,91.1,,
UNI00238,2024,QS,31.5,2.9,,
UNI00239,2024,QS,23.6,63.5,,
UNI00240,2024,QS,92.9,26.7,,
UNI00242,2024,QS,58.0,9.2,,
UNI00243,2024,QS,3.8,4.6,,
UNI00245,2024,QS,28.8,32.6,,
UNI00248,2024,QS,53.9,18.5,,
UNI00249,2024,QS,14.6,93.0,,
UNI00250,2024,QS,7.8,9.4,,
UNI00251,2024,QS,13.0,2.9,,
UNI00158,2024,QS,36.6,56.6,,
UNI00252,2024,QS,27.6,20.2,,
UNI00253,2024,QS,96.1,14.9,,
UNI00155,2024,QS,97.9,91.7,,
UNI00244,2024,QS,46.4,1.7,,
UNI00254,2024,QS,57.3,46.8,,
UNI00255,2024,QS,6.1,1.5,,
UNI00257,2024,QS,32.9,15.7,,
UNI00258,2024,QS,2.8,39.9,,
UNI00259,2024,QS,98.9,34.0,,
UNI00260,2024,QS,87.2,75.3,,
UNI00132,2024,QS,70.1,22.5,,
UNI00261,2024,QS,4.8,59.9,,
UNI00263,2024,QS,28.3,20.1,,
UNI00264,2024,QS,18.6,97.6,,
UNI00266,2024,QS,9.2,41.5,,
UNI00146,2024,QS,57.9,33.9,,
UNI00267,2024,QS,50.4,4.8,,
UNI00268,2024,QS,43.2,97.9,,
UNI00269,2024,QS,58.0,37.5,,
UNI00270,2024,QS,9.1,34.6,,
UNI00272,2024,QS,6.9,98.4,,
UNI00273,2024,QS,7.5,31.7,,
UNI00265,2024,QS,23.2,88.3,,
UNI00275,2024,QS,10.7,23.8,,
UNI00276,2024,QS,6.2,74.6,,
UNI00279,2024,QS,91.2,35.2,,
UNI00280,2024,QS,34.8,51.2,,
UNI00153,2024,QS,45.3,32.3,,
UNI00281,2024,QS,11.3,73.3,,
UNI00283,2024,QS,81.2,16.0,,
UNI00284,2024,QS,2.4,46.7,,
UNI00285,2024,QS,11.1,18.7,,
UNI00288,2024,QS,12.2,99.3,,
UNI00156,2024,QS,83.0,68.3,,
UNI00292,2024,QS,41.6,8.4,,
UNI00163,2024,QS,12.8,100.0,,
UNI00293,2024,QS,10.9,35.3,,
UNI00295,2024,QS,75.9,59.2,,
UNI00297,2024,QS,56.9,10.8,,
UNI00108,2024,QS,100.0,34.6,,
UNI00298,2024,QS,41.9,8.6,,
UNI00299,2024,QS,54.4,1.6,,
UNI00161,2024,QS,33.2,5.5,,
UNI00300,2024,QS,10.9,7.5,,
UNI00224,2024,QS,84.1,10.9,,
UNI00301,2024,QS,12.7,30.7,,
UNI00302,2024,QS,34.8,30.3,,
UNI00107,2024,QS,14.6,49.6,,
UNI00170,2024,QS,19.3,30.9,,
UNI00305,2024,QS,11.8,1.3,,
UNI00307,2024,QS,25.6,23.3,,
UNI00184,2024,QS,36.1,94.1,,
UNI00308,2024,QS,8.9,15.3,,
UNI00309,2024,QS,10.0,3.2,,
UNI00310,2024,QS,5.6,6.8,,
UNI00311,2024,QS,17.7,67.0,,
UNI00312,2024,QS,14.2,1.1,,
UNI00216,2024,QS,76.8,22.8,,
UNI00313,2024,QS,56.5,74.8,,
UNI00315,2024,QS,65.6,2.3,,
UNI00225,2024,QS,67.1,14.3,,
UNI00316,2024,QS,3.1,7.8,,
UNI00317,2024,QS,63.3,98.8,,
UNI00319,2024,QS,26.6,1.4,,
UNI00271,2024,QS,11.0,65.5,,
UNI00322,2024,QS,72.5,9.3,,
UNI00324,2024,QS,34.7,27.4,,
UNI00325,2024,QS,61.2,39.3,,
UNI00326,2024,QS,52.6,38.7,,
UNI00327,2024,QS,17.4,4.1,,
UNI00329,2024,QS,23.6,10.3,,
UNI00330,2024,QS,29.4,47.1,,
UNI00331,2024,QS,7.8,34.9,,
UNI00332,2024,QS,56.0,100.0,,
UNI00333,2024,QS,16.8,38.2,,
UNI00159,2024,QS,59.0,39.8,,
UNI00335,2024,QS,16.0,74.7,,
UNI00256,2024,QS,48.7,32.8,,
UNI00337,2024,QS,72.6,98.0,,
UNI00339,2024,QS,94.6,1.5,,
UNI00340,2024,QS,21.4,25.6,,
UNI00336,2024,QS,18.7,17.9,,
UNI00341,2024,QS,65.1,13.4,,
UNI00222,2024,QS,59.7,17.7,,
UNI00342,2024,QS,36.8,50.6,,
UNI00343,2024,QS,89.0,3.7,,
UNI00328,2024,QS,23.6,54.1,,
UNI00344,2024,QS,34.6,18.5,,
UNI00334,2024,QS,17.7,95.8,,
UNI00346,2024,QS,100.0,,,
UNI00347,2024,QS,13.1,26.6,,
UNI00348,2024,QS,6.1,49.8,,
UNI00350,2024,QS,30.5,12.7,,
UNI00314,2024,QS,26.4,9.4,,
UNI00351,2024,QS,2.8,1.4,,
UNI00352,2024,QS,61.6,41.7,,
UNI00354,2024,QS,52.3,4.3,,
UNI00323,2024,QS,5.7,86.3,,
UNI00356,2024,QS,100.0,58.9,,
UNI00357,2024,QS,88.0,97.1,,
UNI00358,2024,QS,53.3,41.2,,
UNI00360,2024,QS,3.5,48.6,,
UNI00361,2024,QS,48.8,4.2,,
UNI00362,2024,QS,31.6,17.0,,
UNI00363,2024,QS,3.5,6.4,,
UNI00364,2024,QS,22.4,45.1,,
UNI00365,2024,QS,27.1,22.7,,
UNI00366,2024,QS,6.7,99.3,,
UNI00367,2024,QS,38.4,10.0,,
UNI00369,2024,QS,4.2,46.4,,
UNI00371,2024,QS,82.9,100.0,,
UNI00303,2024,QS,84.8,54.0,,
UNI00213,2024,QS,7.2,8.9,,
UNI00373,2024,QS,6.1,1.3,,
UNI00374,2024,QS,4.3,1.1,,
UNI00227,2024,QS,31.5,18.2,,
UNI00375,2024,QS,9.0,17.4,,
UNI00376,2024,QS,25.9,1.4,,
UNI00378,2024,QS,13.3,72.8,,
UNI00380,2024,QS,41.1,4.2,,
UNI00235,2024,QS,28.3,27.6,,
UNI00383,2024,QS,92.2,92.7,,
UNI00384,2024,QS,7.9,99.6,,
UNI00385,2024,QS,13.8,13.5,,
UNI00386,2024,QS,52.4,6.3,,
UNI00388,2024,QS,17.3,51.8,,
UNI00389,2024,QS,4.7,4.3,,
UNI00391,2024,QS,22.9,2.7,,
UNI00393,2024,QS,14.9,30.7,,
UNI00395,2024,QS,7.5,4.1,,
UNI00304,2024,QS,11.1,18.2,,
UNI00397,2024,QS,11.3,37.7,,
UNI00399,2024,QS,4.6,81.2,,
UNI00401,2024,QS,41.2,21.2,,
UNI00402,2024,QS,96.8,5.7,,
UNI00404,2024,QS,11.4,5.4,,
UNI00405,2024,QS,59.0,21.2,,
UNI00407,2024,QS,4.1,10.7,,
UNI00379,2024,QS,91.5,22.2,,
UNI00408,2024,QS,17.6,3.4,,
UNI00410,2024,QS,3.4,1.8,,
UNI00411,2024,QS,39.9,91.0,,
UNI00413,2024,QS,69.2,100.0,,
UNI00414,2024,QS,20.7,100.0,,
UNI00416,2024,QS,7.7,1.3,,
UNI00418,2024,QS,2.9,5.4,,
UNI00419,2024,QS,77.4,3.9,,
UNI00421,2024,QS,4.9,25.4,,
UNI00422,2024,QS,7.8,2.2,,
UNI00423,2024,QS,75.0,8.9,,
UNI00424,2024,QS,8.0,6.2,,
UNI00274,2024,QS,10.4,58.4,,
UNI00427,2024,QS,15.4,1.6,,
UNI00394,2024,QS,14.1,98.0,,
UNI00277,2024,QS,4.5,39.2,,
UNI00430,2024,QS,5.1,2.8,,
UNI00190,2024,QS,19.1,94.3,,
UNI00318,2024,QS,2.3,29.6,,
UNI00175,2024,QS,56.2,36.2,,
UNI00349,2024,QS,6.5,89.5,,
UNI00246,2024,QS,77.2,100.0,,
UNI00434,2024,QS,77.7,5.1,,
UNI00436,2024,QS,8.9,32.3,,
UNI00437,2024,QS,29.5,3.5,,
UNI00438,2024,QS,55.3,4.9,,
UNI00241,2024,QS,36.8,12.9,,
UNI00338,2024,QS,8.3,19.9,,
UNI00442,2024,QS,95.3,49.9,,
UNI00444,2024,QS,3.0,89.3,,
UNI00446,2024,QS,43.6,31.1,,
UNI00447,2024,QS,96.3,65.1,,
UNI00448,2024,QS,37.1,69.3,,
UNI00451,2024,QS,19.0,4.5,,
UNI00449,2024,QS,43.9,4.6,,
UNI00453,2024,QS,20.0,3.4,,
UNI00428,2024,QS,1.7,18.9,,
UNI00455,2024,QS,93.7,96.1,,
UNI00457,2024,QS,30.4,51.0,,
UNI00458,2024,QS,90.7,16.1,,
UNI00426,2024,QS,8.4,11.1,,
UNI00460,2024,QS,10.4,68.7,,
UNI00462,2024,QS,19.6,47.0,,
UNI00463,2024,QS,5.6,16.1,,
UNI00465,2024,QS,12.1,18.3,,
UNI00290,2024,QS,6.7,9.1,,
UNI00466,2024,QS,38.0,1.1,,
UNI00461,2024,QS,10.3,99.3,,
UNI00467,2024,QS,3.9,1.7,,
UNI00468,2024,QS,56.8,4.2,,
UNI00469,2024,QS,8.7,2.2,,
UNI00429,2024,QS,83.6,7.8,,
UNI00372,2024,QS,4.5,26.3,,
UNI00471,2024,QS,13.8,70.3,,
UNI00370,2024,QS,13.7,88.7,,
UNI00420,2024,QS,14.1,13.5,,
UNI00474,2024,QS,96.0,53.1,,
UNI00476,2024,QS,42.8,3.9,,
UNI00478,2024,QS,99.4,91.5,,
UNI00480,2024,QS,15.0,2.8,,
UNI00387,2024,QS,16.2,5.5,,
UNI00482,2024,QS,99.5,58.8,,
UNI00483,2024,QS,93.5,56.3,,
UNI00484,2024,QS,12.9,48.5,,
UNI00485,2024,QS,5.3,38.6,,
UNI00294,2024,QS,2.3,58.9,,
UNI00487,2024,QS,14.0,28.6,,
UNI00490,2024,QS,5.3,1.5,,
UNI00491,2024,QS,56.2,100.0,,
UNI00492,2024,QS,99.2,,,
UNI00454,2024,QS,19.3,6.2,,
UNI00431,2024,QS,24.0,11.2,,
UNI00435,2024,QS,5.4,76.6,,
UNI00495,2024,QS,27.0,18.2,,
UNI00497,2024,QS,65.4,26.7,,
UNI00441,2024,QS,10.5,83.5,,
UNI00477,2024,QS,25.6,19.3,,
UNI00320,2024,QS,14.7,26.7,,
UNI00377,2024,QS,23.9,6.4,,
UNI00500,2024,QS,10.7,3.0,,
UNI00501,2024,QS,6.2,83.1,,
UNI00503,2024,QS,4.9,16.4,,
UNI00231,2024,QS,37.5,79.9,,
UNI00306,2024,QS,25.6,36.3,,
UNI00278,2024,QS,53.0,10.1,,
UNI00506,2024,QS,2.0,16.2,,
UNI00409,2024,QS,14.5,19.0,,
UNI00459,2024,QS,10.0,38.3,,
UNI00504,2024,QS,82.9,27.2,,
UNI00381,2024,QS,10.8,2.5,,
UNI00510,2024,QS,37.5,1.6,,
UNI00499,2024,QS,86.2,2.8,,
UNI00513,2024,QS,2.5,1.5,,
UNI00515,2024,QS,5.6,3.6,,
UNI00517,2024,QS,8.2,13.2,,
UNI00518,2024,QS,75.8,39.2,,
UNI00519,2024,QS,33.3,1.1,,
UNI00521,2024,QS,23.9,3.5,,
UNI00522,2024,QS,56.7,3.4,,
UNI00523,2024,QS,2.1,20.9,,
UNI00525,2024,QS,13.0,99.0,,
UNI00526,2024,QS,16.4,21.8,,
UNI00296,2024,QS,6.8,3.9,,
UNI00527,2024,QS,99.0,90.7,,
UNI00530,2024,QS,99.9,22.4,,
UNI00531,2024,QS,54.5,16.2,,
UNI00470,2024,QS,19.7,9.0,,
UNI00533,2024,QS,68.3,9.6,,
UNI00400,2024,QS,14.4,19.5,,
UNI00321,2024,QS,5.5,99.7,,
UNI00534,2024,QS,11.7,15.7,,
UNI00425,2024,QS,13.0,94.1,,
UNI00535,2024,QS,7.5,13.2,,
UNI00536,2024,QS,81.0,12.9,,
UNI00538,2024,QS,36.1,4.9,,
UNI00540,2024,QS,93.2,25.8,,
UNI00541,2024,QS,83.0,14.9,,
UNI00542,2024,QS,53.2,7.7,,
UNI00543,2024,QS,47.0,23.9,,
UNI00545,2024,QS,33.7,14.2,,
UNI00547,2024,QS,71.0,15.8,,
UNI00516,2024,QS,6.5,12.3,,
UNI00464,2024,QS,14.9,55.4,,
UNI00550,2024,QS,28.6,22.4,,
UNI00433,2024,QS,16.8,30.6,,
UNI00551,2024,QS,84.3,4.2,,
UNI00359,2024,QS,2.9,4.6,,
UNI00552,2024,QS,10.9,16.6,,
UNI00554,2024,QS,8.6,2.6,,
UNI00496,2024,QS,5.8,15.1,,
UNI00556,2024,QS,66.1,3.8,,
UNI00368,2024,QS,7.6,16.2,,
UNI00557,2024,QS,16.8,3.2,,
UNI00558,2024,QS,7.8,33.3,,
UNI00247,2024,QS,48.2,4.6,,
UNI00560,2024,QS,69.5,36.3,,
UNI00562,2024,QS,13.8,1.9,,
UNI00539,2024,QS,19.5,44.3,,
UNI00565,2024,QS,16.7,16.0,,
UNI00566,2024,QS,77.4,19.8,,
UNI00567,2024,QS,11.9,90.5,,
UNI00406,2024,QS,6.9,13.7,,
UNI00569,2024,QS,17.4,34.1,,
UNI00572,2024,QS,17.2,5.7,,
UNI00575,2024,QS,39.3,2.2,,
UNI00532,2024,QS,8.7,87.3,,
UNI00577,2024,QS,4.5,100.0,,
UNI00578,2024,QS,29.5,10.3,,
UNI00579,2024,QS,18.9,9.6,,
UNI00580,2024,QS,35.0,12.7,,
UNI00581,2024,QS,55.7,24.3,,
UNI00398,2024,QS,46.4,21.9,,
UNI00583,2024,QS,19.1,19.6,,
UNI00544,2024,QS,18.3,99.0,,
UNI00586,2024,QS,40.4,23.5,,
UNI00587,2024,QS,4.0,2.6,,
UNI00479,2024,QS,3.8,1.2,,
UNI00588,2024,QS,99.9,8.8,,
UNI00590,2024,QS,53.3,5.9,,
UNI00593,2024,QS,9.7,4.5,,
UNI00594,2024,QS,16.3,26.7,,
UNI00596,2024,QS,64.5,20.1,,
UNI00597,2024,QS,75.4,8.5,,
UNI00443,2024,QS,3.8,35.5,,
UNI00598,2024,QS,57.6,9.7,,
UNI00498,2024,QS,13.0,67.4,,
UNI00599,2024,QS,90.3,5.5,,
UNI00601,2024,QS,100.0,46.2,,
UNI00439,2024,QS,34.5,15.0,,
UNI00602,2024,QS,,,,
UNI00412,2024,QS,6.2,72.6,,
UNI00604,2024,QS,3.8,4.0,,
UNI00605,2024,QS,47.7,9.4,,
UNI00606,2024,QS,90.5,96.6,,
UNI00486,2024,QS,11.3,8.8,,
UNI00608,2024,QS,19.9,1.6,,
UNI00609,2024,QS,77.6,87.6,,
UNI00473,2024,QS,3.0,3.8,,
UNI00611,2024,QS,23.2,22.4,,
UNI00612,2024,QS,68.8,66.3,,
UNI00615,2024,QS,40.4,79.8,,
UNI00617,2024,QS,35.1,1.9,,
UNI00618,2024,QS,23.8,29.9,,
UNI00620,2024,QS,96.2,38.9,,
UNI00621,2024,QS,78.3,21.1,,
UNI00623,2024,QS,34.7,,,
UNI00584,2024,QS,7.8,2.9,,
UNI00625,2024,QS,9.4,4.9,,
UNI00626,2024,QS,10.5,63.3,,
UNI00628,2024,QS,26.2,29.6,,
UNI00629,2024,QS,10.7,72.3,,
UNI00603,2024,QS,39.4,4.8,,
UNI00631,2024,QS,8.2,100.0,,
UNI00632,2024,QS,31.3,100.0,,
UNI00355,2024,QS,78.8,23.9,,
UNI00520,2024,QS,18.8,8.2,,
UNI00634,2024,QS,15.8,2.1,,
UNI00488,2024,QS,12.0,12.1,,
UNI00636,2024,QS,84.3,88.4,,
UNI00638,2024,QS,15.6,7.9,,
UNI00639,2024,QS,17.2,5.3,,
UNI00641,2024,QS,99.0,71.9,,
UNI00643,2024,QS,13.2,2.2,,
UNI00528,2024,QS,12.2,38.9,,
UNI00392,2024,QS,29.0,2.7,,
UNI00645,2024,QS,5.3,45.4,,
UNI00262,2024,QS,7.9,13.8,,
UNI00286,2024,QS,44.1,93.6,,
UNI00646,2024,QS,19.7,23.5,,
UNI00647,2024,QS,4.2,4.2,,
UNI00616,2024,QS,6.7,79.4,,
UNI00648,2024,QS,16.4,4.1,,
UNI00650,2024,QS,15.7,100.0,,
UNI00651,2024,QS,3.9,1.1,,
UNI00652,2024,QS,38.7,10.3,,
UNI00654,2024,QS,85.3,45.1,,
UNI00655,2024,QS,8.9,3.5,,
UNI00656,2024,QS,11.6,31.9,,
UNI00658,2024,QS,91.1,15.6,,
UNI00659,2024,QS,70.5,7.7,,
UNI00232,2024,QS,12.6,99.9,,
UNI00502,2024,QS,60.2,86.6,,
UNI00660,2024,QS,36.8,44.9,,
UNI00661,2024,QS,3.7,2.9,,
UNI00662,2024,QS,39.9,5.8,,
UNI00663,2024,QS,93.9,76.6,,
UNI00665,2024,QS,52.2,24.3,,
UNI00667,2024,QS,40.2,3.3,,
UNI00669,2024,QS,24.0,98.1,,
UNI00633,2024,QS,8.5,40.5,,
UNI00670,2024,QS,20.8,20.5,,
UNI00494,2024,QS,14.7,92.8,,
UNI00472,2024,QS,2.8,4.5,,
UNI00672,2024,QS,85.9,16.5,,
UNI00637,2024,QS,10.2,61.0,,
UNI00673,2024,QS,9.3,1.6,,
UNI00675,2024,QS,55.2,1.4,,
UNI00677,2024,QS,98.8,3.1,,
UNI00678,2024,QS,10.9,,,
UNI00679,2024,QS,25.1,1.7,,
UNI00445,2024,QS,81.5,14.5,,
UNI00682,2024,QS,89.9,39.2,,
UNI00570,2024,QS,23.6,15.5,,
UNI00683,2024,QS,20.4,100.0,,
UNI00403,2024,QS,4.0,76.7,,
UNI00345,2024,QS,21.1,22.3,,
UNI00684,2024,QS,12.2,1.6,,
UNI00687,2024,QS,6.1,99.4,,
UNI00688,2024,QS,56.9,17.6,,
UNI00690,2024,QS,13.1,2.2,,
UNI00692,2024,QS,44.6,50.5,,
UNI00693,2024,QS,11.9,100.0,,
UNI00694,2024,QS,92.0,21.3,,
UNI00696,2024,QS,22.7,70.9,,
UNI00697,2024,QS,82.8,9.8,,
UNI00698,2024,QS,23.0,9.1,,
UNI00653,2024,QS,38.0,12.4,,
UNI00553,2024,QS,100.0,15.3,,
UNI00700,2024,QS,32.8,18.0,,
UNI00701,2024,QS,57.8,100.0,,
UNI00702,2024,QS,70.0,4.7,,
UNI00703,2024,QS,36.9,5.2,,
UNI00704,2024,QS,33.5,94.1,,
UNI00705,2024,QS,46.0,4.8,,
UNI00548,2024,QS,4.7,91.4,,
UNI00642,2024,QS,6.3,32.2,,
UNI00627,2024,QS,6.5,1.9,,
UNI00707,2024,QS,35.6,10.7,,
UNI00699,2024,QS,34.7,3.8,,
UNI00709,2024,QS,4.7,2.5,,
UNI00573,2024,QS,65.1,13.7,,
UNI00287,2024,QS,19.3,18.3,,
