institution_name,location,region,size,focus,res,status,rank_2025,rank_2024,overall,academic_reputation,employer_reputation,faculty_student,citations_per_faculty,international_faculty,international_students,international_research_network,employment_outcomes,sustainability,rank_update
Tsinghua University,China (Mainland),Asia,Extra Large,Full Comprehensive,Very High,Public,20,25,86.5,99.2,97.7,95,99.1,18.1,13.4,79.2,92.3,40.4,5
University of Chicago,United States,Americas,Large,Full Comprehensive,Very High,Private,21,11,86.2,99.1,96.4,94.2,60.8,79,87,85.1,99.1,46.9,-10
Princeton University,United States,Americas,Medium,Comprehensive,Very High,Private,22,17,85.5,99.8,98.3,57,100,9.6,56.6,78.3,95.7,51.5,-5
Yale University,United States,Americas,Large,Full Comprehensive,Very High,Private,23,16,85.2,99.9,99.9,100,38.6,91.5,63.3,93.9,98.5,92.2,-7
Université PSL,France,Europe,Large,Comprehensive,Very High,Public,24,24,84.7,74.4,97.6,98.1,87.6,62.3,65,99.8,97.1,73.4,0
University of Toronto,Canada,Americas,Extra Large,Full Comprehensive,Very High,Public,25,21,84.1,99.7,96.9,44.9,50.8,96.9,96.1,97.7,98.7,100,-4
EPFL,Switzerland,Europe,Medium,Foucsed,Very High,Public,26,36,83.5,84.2,67.2,91.2,93.6,100,100,81.7,27.2,86.7,10
The University of Edinburgh,United Kingdom,Europe,Extra Large,Full Comprehensive,Very High,Public,27,22,83.3,98.3,97.2,65.5,47.7,98.7,99.8,99.5,55.9,99,-5
Technical University of Munich,Germany,Europe,Extra Large,Foucsed,Very High,Public,28,37,83.2,83,98.6,76.8,75.9,80.4,98.6,95.6,34.5,93.1,9
McGill University,Canada,Americas,Large,Full Comprehensive,Very High,Public,29,30,83,94.3,87.6,62.3,57.9,83.7,89.6,94.2,98.3,99.1,1
The Australian National University,Australia,Oceania,Large,Full Comprehensive,Very High,Public,30,34,82.4,93.8,75.4,34.6,84.6,100,96.2,91.4,56.6,97.1,4
Seoul National University,South Korea,Asia,Large,Full Comprehensive,Very High,Public,31,41,82.3,98.5,98.6,83.1,71.7,10.5,16.9,73.2,100,96,10
Johns Hopkins University,United States,Americas,Large,Full Comprehensive,Very High,Private,32,28,82.1,86,62.6,100,84.2,63.7,95.8,98.7,71.5,61.9,-4
The University of Tokyo,Japan,Asia,Large,Full Comprehensive,Very High,Public,32,28,82.1,100,99.8,89.3,57.3,10.1,29.7,87.4,99.9,98.3,-4
Columbia University,United States,Americas,Extra Large,Full Comprehensive,Very High,Private,34,23,82,99.6,98.8,100,31.7,41.5,97,98.5,99.9,71.8,-11
The University of Manchester,United Kingdom,Europe,Extra Large,Full Comprehensive,Very High,Public,34,32,82,95.6,98.1,51.3,45.1,93.1,99.2,99.2,87.6,99.8,-2
The Chinese University of Hong Kong (CUHK),Hong Kong SAR,Asia,Large,Full Comprehensive,Very High,Public,36,47,81.3,86.7,53.3,64.2,92.9,100,87.5,74.2,89,86.7,11
Monash University,Australia,Oceania,Extra Large,Full Comprehensive,Very High,Public,37,42,81.2,89.2,79.6,9.4,87.6,100,100,94.8,79.4,98.2,5
University of British Columbia,Canada,Americas,Extra Large,Full Comprehensive,Very High,Public,38,34,81,98.3,94.3,34.5,57.7,95.5,72.8,96.2,74.6,99.8,-4
Fudan University,China (Mainland),Asia,Extra Large,Full Comprehensive,Very High,Public,39,50,80.3,85.7,87.8,79.7,80.7,88.4,35.1,67.2,64.4,82.7,11
King's College London,United Kingdom,Europe,Extra Large,Full Comprehensive,Very High,Public,40,40,80.2,90.3,85.7,64.3,53.6,99.1,99.5,98.6,59.8,96.2,0
The University of Queensland,Australia,Oceania,Extra Large,Full Comprehensive,Very High,Public,40,43,80.2,86.7,74,21.2,90.2,100,100,96.7,56.7,96.7,3
University of California  Los Angeles (UCLA),United States,Americas,Extra Large,Full Comprehensive,Very High,Public,42,29,79.8,100,99.8,35.4,74,42.2,22.3,95.5,94.7,67.1,-13
New York University (NYU),United States,Americas,Extra Large,Full Comprehensive,Very High,Private,43,38,79.6,96.3,98.8,90.5,28.6,30.2,98.1,92.6,98.4,95.4,-5
University of Michigan-Ann Arbor,United States,Americas,Extra Large,Full Comprehensive,Very High,Public,44,33,79,97.9,92.1,80.3,47.6,65.5,39.2,95.8,94.5,62.2,-11
Shanghai Jiao Tong University,China (Mainland),Asia,Extra Large,Full Comprehensive,Very High,Public,45,51,77.8,84,86.3,58.6,99.6,23.1,19.6,73.7,73.5,80.3,6
Institut Polytechnique de Paris,France,Europe,Medium,Comprehensive,Very High,Public,46,38,77.5,44.7,99.6,95.9,86.1,99.1,98,89.6,97.7,54.8,-8
The Hong Kong University of Science and Technology,Hong Kong SAR,Asia,Medium,Foucsed,Very High,Public,47,60,77.1,81.1,50.3,56.7,99.7,100,95.4,46.7,65.4,77.6,13
Zhejiang University,China (Mainland),Asia,Extra Large,Full Comprehensive,Very High,Public,47,44,77.1,75.3,95.4,54.7,99.5,95,15.9,91.8,55.5,30.7,-3
Delft University of Technology,Netherlands,Europe,Large,Comprehensive,Very High,Public,49,47,77,74.4,83,39.4,79.7,100,91.4,93.7,54.8,99.1,-2
Kyoto University,Japan,Asia,Large,Full Comprehensive,Very High,Public,50,46,76,98.8,99,94.2,39.3,15.9,19,85.7,72.8,85.2,-4
Northwestern University,United States,Americas,Large,Full Comprehensive,Very High,Private,50,47,76,84,68,97.6,67.7,45.4,52,89.4,96.8,55.4,-3
The London School of Economics and Political Science (LSE),United Kingdom,Europe,Large,Specialist,Very High,Public,50,45,76,67.2,97,35.1,69.4,100,100,81.2,99.6,91.3,-5
KAIST - Korea Advanced Institute of Science & Technology,South Korea,Asia,Medium,Comprehensive,Very High,Public,53,56,75.7,87.7,91,60.2,96.2,21.1,10.9,46.8,63.3,60.3,3
University of Bristol,United Kingdom,Europe,Large,Full Comprehensive,Very High,Public,54,55,75.4,75.8,82.5,36.7,75.9,87.5,89.8,94.6,51.2,98.9,1
University of Amsterdam,Netherlands,Europe,Extra Large,Full Comprehensive,Very High,Public,55,53,73.7,83.8,52.1,21.4,92.2,96,87.5,96.3,79.8,38.2,-2
Yonsei University,South Korea,Asia,Large,Full Comprehensive,Very High,Private,56,76,72.9,81.5,97,84.2,44.1,20.7,51.2,78.7,87.8,88.9,20
The Hong Kong Polytechnic University,Hong Kong SAR,Asia,Large,Comprehensive,Very High,Public,57,65,72.1,68,35.6,65,94.9,100,91.9,78.9,64.5,77.4,8
Carnegie Mellon University,United States,Americas,Large,Full Comprehensive,Very High,Private,58,52,72,69.8,80.1,40.9,98.9,33.7,99.1,79.9,61.5,24.5,-6
Ludwig-Maximilians-Universität München,Germany,Europe,Extra Large,Full Comprehensive,Very High,Public,59,54,71.6,92.2,86.6,38.5,50,75.1,37.6,95.5,66.9,62.2,-5
Universiti Malaya (UM),Malaysia,Asia,Large,Full Comprehensive,Very High,Public,60,65,71.2,82.9,95.1,75.7,29.1,60.2,64.2,91.8,69.3,83.6,5
Duke University,United States,Americas,Large,Full Comprehensive,Very High,Private,61,57,70.8,86,74.7,100,35.1,16.3,61,93.3,85.5,75,-4
City University of Hong Kong,Hong Kong SAR,Asia,Medium,Comprehensive,Very High,Public,62,70,70.7,60.9,30.8,89.5,100,100,100,62.9,37.5,72.9,8
KU Leuven,Belgium,Europe,Extra Large,Full Comprehensive,Very High,Public,63,61,70.3,84.6,49.6,7.1,91,93.8,47.7,99.5,75.3,51.2,-2
Sorbonne University,France,Europe,Extra Large,Full Comprehensive,Very High,Public,63,59,70.3,87.2,52,43,72.3,33.8,46.7,99.8,79.7,87.6,-4
The University of Auckland,New Zealand,Oceania,Extra Large,Full Comprehensive,Very High,Public,65,68,69.7,82.2,44.7,15.5,66.9,100,84,87.4,92.9,99.7,3
University of Texas at Austin,United States,Americas,Extra Large,Full Comprehensive,Very High,Public,66,58,69.5,93.5,86.6,8.1,76.7,6.1,11.7,91.7,81.7,52.1,-8
Korea University,South Korea,Asia,Large,Full Comprehensive,Very High,Private,67,79,69,78.2,93.8,73,45,15.2,45.7,65.7,89,85.2,12
National Taiwan University (NTU),Taiwan,Asia,Extra Large,Full Comprehensive,Very High,Public,68,69,68.7,93.4,92.1,25.5,44.3,16.7,27.4,71.5,99.9,90,1
The University of Warwick,United Kingdom,Europe,Large,Full Comprehensive,Very High,Public,69,67,68.2,72.2,86.4,35.5,37.7,98.1,99.1,94.2,65.7,89.7,-2
University of Illinois at Urbana-Champaign,United States,Americas,Extra Large,Full Comprehensive,Very High,Public,69,64,68.2,83.9,75.7,6.4,77.5,14,56.3,90.4,81.7,65,-5
Universidad de Buenos Aires (UBA),Argentina,Americas,Extra Large,Full Comprehensive,Very High,Public,71,95,67.6,94.1,94.1,71.7,1.6,63.9,64.6,73.4,99.8,51.8,24
University of California  San Diego (UCSD),United States,Americas,Extra Large,Full Comprehensive,Very High,Public,72,62,67.1,89.3,57.8,50.8,67,54.6,44.3,95.5,21.7,44.3,-10
Université Paris-Saclay,France,Europe,Extra Large,Comprehensive,Very High,Public,73,71,67,60.7,99.1,99.8,35,35.7,58.6,98.6,70.8,72.6,-2
KTH Royal Institute of Technology,Sweden,Europe,Large,Foucsed,Very High,Public,74,73,65.7,45.2,55.6,62.3,86.1,92,65.9,91.1,62.4,94.8,-1
Lund University,Sweden,Europe,Large,Full Comprehensive,Very High,Public,75,85,65.6,68.3,52.5,55.5,44.6,97.4,73.4,96.7,86.5,99.6,10
University of Washington,United States,Americas,Extra Large,Full Comprehensive,Very High,Public,76,63,65.3,81.9,55.5,28.6,78.8,11,32.8,95.6,68.7,66.5,-13
The University of Western Australia,Australia,Oceania,Large,Full Comprehensive,Very High,Public,77,72,65.2,55.5,41.8,13.1,98.8,100,99.8,94.2,78,50.8,-5
University of Glasgow,United Kingdom,Europe,Extra Large,Full Comprehensive,Very High,Public,78,76,65,77.4,67.7,38,32.5,95.7,99.4,97.6,33.5,98.5,-2
Brown University,United States,Americas,Medium,Full Comprehensive,Very High,Private,79,73,64.7,59.9,49.6,77.7,76.4,79.9,50.9,83.2,63.6,46.6,-6
University of Birmingham,United Kingdom,Europe,Extra Large,Full Comprehensive,Very High,Public,80,84,64.1,68.9,69,39,40.5,92.6,89.3,97.5,44.5,96.8,4
University of Southampton,United Kingdom,Europe,Large,Full Comprehensive,Very High,Public,80,81,64.1,50.1,44.3,40.7,83.4,92.5,98,97.1,49.2,96.9,1
The University of Adelaide,Australia,Oceania,Large,Full Comprehensive,Very High,Public,82,89,63.8,56,38.9,17.9,87,100,99.3,93.6,51.5,95.7,7
University of Leeds,United Kingdom,Europe,Extra Large,Full Comprehensive,Very High,Public,82,75,63.8,70.5,75.9,36.4,39.8,82.5,88.5,98.8,50.9,71.8,-7
Ruprecht-Karls-Universität Heidelberg,Germany,Europe,Large,Foucsed,Very High,Public,84,87,63.7,76.9,59.4,99.4,32.7,54.2,53.6,94.5,25.2,77.6,3
Tokyo Institute of Technology (Tokyo Tech),Japan,Asia,Medium,Foucsed,Very High,Public,84,91,63.7,75.1,94.1,84.1,43.1,23.4,30.5,61.2,23.7,62.2,7
Osaka University,Japan,Asia,Large,Full Comprehensive,Very High,Public,86,80,63.5,82.4,87,45.2,54.9,23.9,12.2,68.2,33,68,-6
Trinity College Dublin  The University of Dublin,Ireland,Europe,Large,Full Comprehensive,Very High,Public,87,81,62.9,69.5,47.4,20.2,58.4,99.3,88,91.3,88.6,57.7,-6
University of Technology Sydney,Australia,Oceania,Large,Comprehensive,Very High,Public,88,90,62.4,43.9,55,9.8,97.7,96.6,86,91.4,40.2,96.3,2
Durham University,United Kingdom,Europe,Large,Full Comprehensive,Very High,Public,89,78,61.7,59.6,83.9,26.3,40.9,97.3,84.9,89.7,39.4,98.6,-11
Pennsylvania State University,United States,Americas,Extra Large,Full Comprehensive,Very High,Public,89,83,61.7,76.6,64.5,25,55.4,25.1,28,97.9,61.9,96.5,-6
Purdue University,United States,Americas,Extra Large,Full Comprehensive,Very High,Public,89,99,61.7,63.3,81.1,11.4,54.3,79.6,45.2,92.9,63.1,90.1,10
Universidade de São Paulo,Brazil,Americas,Extra Large,Full Comprehensive,Very High,Public,92,85,61.6,92.8,74.6,21.4,28.5,6.8,2.1,95.9,97.9,93.6,-7
Pontificia Universidad Católica de Chile (UC),Chile,Americas,Large,Full Comprehensive,Very High,Private,93,103,61.5,93.7,98,23.7,8.8,26,3.7,82.5,99.9,79.3,10
Lomonosov Moscow State University,Russia,Europe,Extra Large,Full Comprehensive,Very High,Public,94,87,61.4,78,82.3,99.7,4.1,19.7,91.5,88.1,95.8,3.5,-7
Universidad Nacional Autónoma de México (UNAM),Mexico,Americas,Extra Large,Full Comprehensive,Very High,Public,94,93,61.4,97,94.4,37.4,2.4,7.5,2.3,93.2,93.2,83.4,-1
University of Alberta,Canada,Americas,Extra Large,Full Comprehensive,Very High,Public,96,111,61.2,57,42.2,39.1,61.3,98.3,71,96,70,97.6,15
Freie Universitaet Berlin,Germany,Europe,Large,Full Comprehensive,Very High,Public,97,98,60.6,80.3,56.9,5,71.7,62.4,43.7,93.1,32.8,31.3,1
Pohang University of Science And Technology (POSTECH),South Korea,Asia,Small,Foucsed,Very High,Private,98,100,60.3,45.9,80,99.9,96.9,27.6,2.7,26.6,11,36.6,2
RWTH Aachen University,Germany,Europe,Extra Large,Full Comprehensive,Very High,Public,99,106,59.9,46.6,93.7,6.3,71.9,48.6,85.5,86.1,33.4,84.8,7
University of Copenhagen,Denmark,Europe,Extra Large,Full Comprehensive,Very High,Public,100,107,59.6,74,31.6,99.8,23.1,84.9,15.6,98.2,90.8,73.2,7
King Fahd University of Petroleum & Minerals,Saudi Arabia,Asia,Medium,Foucsed,Very High,Public,101,180,59.5,38,46.5,86,78,100,47.6,73.9,97.8,20.1,79
KIT  Karlsruhe Institute of Technology,Germany,Europe,Large,Comprehensive,Very High,Public,102,119,59.4,44.9,80.9,39.4,68.4,70.5,42.9,86.4,50.8,75.3,17
Uppsala University,Sweden,Europe,Large,Full Comprehensive,Very High,Public,103,105,59.3,61.4,33.7,52,42.3,99.4,81.1,96.7,68.4,99.2,2
University of St Andrews,United Kingdom,Europe,Medium,Foucsed,Very High,Public,104,95,59.2,46.5,63.2,64.7,49.2,98.4,100,83.8,18.5,91.1,-9
The University of Sheffield,United Kingdom,Europe,Large,Full Comprehensive,Very High,Public,105,104,59.1,58.3,48.7,52.5,43.9,83.3,96.8,95.8,33.8,97.7,-1
Utrecht University,Netherlands,Europe,Extra Large,Full Comprehensive,Very High,Public,105,107,59.1,66.5,38.8,31,79.5,55.7,19.4,97.3,54.7,61.9,2
Tohoku University,Japan,Asia,Large,Full Comprehensive,Very High,Public,107,113,58.8,73.8,82.8,97.8,23.9,14.1,11.4,68.3,22.6,78.6,6
University of Nottingham,United Kingdom,Europe,Extra Large,Full Comprehensive,Very High,Public,108,100,58.5,61.1,65.8,32.8,37.6,89.4,70.5,98,38,97,-8
Technical University of Denmark,Denmark,Europe,Medium,Foucsed,Very High,Public,109,121,58.3,33.2,22.1,99.1,84.4,100,87.7,88.1,43.6,47.9,12
University of Zurich,Switzerland,Europe,Large,Foucsed,Very High,Public,109,91,58.3,59.9,26.4,92.2,40.1,100,42.8,94.3,88.6,58.7,-18
Politecnico di Milano,Italy,Europe,Extra Large,Foucsed,Very High,Public,111,123,58.2,70.8,77,5.8,40.2,67.4,56.8,88.1,52.9,72.6,12
Boston University,United States,Americas,Large,Full Comprehensive,Very High,Private,108,93,58.6,61.9,69.1,38.3,41.3,34.3,88.9,86.9,77.2,65.9,-15
Aalto University,Finland,Europe,Large,Foucsed,Very High,Public,113,109,57.9,45.7,40.6,33.2,73.6,95.2,40.1,78.2,95.1,94.7,-4
Georgia Institute of Technology,United States,Americas,Extra Large,Comprehensive,Very High,Public,114,97,57.3,67.1,82.6,20.3,52.8,21.3,66.4,75.5,43.1,39.5,-17
University of Waterloo,Canada,Americas,Extra Large,Comprehensive,Very High,Public,115,112,57.2,40.4,64.2,6.5,78.9,75.8,71.3,84.6,58.9,93.3,-3
University of Wisconsin-Madison,United States,Americas,Extra Large,Full Comprehensive,Very High,Public,116,102,57.1,77.7,47.8,74.3,23.7,35.3,23.6,91.6,81.6,59.6,-14
University of Helsinki,Finland,Europe,Large,Comprehensive,Very High,Public,117,115,56.8,62.3,29.1,59.4,49.6,73.4,5.7,96.9,90.5,94.5,-2
Indian Institute of Technology Bombay (IITB),India,Asia,Large,Foucsed,Very High,Public,118,149,56.3,58.5,86,14.4,79.1,4.3,1.3,52.3,64.5,52.5,31
University of Oslo,Norway,Europe,Large,Full Comprehensive,Very High,Public,119,117,56.1,55.6,16,73.8,55.7,91.6,31.7,97.3,80.9,72.1,-2
Queen Mary University of London,United Kingdom,Europe,Large,Full Comprehensive,Very High,Public,120,145,55.8,48.3,36.9,30.4,62.8,99.5,99.2,92.5,21.4,95.6,25
Western University,Canada,Americas,Extra Large,Full Comprehensive,Very High,Public,120,114,55.8,32.6,38.9,3.3,93.4,99.8,49.5,81.5,96.7,99.3,-6
Qatar University,Qatar,Asia,Medium,Full Comprehensive,Very High,Public,122,173,55.7,29.8,50.6,68.1,48.2,100,96.5,89.4,98.6,74,51
RMIT University,Australia,Oceania,Extra Large,Comprehensive,Very High,Public,123,140,55.5,40.4,48,5.2,77.7,100,91.4,83.2,38.4,93.9,17
Sungkyunkwan University(SKKU),South Korea,Asia,Large,Full Comprehensive,Very High,Private,123,145,55.5,57.9,70.7,80.5,41.3,17.5,41.7,54.2,36.5,79.1,22
University of Southern California,United States,Americas,Extra Large,Full Comprehensive,Very High,Private,125,116,55.2,50.4,54.5,17.3,58,26,74.1,85.8,92.6,97.7,-9
Humboldt-Universität zu Berlin,Germany,Europe,Extra Large,Full Comprehensive,Very High,Public,126,120,55,89.2,69.9,7.4,27,69.1,35.1,93.1,19,19.9,-6
University College Dublin,Ireland,Europe,Large,Full Comprehensive,Very High,Public,126,171,55,51.4,43.5,16.6,46.4,99.1,74.8,87.2,89.8,95.6,45
Stockholm University,Sweden,Europe,Large,Comprehensive,Very High,Public,128,118,54.8,52.5,21,26.7,64.5,80.7,89.8,95.7,86.6,58.7,-10
Newcastle University,United Kingdom,Europe,Large,Full Comprehensive,Very High,Public,129,110,54.5,50,59.3,39.2,38.7,89.5,68.6,97.1,31.3,97.1,-19
University of California  Davis,United States,Americas,Extra Large,Full Comprehensive,Very High,Public,130,118,54.4,63,48,23.5,52.5,72.7,51.3,90.6,22.8,76.1,-12
University of Basel,Switzerland,Europe,Medium,Full Comprehensive,Very High,Public,131,124,54.3,26.6,13.5,61.4,94.5,100,85.8,89.4,69.9,44.6,-7
Sapienza University of Rome,Italy,Europe,Extra Large,Full Comprehensive,Very High,Public,132,134,54.2,80.7,48.5,5,45.3,3.1,8,97.1,88,72.3,2
Alma Mater Studiorum - University of Bologna,Italy,Europe,Extra Large,Full Comprehensive,Very High,Public,133,154,54.1,80.8,47.8,3.7,46.6,14.5,12.3,96,53.8,88.4,21
Macquarie University,Australia,Oceania,Large,Full Comprehensive,Very High,Public,133,130,54.1,33.4,39.2,9.1,79.6,99.9,91.6,90.9,54.1,95,-3
University of Science and Technology of China,China (Mainland),Asia,Large,Comprehensive,Very High,Public,133,137,54.1,50,23.7,94.7,97.7,11.6,5.1,75.7,31.9,11.9,4
Eindhoven University of Technology,Netherlands,Europe,Medium,Foucsed,Very High,Public,136,124,54,28.7,72.1,35.7,79.3,100,82.7,70.8,24.2,29.8,-12
University of Vienna,Austria,Europe,Extra Large,Full Comprehensive,Very High,Public,137,130,53.9,70.9,40.4,23.2,13,100,92,96,89.7,60.9,-7
Universiti Kebangsaan Malaysia (UKM),Malaysia,Asia,Large,Full Comprehensive,Very High,Public,138,159,53.8,61.7,66.4,80.4,14.1,45.7,78.8,83.7,22.5,64.4,21
Chalmers University of Technology,Sweden,Europe,Medium,Foucsed,Very High,Private,139,129,53.7,26.3,50.4,50.5,77.4,100,63.1,77,31.7,87,-10
Universidad de Chile,Chile,Americas,Extra Large,Full Comprehensive,Very High,Public,139,159,53.7,82.8,90,8,11.2,8.5,4.5,77.1,96.1,64.1,20
Lancaster University,United Kingdom,Europe,Large,Full Comprehensive,Very High,Public,141,122,53.6,38.9,36.7,27.7,69.6,93.3,92.3,89.7,28.8,96.2,-19
Leiden University,Netherlands,Europe,Extra Large,Full Comprehensive,Very High,Public,141,126,53.6,68.4,32.9,21.3,54.5,85,51.7,95.2,48.8,25.5,-15
Rice University,United States,Americas,Medium,Comprehensive,Very High,Private,141,145,53.6,39.1,27.3,62.5,87.9,77.5,94.1,62.2,29.5,20.6,4
Aarhus University,Denmark,Europe,Large,Full Comprehensive,Very High,Public,144,143,53.3,54.7,27.6,30.8,63.8,89.8,11.9,96.1,69.5,76.4,-1
Nanjing University,China (Mainland),Asia,Extra Large,Full Comprehensive,Very High,Public,145,141,53,57.1,32.5,35.6,93,61.9,7.6,67.1,29,16.5,-4
Universiti Sains Malaysia (USM),Malaysia,Asia,Large,Full Comprehensive,Very High,Public,146,137,52.7,63.3,69.7,46.4,19.6,24.3,96.4,87.8,20.1,71.2,-9
Technische Universität Berlin (TU Berlin),Germany,Europe,Large,Comprehensive,Very High,Public,147,154,52.5,55.3,74.3,58,22.1,63.2,74.8,86.1,37.7,35.4,7
Universiti Putra Malaysia (UPM),Malaysia,Asia,Large,Full Comprehensive,Very High,Public,148,158,52.3,61,61.9,58.8,25.7,36.1,92,80.5,17.5,53.5,10
King Abdulaziz University (KAU),Saudi Arabia,Asia,Extra Large,Full Comprehensive,Very High,Public,149,143,52.2,59.8,61.4,41.6,34.4,89.3,9.5,93.1,35.9,58.4,-6
Indian Institute of Technology Delhi (IITD),India,Asia,Medium,Foucsed,Very High,Public,150,197,52.1,54.1,80.9,17.3,77.4,3.1,1.5,63.3,35.1,32.7,47
University of Bath,United Kingdom,Europe,Large,Comprehensive,Very High,Public,150,148,52.1,35.8,67.9,18.3,52,94.3,80,84.2,35.2,90.4,-2
Michigan State University,United States,Americas,Extra Large,Full Comprehensive,Very High,Public,152,136,51.9,59.5,48.6,11.4,50.3,54.5,12.4,97.5,57.1,96.3,-16
Nagoya University,Japan,Asia,Large,Full Comprehensive,Very High,Public,152,176,51.9,63.2,65.8,84.7,25.4,14.5,19.6,64.8,21.5,75,24
Texas A&M University,United States,Americas,Extra Large,Full Comprehensive,Very High,Public,154,134,51.8,61.2,66,4.4,64.3,21.9,12.1,92.6,44.4,39.5,-20
University of Geneva,Switzerland,Europe,Large,Full Comprehensive,Very High,Public,155,128,51.6,45.5,17.2,40.4,62.4,100,97.6,94.2,49.5,42.3,-27
University of North Carolina  Chapel Hill,United States,Americas,Extra Large,Full Comprehensive,Very High,Public,155,132,51.6,61.4,36.5,72.9,47.2,23.5,11.1,91.6,55.2,44.6,-23
Wageningen University & Research,Netherlands,Europe,Large,Comprehensive,Very High,Public,155,151,51.6,42.1,23.8,98.6,41.3,59.4,81.2,97.9,21.1,92.3,-4
Erasmus University Rotterdam,Netherlands,Europe,Large,Foucsed,Very High,Public,158,176,51.5,37,58.2,18.1,63.3,76,70,85.4,89.3,28.7,18
Université de Montréal,Canada,Americas,Extra Large,Full Comprehensive,Very High,Public,159,141,51.3,55.5,32.8,76,19.3,87.6,54.1,84.9,54.2,91.4,-18
University of Groningen,Netherlands,Europe,Extra Large,Full Comprehensive,Very High,Public,159,139,51.3,52.3,34.4,49.3,41.2,93.2,83.5,94.1,40,40.1,-20
University of Bern,Switzerland,Europe,Medium,Foucsed,Very High,Public,161,126,51.2,29.7,16.1,45.9,99.3,100,38,93.8,30.7,52.1,-35
Hanyang University,South Korea,Asia,Large,Full Comprehensive,Very High,Private,162,164,51.1,43,78,77.1,28.5,17.4,57.6,63,43.3,85.8,2
Al-Farabi Kazakh National University,Kazakhstan,Asia,Large,Full Comprehensive,High,Public,163,230,51,54.2,79.6,99.3,1.4,49,54.2,64.7,59.6,29.8,67
Complutense University of Madrid,Spain,Europe,Extra Large,Full Comprehensive,Very High,Public,164,171,50.9,68.1,68.1,28.7,7.9,10.5,34.3,91.8,96.3,88.9,7
Universitat de Barcelona,Spain,Europe,Extra Large,Full Comprehensive,Very High,Public,165,164,50.7,73.7,30.3,12.4,38.1,23.1,26.3,96.8,71.5,92.2,-1
University of Liverpool,United Kingdom,Europe,Large,Full Comprehensive,Very High,Public,165,176,50.7,46.1,39.4,37.8,36.6,88.3,85.4,97.2,36.3,95.6,11
Kyushu University,Japan,Asia,Large,Full Comprehensive,Very High,Public,167,164,50.3,58.3,66.5,78.4,27.9,18.7,14.1,69.9,15.1,77.6,-3
