university_id,year,ranking_source,total_students,students_per_staff,international_students,international_student_percentage
U0067,2024,THE,,16.3,,31.0
U0068,2024,THE,,11.1,,13.0
U0069,2024,THE,,,,
U0070,2024,THE,,19.6,,23.0
U0071,2024,THE,,,,
U0072,2024,THE,,,,
U0073,2024,THE,,13.0,,24.0
U0074,2024,THE,,15.9,,26.0
U0075,2024,THE,,12.0,,18.0
U0076,2024,THE,,10.1,,16.0
U0077,2024,THE,,22.4,,26.0
U0078,2024,THE,,14.4,,43.0
U0079,2024,THE,,10.3,,19.0
U0080,2024,THE,,15.2,,32.0
U0081,2024,THE,,13.0,,35.0
U0082,2024,THE,,,,
U0083,2024,THE,,14.4,,32.0
U0084,2024,THE,,,,
U0085,2024,THE,,,,
U0086,2024,THE,,10.4,,10.0
U0087,2024,THE,,,,
U0088,2024,THE,,37.4,,25.0
U0089,2024,THE,,14.0,,32.0
U0090,2024,THE,,,,
U0091,2024,THE,,,,
U0092,2024,THE,,,,
U0093,2024,THE,,,,
U0094,2024,THE,,9.6,,37.0
U0095,2024,THE,,,,
U0096,2024,THE,,22.8,,27.0
U0097,2024,THE,,,,
U0098,2024,THE,,10.5,,5.0
U0099,2024,THE,,43.3,,29.0
U0100,2024,THE,,4.3,,14.0
U0101,2024,THE,,,,
U0102,2024,THE,,,,
U0103,2024,THE,,13.3,,17.0
U0104,2024,THE,,12.4,,46.0
U0105,2024,THE,,,,
U0106,2024,THE,,,,
U0107,2024,THE,,11.8,,12.0
U0108,2024,THE,,16.0,,27.0
U0109,2024,THE,,7.7,,28.0
U0110,2024,THE,,14.7,,24.0
U0111,2024,THE,,25.7,,19.0
U0112,2024,THE,,10.8,,29.0
U0113,2024,THE,,20.4,,23.0
U0114,2024,THE,,28.0,,29.0
U0115,2024,THE,,24.2,,23.0
U0116,2024,THE,,9.9,,13.0
U0117,2024,THE,,15.9,,5.0
U0118,2024,THE,,,,
U0119,2024,THE,,12.5,,15.0
U0120,2024,THE,,14.6,,45.0
U0121,2024,THE,,33.0,,24.0
U0122,2024,THE,,8.4,,36.0
U0123,2024,THE,,24.0,,34.0
U0124,2024,THE,,,,
U0125,2024,THE,,14.2,,24.0
U0126,2024,THE,,,,
U0127,2024,THE,,20.7,,25.0
U0128,2024,THE,,20.3,,13.0
U0129,2024,THE,,14.8,,26.0
U0130,2024,THE,,13.3,,18.0
U0131,2024,THE,,10.4,,31.0
U0132,2024,THE,,22.2,,9.0
U0133,2024,THE,,,,
U0134,2024,THE,,51.7,,22.0
U0135,2024,THE,,8.1,,5.0
U0136,2024,THE,,21.4,,27.0
U0137,2024,THE,,37.4,,31.0
U0138,2024,THE,,,,
U0139,2024,THE,,15.4,,17.0
U0140,2024,THE,,,,
U0141,2024,THE,,13.9,,38.0
U0142,2024,THE,,19.3,,21.0
U0143,2024,THE,,9.8,,26.0
U0144,2024,THE,,13.5,,9.0
U0145,2024,THE,,16.7,,8.0
U0146,2024,THE,,,,
U0147,2024,THE,,,,
U0148,2024,THE,,,,
U0149,2024,THE,,,,
U0150,2024,THE,,,,
U0151,2024,THE,,15.8,,31.0
U0152,2024,THE,,16.1,,11.0
U0153,2024,THE,,13.0,,12.0
U0154,2024,THE,,20.5,,6.0
U0155,2024,THE,,8.4,,40.0
U0156,2024,THE,,,,
U0157,2024,THE,,18.1,,28.0
U0158,2024,THE,,36.0,,25.0
U0159,2024,THE,,20.5,,22.0
U0160,2024,THE,,28.8,,29.0
U0161,2024,THE,,18.2,,16.0
U0162,2024,THE,,13.2,,21.0
U0163,2024,THE,,5.9,,10.0
U0164,2024,THE,,11.8,,10.0
U0165,2024,THE,,,,
U0166,2024,THE,,14.2,,32.0
U0167,2024,THE,,7.7,,13.0
U0168,2024,THE,,26.1,,22.0
U0169,2024,THE,,37.6,,12.0
U0170,2024,THE,,,,
U0171,2024,THE,,13.6,,13.0
U0172,2024,THE,,16.6,,31.0
U0173,2024,THE,,8.2,,10.0
U0174,2024,THE,,20.8,,29.0
U0175,2024,THE,,,,
U0176,2024,THE,,30.9,,22.0
U0177,2024,THE,,,,
U0178,2024,THE,,,,
U0179,2024,THE,,,,
U0180,2024,THE,,,,
U0181,2024,THE,,12.7,,26.0
U0182,2024,THE,,14.3,,13.0
U0183,2024,THE,,,,
U0184,2024,THE,,16.1,,31.0
U0185,2024,THE,,,,
U0186,2024,THE,,15.0,,27.0
U0187,2024,THE,,7.9,,11.0
U0188,2024,THE,,10.2,,8.0
U0189,2024,THE,,27.2,,26.0
U0190,2024,THE,,,,
U0191,2024,THE,,,,
U0192,2024,THE,,11.3,,15.0
U0193,2024,THE,,,,
U0194,2024,THE,,11.9,,13.0
U0195,2024,THE,,15.0,,5.0
U0196,2024,THE,,4.0,,19.0
U0197,2024,THE,,32.7,,18.0
U0198,2024,THE,,,,
U0199,2024,THE,,18.8,,24.0
U0200,2024,THE,,,,
U0201,2024,THE,,11.9,,6.0
U0202,2024,THE,,12.5,,74.0
U0203,2024,THE,,,,
U0204,2024,THE,,,,
U0205,2024,THE,,,,
U0206,2024,THE,,,,
U0207,2024,THE,,,,
U0208,2024,THE,,,,
U0209,2024,THE,,24.2,,5.0
U0210,2024,THE,,16.2,,12.0
U0211,2024,THE,,9.6,,1.0
U0212,2024,THE,,,,
U0213,2024,THE,,,,
U0214,2024,THE,,20.6,,16.0
U0215,2024,THE,,15.9,,11.0
U0216,2024,THE,,16.7,,9.0
U0217,2024,THE,,28.2,,29.0
U0218,2024,THE,,17.0,,9.0
U0219,2024,THE,,14.6,,9.0
U0220,2024,THE,,,,
U0221,2024,THE,,19.2,,18.0
U0222,2024,THE,,,,
U0223,2024,THE,,,,
U0224,2024,THE,,,,
U0225,2024,THE,,13.9,,25.0
U0226,2024,THE,,10.5,,23.0
U0227,2024,THE,,,,
U0228,2024,THE,,,,
U0229,2024,THE,,12.7,,3.0
U0230,2024,THE,,19.6,,57.0
U0231,2024,THE,,,,
U0232,2024,THE,,,,
U0233,2024,THE,,13.9,,38.0
U0234,2024,THE,,,,
U0235,2024,THE,,20.7,,26.0
U0236,2024,THE,,,,
U0237,2024,THE,,15.3,,40.0
U0238,2024,THE,,7.3,,34.0
U0239,2024,THE,,,,
U0240,2024,THE,,17.4,,27.0
U0241,2024,THE,,,,
U0242,2024,THE,,37.0,,19.0
U0243,2024,THE,,7.4,,16.0
U0244,2024,THE,,19.4,,17.0
U0245,2024,THE,,18.6,,41.0
U0246,2024,THE,,13.4,,23.0
U0247,2024,THE,,17.3,,34.0
U0248,2024,THE,,3.9,,17.0
U0249,2024,THE,,14.3,,26.0
U0250,2024,THE,,,,
U0251,2024,THE,,,,
U0252,2024,THE,,10.6,,6.0
U0253,2024,THE,,10.2,,55.0
U0254,2024,THE,,27.4,,14.0
U0255,2024,THE,,31.6,,15.0
U0256,2024,THE,,15.3,,3.0
U0257,2024,THE,,18.2,,36.0
U0258,2024,THE,,10.9,,9.0
U0259,2024,THE,,8.8,,25.0
U0260,2024,THE,,18.0,,16.0
U0261,2024,THE,,,,
U0262,2024,THE,,,,
U0263,2024,THE,,,,
U0264,2024,THE,,15.0,,9.0
U0265,2024,THE,,,,
U0266,2024,THE,,,,
U0267,2024,THE,,31.8,,17.0
U0268,2024,THE,,,,
U0269,2024,THE,,8.9,,13.0
U0270,2024,THE,,,,
U0271,2024,THE,,14.4,,9.0
U0272,2024,THE,,,,
U0273,2024,THE,,21.1,,16.0
U0274,2024,THE,,26.1,,16.0
U0275,2024,THE,,14.7,,27.0
U0276,2024,THE,,,,
U0277,2024,THE,,,,
U0278,2024,THE,,16.9,,17.0
U0279,2024,THE,,,,
U0280,2024,THE,,11.8,,9.0
U0281,2024,THE,,,,
U0282,2024,THE,,16.3,,25.0
U0283,2024,THE,,,,
U0284,2024,THE,,,,
U0285,2024,THE,,21.2,,12.0
U0286,2024,THE,,,,
U0287,2024,THE,,28.7,,17.0
U0288,2024,THE,,13.9,,31.0
U0289,2024,THE,,21.8,,7.0
U0290,2024,THE,,16.3,,33.0
U0291,2024,THE,,28.5,,24.0
U0292,2024,THE,,13.0,,11.0
U0293,2024,THE,,,,
U0294,2024,THE,,22.5,,31.0
U0295,2024,THE,,,,
U0296,2024,THE,,25.7,,7.0
U0297,2024,THE,,,,
U0298,2024,THE,,6.6,,18.0
U0299,2024,THE,,16.8,,21.0
U0300,2024,THE,,15.5,,4.0
U0301,2024,THE,,10.1,,18.0
U0302,2024,THE,,13.4,,8.0
U0303,2024,THE,,16.9,,18.0
U0304,2024,THE,,14.9,,15.0
U0305,2024,THE,,,,
U0306,2024,THE,,14.9,,12.0
U0307,2024,THE,,16.2,,26.0
U0308,2024,THE,,,,
U0309,2024,THE,,,,
U0310,2024,THE,,,,
U0311,2024,THE,,15.9,,11.0
U0312,2024,THE,,8.8,,11.0
U0313,2024,THE,,26.5,,13.0
U0314,2024,THE,,,,
U0315,2024,THE,,20.3,,1.0
U0316,2024,THE,,15.6,,32.0
U0317,2024,THE,,,,
U0318,2024,THE,,10.9,,12.0
U0319,2024,THE,,26.8,,31.0
U0320,2024,THE,,16.5,,8.0
U0321,2024,THE,,,,
U0322,2024,THE,,20.3,,6.0
U0323,2024,THE,,,,
U0324,2024,THE,,10.4,,14.0
U0325,2024,THE,,,,
U0326,2024,THE,,6.3,,4.0
U0327,2024,THE,,25.8,,14.0
U0328,2024,THE,,17.6,,30.0
U0329,2024,THE,,,,
U0330,2024,THE,,23.8,,1.0
U0331,2024,THE,,15.2,,5.0
U0332,2024,THE,,10.9,,60.0
U0333,2024,THE,,,,
U0334,2024,THE,,18.4,,17.0
U0335,2024,THE,,,,
U0336,2024,THE,,29.4,,33.0
U0337,2024,THE,,31.6,,14.0
U0338,2024,THE,,15.9,,5.0
U0339,2024,THE,,11.1,,0.0
U0340,2024,THE,,18.1,,21.0
U0341,2024,THE,,30.2,,17.0
U0342,2024,THE,,17.9,,40.0
U0343,2024,THE,,21.8,,2.0
U0344,2024,THE,,,,
U0345,2024,THE,,10.5,,16.0
U0346,2024,THE,,20.8,,8.0
U0347,2024,THE,,32.2,,21.0
U0348,2024,THE,,,,
U0349,2024,THE,,,,
U0350,2024,THE,,30.9,,5.0
U0351,2024,THE,,42.6,,32.0
U0352,2024,THE,,19.5,,45.0
U0353,2024,THE,,,,
U0354,2024,THE,,22.1,,6.0
U0355,2024,THE,,,,
U0356,2024,THE,,18.4,,15.0
U0357,2024,THE,,21.3,,49.0
U0358,2024,THE,,9.0,,12.0
U0359,2024,THE,,9.5,,7.0
U0360,2024,THE,,,,
U0361,2024,THE,,16.3,,11.0
U0362,2024,THE,,9.2,,4.0
U0363,2024,THE,,15.1,,2.0
U0364,2024,THE,,29.1,,28.0
U0365,2024,THE,,,,
U0366,2024,THE,,,,
U0367,2024,THE,,,,
U0368,2024,THE,,8.9,,5.0
U0369,2024,THE,,,,
U0370,2024,THE,,26.6,,2.0
U0371,2024,THE,,13.0,,14.0
U0372,2024,THE,,14.5,,33.0
U0373,2024,THE,,,,
U0374,2024,THE,,29.5,,6.0
U0375,2024,THE,,24.0,,10.0
U0376,2024,THE,,15.7,,6.0
U0377,2024,THE,,11.7,,7.0
U0378,2024,THE,,,,
U0379,2024,THE,,12.1,,16.0
U0380,2024,THE,,,,
U0381,2024,THE,,18.0,,27.0
U0382,2024,THE,,20.9,,5.0
U0383,2024,THE,,13.1,,1.0
U0384,2024,THE,,41.8,,21.0
U0385,2024,THE,,12.6,,6.0
U0386,2024,THE,,,,
U0387,2024,THE,,7.6,,19.0
U0388,2024,THE,,,,
U0389,2024,THE,,,,
U0390,2024,THE,,,,
U0391,2024,THE,,18.6,,13.0
U0392,2024,THE,,18.5,,19.0
U0393,2024,THE,,34.0,,11.0
U0394,2024,THE,,24.2,,12.0
U0395,2024,THE,,,,
U0396,2024,THE,,,,
U0397,2024,THE,,,,
U0398,2024,THE,,18.9,,15.0
U0399,2024,THE,,,,
U0400,2024,THE,,24.8,,15.0
U0401,2024,THE,,,,
U0402,2024,THE,,19.5,,9.0
U0403,2024,THE,,20.2,,3.0
U0404,2024,THE,,34.4,,23.0
U0405,2024,THE,,,,
U0406,2024,THE,,12.4,,5.0
U0407,2024,THE,,,,
U0408,2024,THE,,12.5,,41.0
U0409,2024,THE,,18.4,,23.0
U0410,2024,THE,,18.6,,12.0
U0411,2024,THE,,,,
U0412,2024,THE,,,,
U0413,2024,THE,,8.2,,24.0
U0414,2024,THE,,,,
U0415,2024,THE,,34.6,,34.0
U0416,2024,THE,,14.0,,25.0
U0417,2024,THE,,,,
U0418,2024,THE,,18.1,,25.0
U0419,2024,THE,,,,
U0420,2024,THE,,8.7,,21.0
U0421,2024,THE,,26.1,,12.0
U0422,2024,THE,,27.1,,15.0
U0423,2024,THE,,19.0,,25.0
U0424,2024,THE,,17.9,,16.0
U0425,2024,THE,,15.6,,10.0
U0426,2024,THE,,,,
U0427,2024,THE,,39.5,,15.0
U0428,2024,THE,,,,
U0429,2024,THE,,12.4,,4.0
U0430,2024,THE,,,,
U0431,2024,THE,,,,
U0432,2024,THE,,11.6,,37.0
U0433,2024,THE,,14.7,,9.0
U0434,2024,THE,,15.1,,82.0
U0435,2024,THE,,,,
U0436,2024,THE,,32.7,,1.0
U0437,2024,THE,,34.0,,38.0
U0438,2024,THE,,,,
U0439,2024,THE,,9.1,,9.0
U0440,2024,THE,,,,
U0441,2024,THE,,,,
U0442,2024,THE,,,,
U0443,2024,THE,,6.6,,20.0
U0444,2024,THE,,39.1,,7.0
U0445,2024,THE,,17.3,,9.0
U0446,2024,THE,,,,
U0447,2024,THE,,,,
U0448,2024,THE,,14.5,,3.0
U0449,2024,THE,,17.8,,2.0
U0450,2024,THE,,,,
U0451,2024,THE,,15.7,,3.0
U0452,2024,THE,,,,
U0453,2024,THE,,12.3,,12.0
U0454,2024,THE,,9.5,,7.0
U0455,2024,THE,,18.7,,28.0
U0456,2024,THE,,,,
U0457,2024,THE,,,,
U0458,2024,THE,,,,
U0459,2024,THE,,27.3,,10.0
U0460,2024,THE,,,,
U0461,2024,THE,,,,
U0462,2024,THE,,20.7,,7.0
U0463,2024,THE,,,,
U0464,2024,THE,,41.8,,92.0
U0465,2024,THE,,10.2,,7.0
U0466,2024,THE,,,,
U0467,2024,THE,,22.6,,20.0
U0468,2024,THE,,,,
U0469,2024,THE,,18.8,,6.0
U0470,2024,THE,,17.1,,8.0
U0471,2024,THE,,21.3,,2.0
U0472,2024,THE,,,,
U0473,2024,THE,,,,
U0474,2024,THE,,14.8,,23.0
U0475,2024,THE,,7.6,,10.0
U0476,2024,THE,,,,
U0477,2024,THE,,18.9,,51.0
U0478,2024,THE,,14.8,,8.0
U0479,2024,THE,,,,
U0480,2024,THE,,,,
U0481,2024,THE,,17.3,,14.0
U0482,2024,THE,,,,
U0483,2024,THE,,,,
U0484,2024,THE,,,,
U0485,2024,THE,,,,
U0486,2024,THE,,12.6,,9.0
U0487,2024,THE,,,,
U0488,2024,THE,,,,
U0489,2024,THE,,20.1,,2.0
U0490,2024,THE,,,,
U0491,2024,THE,,22.7,,1.0
U0492,2024,THE,,13.0,,6.0
U0493,2024,THE,,,,
U0494,2024,THE,,13.8,,3.0
U0495,2024,THE,,,,
U0496,2024,THE,,24.3,,0.0
U0497,2024,THE,,,,
U0498,2024,THE,,,,
U0499,2024,THE,,,,
U0500,2024,THE,,19.6,,14.0
U0501,2024,THE,,,,
U0502,2024,THE,,,,
U0503,2024,THE,,14.1,,8.0
U0504,2024,THE,,,,
U0505,2024,THE,,19.8,,26.0
U0506,2024,THE,,16.1,,11.0
U0507,2024,THE,,18.4,,7.0
U0508,2024,THE,,18.2,,5.0
U0509,2024,THE,,14.0,,1.0
U0510,2024,THE,,14.9,,45.0
U0511,2024,THE,,16.7,,15.0
U0512,2024,THE,,15.6,,4.0
U0513,2024,THE,,,,
U0514,2024,THE,,11.7,,17.0
U0515,2024,THE,,,,
U0516,2024,THE,,11.1,,1.0
U0517,2024,THE,,29.8,,24.0
U0518,2024,THE,,,,
U0519,2024,THE,,20.1,,14.0
U0520,2024,THE,,,,
U0521,2024,THE,,18.0,,21.0
U0522,2024,THE,,,,
U0523,2024,THE,,14.4,,2.0
U0524,2024,THE,,16.9,,10.0
U0525,2024,THE,,,,
U0526,2024,THE,,,,
U0527,2024,THE,,21.6,,9.0
U0528,2024,THE,,,,
U0529,2024,THE,,24.5,,14.0
U0530,2024,THE,,17.1,,7.0
U0531,2024,THE,,14.9,,48.0
U0532,2024,THE,,,,
U0533,2024,THE,,19.5,,31.0
U0534,2024,THE,,13.3,,8.0
U0535,2024,THE,,,,
U0536,2024,THE,,,,
U0537,2024,THE,,,,
U0538,2024,THE,,21.7,,14.0
U0539,2024,THE,,18.5,,5.0
U0540,2024,THE,,,,
U0541,2024,THE,,16.0,,13.0
U0542,2024,THE,,8.1,,14.0
U0543,2024,THE,,,,
U0544,2024,THE,,14.7,,13.0
U0545,2024,THE,,,,
U0546,2024,THE,,,,
U0547,2024,THE,,14.5,,4.0
U0548,2024,THE,,,,
U0549,2024,THE,,16.5,,7.0
U0550,2024,THE,,17.0,,12.0
U0551,2024,THE,,34.1,,35.0
U0552,2024,THE,,12.6,,18.0
U0553,2024,THE,,26.7,,4.0
U0554,2024,THE,,30.9,,14.0
U0555,2024,THE,,,,
U0556,2024,THE,,,,
U0557,2024,THE,,15.3,,3.0
U0558,2024,THE,,,,
U0559,2024,THE,,,,
U0560,2024,THE,,20.1,,10.0
U0561,2024,THE,,9.6,,7.0
U0562,2024,THE,,,,
U0563,2024,THE,,6.7,,7.0
U0564,2024,THE,,17.8,,11.0
U0565,2024,THE,,,,
U0566,2024,THE,,13.1,,11.0
U0567,2024,THE,,13.6,,4.0
U0568,2024,THE,,14.6,,16.0
U0569,2024,THE,,,,
U0570,2024,THE,,8.3,,23.0
U0571,2024,THE,,12.3,,20.0
U0572,2024,THE,,22.0,,1.0
U0573,2024,THE,,24.6,,6.0
U0574,2024,THE,,22.4,,9.0
U0575,2024,THE,,12.0,,24.0
U0576,2024,THE,,,,
U0577,2024,THE,,23.9,,19.0
U0578,2024,THE,,48.7,,23.0
U0579,2024,THE,,,,
U0580,2024,THE,,16.1,,1.0
U0581,2024,THE,,,,
U0582,2024,THE,,,,
U0583,2024,THE,,,,
U0584,2024,THE,,,,
U0585,2024,THE,,,,
U0586,2024,THE,,,,
U0587,2024,THE,,11.2,,34.0
U0588,2024,THE,,15.3,,1.0
U0589,2024,THE,,,,
U0590,2024,THE,,,,
U0591,2024,THE,,27.6,,2.0
U0592,2024,THE,,13.3,,6.0
U0593,2024,THE,,15.4,,21.0
U0594,2024,THE,,,,
U0595,2024,THE,,14.6,,18.0
U0596,2024,THE,,11.4,,1.0
U0597,2024,THE,,11.3,,1.0
U0598,2024,THE,,10.9,,6.0
U0599,2024,THE,,13.8,,9.0
U0600,2024,THE,,,,
U0601,2024,THE,,,,
U0602,2024,THE,,12.2,,36.0
U0603,2024,THE,,8.3,,16.0
U0604,2024,THE,,,,
U0605,2024,THE,,,,
U0606,2024,THE,,14.9,,12.0
U0607,2024,THE,,,,
U0608,2024,THE,,15.3,,20.0
U0609,2024,THE,,,,
U0610,2024,THE,,26.5,,4.0
U0611,2024,THE,,37.7,,14.0
U0612,2024,THE,,,,
U0613,2024,THE,,,,
U0614,2024,THE,,,,
U0615,2024,THE,,15.5,,25.0
U0616,2024,THE,,,,
U0617,2024,THE,,25.4,,75.0
U0618,2024,THE,,,,
U0619,2024,THE,,,,
U0620,2024,THE,,10.0,,31.0
U0621,2024,THE,,19.5,,13.0
U0622,2024,THE,,,,
U0623,2024,THE,,14.8,,75.0
U0624,2024,THE,,,,
U0625,2024,THE,,33.6,,27.0
U0626,2024,THE,,25.4,,9.0
U0627,2024,THE,,,,
U0628,2024,THE,,,,
U0629,2024,THE,,,,
U0630,2024,THE,,,,
U0631,2024,THE,,19.0,,13.0
U0632,2024,THE,,,,
U0633,2024,THE,,14.6,,60.0
U0634,2024,THE,,14.9,,17.0
U0635,2024,THE,,14.9,,10.0
U0636,2024,THE,,12.3,,5.0
U0637,2024,THE,,,,
U0638,2024,THE,,12.9,,21.0
U0639,2024,THE,,19.2,,8.0
U0640,2024,THE,,9.6,,4.0
U0641,2024,THE,,7.7,,9.0
U0642,2024,THE,,,,
U0643,2024,THE,,16.8,,29.0
U0644,2024,THE,,10.4,,21.0
U0645,2024,THE,,14.5,,3.0
U0646,2024,THE,,18.0,,2.0
U0647,2024,THE,,19.9,,3.0
U0648,2024,THE,,11.2,,17.0
U0649,2024,THE,,9.5,,7.0
U0650,2024,THE,,,,
U0651,2024,THE,,17.4,,10.0
U0652,2024,THE,,,,
U0653,2024,THE,,,,
U0654,2024,THE,,9.0,,19.0
U0655,2024,THE,,,,
U0656,2024,THE,,13.8,,5.0
U0657,2024,THE,,,,
U0658,2024,THE,,15.2,,14.0
U0659,2024,THE,,,,
U0660,2024,THE,,26.3,,7.0
U0661,2024,THE,,14.8,,3.0
U0662,2024,THE,,15.6,,23.0
U0663,2024,THE,,,,
U0664,2024,THE,,,,
U0665,2024,THE,,10.7,,14.0
U0666,2024,THE,,,,
U0667,2024,THE,,,,
U0668,2024,THE,,15.1,,23.0
U0669,2024,THE,,15.5,,6.0
U0670,2024,THE,,,,
U0671,2024,THE,,4.4,,12.0
U0672,2024,THE,,,,
U0673,2024,THE,,30.0,,21.0
U0674,2024,THE,,17.1,,16.0
U0675,2024,THE,,,,
U0676,2024,THE,,19.0,,4.0
U0677,2024,THE,,,,
U0678,2024,THE,,,,
U0679,2024,THE,,,,
U0680,2024,THE,,,,
U0681,2024,THE,,18.4,,3.0
U0682,2024,THE,,,,
U0683,2024,THE,,14.5,,38.0
U0684,2024,THE,,,,
U0685,2024,THE,,19.6,,7.0
U0686,2024,THE,,,,
U0687,2024,THE,,12.1,,17.0
U0688,2024,THE,,12.3,,6.0
U0689,2024,THE,,,,
U0690,2024,THE,,,,
U0691,2024,THE,,,,
U0692,2024,THE,,,,
U0693,2024,THE,,,,
U0694,2024,THE,,20.8,,2.0
U0695,2024,THE,,,,
U0696,2024,THE,,,,
U0697,2024,THE,,7.8,,2.0
U0698,2024,THE,,,,
U0699,2024,THE,,16.5,,1.0
U0700,2024,THE,,24.2,,6.0
U0701,2024,THE,,21.8,,46.0
U0702,2024,THE,,18.1,,10.0
U0703,2024,THE,,,,
U0704,2024,THE,,,,
U0705,2024,THE,,10.1,,17.0
U0706,2024,THE,,,,
U0707,2024,THE,,18.6,,30.0
U0708,2024,THE,,10.6,,5.0
U0709,2024,THE,,,,
U0710,2024,THE,,,,
U0711,2024,THE,,,,
U0712,2024,THE,,12.0,,12.0
U0713,2024,THE,,16.0,,1.0
U0714,2024,THE,,,,
U0715,2024,THE,,18.5,,37.0
U0716,2024,THE,,,,
U0717,2024,THE,,,,
U0718,2024,THE,,9.1,,15.0
U0719,2024,THE,,,,
U0720,2024,THE,,,,
U0721,2024,THE,,21.9,,1.0
U0722,2024,THE,,,,
U0723,2024,THE,,,,
U0724,2024,THE,,11.6,,33.0
U0725,2024,THE,,16.9,,13.0
U0726,2024,THE,,18.0,,2.0
U0727,2024,THE,,11.0,,15.0
U0728,2024,THE,,11.6,,34.0
U0729,2024,THE,,21.3,,0.0
U0730,2024,THE,,25.2,,15.0
U0731,2024,THE,,,,
U0732,2024,THE,,18.3,,50.0
U0733,2024,THE,,31.7,,22.0
U0734,2024,THE,,,,
U0735,2024,THE,,,,
U0736,2024,THE,,27.0,,5.0
U0737,2024,THE,,26.0,,7.0
U0738,2024,THE,,,,
U0739,2024,THE,,,,
U0740,2024,THE,,18.2,,5.0
U0741,2024,THE,,19.0,,27.0
U0742,2024,THE,,29.4,,21.0
U0743,2024,THE,,,,
U0744,2024,THE,,,,
U0745,2024,THE,,,,
U0746,2024,THE,,,,
U0747,2024,THE,,39.1,,4.0
U0748,2024,THE,,15.9,,25.0
U0749,2024,THE,,19.8,,48.0
U0750,2024,THE,,,,
U0751,2024,THE,,40.0,,19.0
U0752,2024,THE,,11.2,,15.0
U0753,2024,THE,,4.1,,9.0
U0754,2024,THE,,,,
U0755,2024,THE,,13.3,,8.0
U0756,2024,THE,,,,
U0757,2024,THE,,24.0,,4.0
U0758,2024,THE,,,,
U0759,2024,THE,,,,
U0760,2024,THE,,14.2,,0.0
U0761,2024,THE,,13.4,,2.0
U0762,2024,THE,,12.3,,14.0
U0763,2024,THE,,,,
U0764,2024,THE,,,,
U0765,2024,THE,,13.2,,0.0
U0766,2024,THE,,14.5,,2.0
U0767,2024,THE,,15.4,,3.0
U0768,2024,THE,,,,
U0769,2024,THE,,,,
U0770,2024,THE,,29.4,,5.0
U0771,2024,THE,,,,
U0772,2024,THE,,19.1,,21.0
U0773,2024,THE,,8.9,,6.0
U0774,2024,THE,,,,
U0775,2024,THE,,,,
U0776,2024,THE,,,,
U0777,2024,THE,,,,
U0778,2024,THE,,,,
U0779,2024,THE,,17.2,,11.0
U0780,2024,THE,,,,
U0781,2024,THE,,26.0,,4.0
U0782,2024,THE,,,,
U0783,2024,THE,,18.7,,1.0
U0784,2024,THE,,,,
U0785,2024,THE,,10.2,,7.0
U0786,2024,THE,,21.1,,6.0
U0787,2024,THE,,9.3,,34.0
U0788,2024,THE,,,,
U0789,2024,THE,,17.7,,2.0
U0790,2024,THE,,30.2,,7.0
U0791,2024,THE,,28.1,,18.0
