university_id,year,ranking_source,research_score,citation_score,research_impact,research_productivity
U0183,2025,QS,,,100.0,
U0184,2025,QS,,,40.1,
U0185,2025,QS,,,2.4,
U0186,2025,QS,,,30.0,
U0187,2025,QS,,,93.5,
U0188,2025,QS,,,5.1,
U0189,2025,QS,,,81.3,
U0190,2025,QS,,,73.8,
U0191,2025,QS,,,54.7,
U0192,2025,QS,,,96.9,
U0193,2025,QS,,,42.6,
U0194,2025,QS,,,33.6,
U0195,2025,QS,,,91.9,
U0196,2025,QS,,,78.4,
U0197,2025,QS,,,73.6,
U0198,2025,QS,,,21.0,
U0199,2025,QS,,,40.3,
U0200,2025,QS,,,47.1,
U0201,2025,QS,,,40.0,
U0202,2025,QS,,,23.9,
U0203,2025,QS,,,55.0,
U0204,2025,QS,,,41.9,
U0205,2025,QS,,,62.6,
U0206,2025,QS,,,40.6,
U0207,2025,QS,,,2.1,
U0208,2025,QS,,,31.2,
U0209,2025,QS,,,99.4,
U0210,2025,QS,,,49.6,
U0211,2025,QS,,,99.9,
U0212,2025,QS,,,52.2,
U0213,2025,QS,,,59.9,
U0214,2025,QS,,,38.8,
U0215,2025,QS,,,20.3,
U0216,2025,QS,,,32.1,
U0217,2025,QS,,,77.7,
U0218,2025,QS,,,55.0,
U0219,2025,QS,,,52.7,
U0220,2025,QS,,,3.4,
U0221,2025,QS,,,63.7,
U0222,2025,QS,,,20.5,
U0223,2025,QS,,,90.2,
U0224,2025,QS,,,94.9,
U0225,2025,QS,,,32.4,
U0226,2025,QS,,,61.0,
U0227,2025,QS,,,70.3,
U0228,2025,QS,,,17.2,
U0229,2025,QS,,,7.5,
U0230,2025,QS,,,62.8,
U0231,2025,QS,,,49.9,
U0232,2025,QS,,,24.3,
U0233,2025,QS,,,61.3,
U0234,2025,QS,,,28.5,
U0235,2025,QS,,,84.7,
U0236,2025,QS,,,45.7,
U0237,2025,QS,,,32.0,
U0238,2025,QS,,,33.6,
U0239,2025,QS,,,1.7,
U0240,2025,QS,,,27.4,
U0241,2025,QS,,,51.6,
U0242,2025,QS,,,70.0,
U0243,2025,QS,,,60.6,
U0244,2025,QS,,,32.1,
U0245,2025,QS,,,99.1,
U0246,2025,QS,,,8.0,
U0247,2025,QS,,,56.8,
U0248,2025,QS,,,53.0,
U0249,2025,QS,,,14.7,
U0250,2025,QS,,,28.9,
U0251,2025,QS,,,10.1,
U0252,2025,QS,,,99.8,
U0253,2025,QS,,,61.4,
U0254,2025,QS,,,16.2,
U0255,2025,QS,,,62.5,
U0256,2025,QS,,,2.6,
U0257,2025,QS,,,65.2,
U0258,2025,QS,,,5.5,
U0259,2025,QS,,,61.6,
U0260,2025,QS,,,36.5,
U0261,2025,QS,,,2.7,
U0262,2025,QS,,,31.4,
U0263,2025,QS,,,73.3,
U0264,2025,QS,,,30.4,
U0265,2025,QS,,,3.6,
U0266,2025,QS,,,67.1,
U0267,2025,QS,,,48.1,
U0268,2025,QS,,,30.5,
U0269,2025,QS,,,99.5,
U0270,2025,QS,,,79.0,
U0271,2025,QS,,,92.6,
U0272,2025,QS,,,66.0,
U0273,2025,QS,,,28.5,
U0274,2025,QS,,,13.2,
U0275,2025,QS,,,53.5,
U0276,2025,QS,,,48.8,
U0277,2025,QS,,,31.3,
U0278,2025,QS,,,59.6,
U0279,2025,QS,,,18.2,
U0280,2025,QS,,,98.1,
U0281,2025,QS,,,19.4,
U0282,2025,QS,,,31.8,
U0283,2025,QS,,,2.9,
U0284,2025,QS,,,98.8,
U0285,2025,QS,,,22.3,
U0286,2025,QS,,,4.1,
U0287,2025,QS,,,29.3,
U0288,2025,QS,,,43.4,
U0289,2025,QS,,,39.6,
U0290,2025,QS,,,55.2,
U0291,2025,QS,,,86.5,
U0292,2025,QS,,,28.3,
U0293,2025,QS,,,38.8,
U0294,2025,QS,,,59.8,
U0295,2025,QS,,,89.5,
U0296,2025,QS,,,61.9,
U0297,2025,QS,,,29.1,
U0298,2025,QS,,,1.4,
U0299,2025,QS,,,27.9,
U0300,2025,QS,,,99.9,
U0301,2025,QS,,,14.0,
U0302,2025,QS,,,82.0,
U0303,2025,QS,,,87.0,
U0304,2025,QS,,,45.4,
U0305,2025,QS,,,7.8,
U0306,2025,QS,,,53.2,
U0307,2025,QS,,,40.7,
U0308,2025,QS,,,1.5,
U0309,2025,QS,,,15.9,
U0310,2025,QS,,,9.3,
U0311,2025,QS,,,63.4,
U0312,2025,QS,,,5.5,
U0313,2025,QS,,,24.9,
U0314,2025,QS,,,55.2,
U0315,2025,QS,,,93.6,
U0316,2025,QS,,,2.1,
U0317,2025,QS,,,88.2,
U0318,2025,QS,,,29.2,
U0319,2025,QS,,,36.6,
U0320,2025,QS,,,34.9,
U0321,2025,QS,,,1.4,
U0322,2025,QS,,,76.0,
U0323,2025,QS,,,11.4,
U0324,2025,QS,,,39.3,
U0325,2025,QS,,,49.3,
U0326,2025,QS,,,99.9,
U0327,2025,QS,,,17.0,
U0328,2025,QS,,,15.1,
U0329,2025,QS,,,12.8,
U0330,2025,QS,,,25.9,
U0331,2025,QS,,,49.5,
U0332,2025,QS,,,16.7,
U0333,2025,QS,,,58.7,
U0334,2025,QS,,,41.7,
U0335,2025,QS,,,93.8,
U0336,2025,QS,,,51.8,
U0337,2025,QS,,,97.6,
U0338,2025,QS,,,98.5,
U0339,2025,QS,,,1.9,
U0340,2025,QS,,,57.0,
U0341,2025,QS,,,31.9,
U0342,2025,QS,,,46.5,
U0343,2025,QS,,,99.9,
U0344,2025,QS,,,97.6,
U0345,2025,QS,,,45.7,
U0346,2025,QS,,,59.4,
U0347,2025,QS,,,55.1,
U0348,2025,QS,,,65.1,
U0349,2025,QS,,,62.5,
U0350,2025,QS,,,3.0,
U0351,2025,QS,,,2.8,
U0352,2025,QS,,,31.2,
U0353,2025,QS,,,14.5,
U0354,2025,QS,,,15.5,
U0355,2025,QS,,,29.1,
U0356,2025,QS,,,49.8,
U0357,2025,QS,,,25.2,
U0358,2025,QS,,,10.8,
U0359,2025,QS,,,100.0,
U0360,2025,QS,,,1.6,
U0361,2025,QS,,,90.6,
U0362,2025,QS,,,21.9,
U0363,2025,QS,,,72.2,
U0364,2025,QS,,,22.6,
U0365,2025,QS,,,4.6,
U0366,2025,QS,,,23.3,
U0367,2025,QS,,,10.0,
U0368,2025,QS,,,4.7,
U0369,2025,QS,,,3.5,
U0370,2025,QS,,,79.1,
U0371,2025,QS,,,27.5,
U0372,2025,QS,,,52.1,
U0373,2025,QS,,,16.7,
U0374,2025,QS,,,33.3,
U0375,2025,QS,,,46.6,
U0376,2025,QS,,,29.3,
U0377,2025,QS,,,82.9,
U0378,2025,QS,,,1.6,
U0379,2025,QS,,,17.3,
U0380,2025,QS,,,99.1,
U0381,2025,QS,,,45.7,
U0382,2025,QS,,,38.8,
U0383,2025,QS,,,100.0,
U0384,2025,QS,,,31.0,
U0385,2025,QS,,,97.8,
U0386,2025,QS,,,9.9,
U0387,2025,QS,,,1.3,
U0388,2025,QS,,,23.9,
U0389,2025,QS,,,88.5,
U0390,2025,QS,,,75.0,
U0391,2025,QS,,,28.4,
U0392,2025,QS,,,29.4,
U0393,2025,QS,,,31.0,
U0394,2025,QS,,,65.3,
U0395,2025,QS,,,47.2,
U0396,2025,QS,,,24.6,
U0397,2025,QS,,,53.4,
U0398,2025,QS,,,76.9,
U0399,2025,QS,,,38.0,
U0400,2025,QS,,,73.1,
U0401,2025,QS,,,2.4,
U0402,2025,QS,,,32.4,
U0403,2025,QS,,,100.0,
U0404,2025,QS,,,51.2,
U0405,2025,QS,,,60.6,
U0406,2025,QS,,,1.2,
U0407,2025,QS,,,40.7,
U0408,2025,QS,,,57.1,
U0409,2025,QS,,,13.8,
U0410,2025,QS,,,1.8,
U0411,2025,QS,,,5.2,
U0412,2025,QS,,,21.7,
U0413,2025,QS,,,11.1,
U0414,2025,QS,,,91.6,
U0415,2025,QS,,,17.5,
U0416,2025,QS,,,7.0,
U0417,2025,QS,,,20.1,
U0418,2025,QS,,,14.0,
U0419,2025,QS,,,10.7,
U0420,2025,QS,,,3.6,
U0421,2025,QS,,,10.7,
U0422,2025,QS,,,23.0,
U0423,2025,QS,,,34.4,
U0424,2025,QS,,,23.8,
U0425,2025,QS,,,41.6,
U0426,2025,QS,,,1.8,
U0427,2025,QS,,,17.4,
U0428,2025,QS,,,74.4,
U0429,2025,QS,,,82.0,
U0430,2025,QS,,,99.4,
U0431,2025,QS,,,99.7,
U0432,2025,QS,,,4.2,
U0433,2025,QS,,,26.2,
U0434,2025,QS,,,3.2,
U0435,2025,QS,,,2.2,
U0436,2025,QS,,,98.7,
U0437,2025,QS,,,57.3,
U0438,2025,QS,,,19.7,
U0439,2025,QS,,,3.3,
U0440,2025,QS,,,66.0,
U0441,2025,QS,,,64.6,
U0442,2025,QS,,,17.1,
U0443,2025,QS,,,9.5,
U0444,2025,QS,,,19.2,
U0445,2025,QS,,,46.9,
U0446,2025,QS,,,79.3,
U0447,2025,QS,,,19.9,
U0448,2025,QS,,,88.1,
U0449,2025,QS,,,90.6,
U0450,2025,QS,,,57.2,
U0451,2025,QS,,,99.1,
U0452,2025,QS,,,72.1,
U0453,2025,QS,,,5.4,
U0454,2025,QS,,,9.2,
U0455,2025,QS,,,30.3,
U0456,2025,QS,,,12.0,
U0457,2025,QS,,,15.2,
U0458,2025,QS,,,20.7,
U0459,2025,QS,,,50.1,
U0460,2025,QS,,,23.6,
U0461,2025,QS,,,4.2,
U0462,2025,QS,,,33.1,
U0463,2025,QS,,,8.2,
U0464,2025,QS,,,56.4,
U0465,2025,QS,,,11.4,
U0466,2025,QS,,,18.3,
U0467,2025,QS,,,8.1,
U0468,2025,QS,,,33.6,
U0469,2025,QS,,,33.5,
U0470,2025,QS,,,47.9,
U0471,2025,QS,,,51.7,
U0472,2025,QS,,,22.6,
U0473,2025,QS,,,14.3,
U0474,2025,QS,,,43.0,
U0475,2025,QS,,,8.9,
U0476,2025,QS,,,36.5,
U0477,2025,QS,,,22.0,
U0478,2025,QS,,,15.2,
U0479,2025,QS,,,95.6,
U0480,2025,QS,,,27.2,
U0481,2025,QS,,,21.7,
U0482,2025,QS,,,1.1,
U0483,2025,QS,,,76.3,
U0484,2025,QS,,,88.8,
U0485,2025,QS,,,46.8,
U0486,2025,QS,,,22.1,
U0487,2025,QS,,,31.0,
U0488,2025,QS,,,41.7,
U0489,2025,QS,,,81.4,
U0490,2025,QS,,,9.3,
U0491,2025,QS,,,92.2,
U0492,2025,QS,,,30.5,
U0493,2025,QS,,,16.2,
U0494,2025,QS,,,12.1,
U0495,2025,QS,,,20.9,
U0496,2025,QS,,,49.0,
U0497,2025,QS,,,27.4,
U0498,2025,QS,,,8.1,
U0499,2025,QS,,,1.6,
U0500,2025,QS,,,50.9,
U0501,2025,QS,,,60.7,
U0502,2025,QS,,,72.0,
U0503,2025,QS,,,63.5,
U0504,2025,QS,,,11.5,
U0505,2025,QS,,,19.4,
U0506,2025,QS,,,53.9,
U0507,2025,QS,,,32.7,
U0508,2025,QS,,,15.8,
U0509,2025,QS,,,64.5,
U0510,2025,QS,,,15.1,
U0511,2025,QS,,,6.9,
U0512,2025,QS,,,80.3,
U0513,2025,QS,,,2.6,
U0514,2025,QS,,,27.8,
U0515,2025,QS,,,54.1,
U0516,2025,QS,,,1.8,
U0517,2025,QS,,,49.8,
U0518,2025,QS,,,1.7,
U0519,2025,QS,,,20.5,
U0520,2025,QS,,,19.4,
U0521,2025,QS,,,21.5,
U0522,2025,QS,,,2.1,
U0523,2025,QS,,,8.6,
U0524,2025,QS,,,19.5,
U0525,2025,QS,,,1.9,
U0526,2025,QS,,,8.8,
U0527,2025,QS,,,86.2,
U0528,2025,QS,,,8.4,
U0529,2025,QS,,,25.8,
U0530,2025,QS,,,4.7,
U0531,2025,QS,,,7.1,
U0532,2025,QS,,,95.0,
U0533,2025,QS,,,21.7,
U0534,2025,QS,,,30.5,
U0535,2025,QS,,,1.9,
U0536,2025,QS,,,7.4,
U0537,2025,QS,,,15.8,
U0538,2025,QS,,,17.6,
U0539,2025,QS,,,18.4,
U0540,2025,QS,,,2.0,
U0541,2025,QS,,,2.1,
U0542,2025,QS,,,10.3,
U0543,2025,QS,,,25.4,
U0544,2025,QS,,,6.2,
U0545,2025,QS,,,7.0,
U0546,2025,QS,,,2.2,
U0547,2025,QS,,,63.8,
U0548,2025,QS,,,2.2,
U0549,2025,QS,,,43.7,
U0550,2025,QS,,,6.7,
U0551,2025,QS,,,36.2,
U0552,2025,QS,,,16.6,
U0553,2025,QS,,,81.7,
U0554,2025,QS,,,15.4,
U0555,2025,QS,,,5.6,
U0556,2025,QS,,,8.2,
U0557,2025,QS,,,2.9,
U0558,2025,QS,,,31.2,
U0559,2025,QS,,,2.9,
U0560,2025,QS,,,11.5,
U0561,2025,QS,,,2.2,
U0562,2025,QS,,,48.3,
U0563,2025,QS,,,9.9,
U0564,2025,QS,,,6.1,
U0565,2025,QS,,,89.3,
U0566,2025,QS,,,29.8,
U0567,2025,QS,,,4.2,
U0568,2025,QS,,,2.2,
U0569,2025,QS,,,1.3,
U0570,2025,QS,,,13.5,
U0571,2025,QS,,,4.8,
U0572,2025,QS,,,11.6,
U0573,2025,QS,,,24.8,
U0574,2025,QS,,,12.6,
U0575,2025,QS,,,3.9,
U0576,2025,QS,,,3.7,
U0577,2025,QS,,,5.1,
U0578,2025,QS,,,46.3,
U0579,2025,QS,,,4.6,
U0580,2025,QS,,,28.9,
U0581,2025,QS,,,52.7,
U0582,2025,QS,,,1.8,
U0583,2025,QS,,,76.5,
U0584,2025,QS,,,28.0,
U0585,2025,QS,,,1.6,
U0586,2025,QS,,,18.8,
U0587,2025,QS,,,28.8,
U0588,2025,QS,,,55.9,
U0589,2025,QS,,,24.4,
U0590,2025,QS,,,2.8,
U0591,2025,QS,,,24.5,
U0592,2025,QS,,,1.9,
U0593,2025,QS,,,5.1,
U0594,2025,QS,,,24.4,
U0595,2025,QS,,,5.4,
U0596,2025,QS,,,2.1,
U0597,2025,QS,,,1.4,
U0598,2025,QS,,,19.1,
U0599,2025,QS,,,5.9,
U0600,2025,QS,,,43.3,
U0601,2025,QS,,,12.7,
U0602,2025,QS,,,35.9,
U0603,2025,QS,,,2.7,
U0604,2025,QS,,,7.6,
U0605,2025,QS,,,10.1,
U0606,2025,QS,,,2.2,
U0607,2025,QS,,,6.8,
U0608,2025,QS,,,56.6,
U0609,2025,QS,,,7.0,
U0610,2025,QS,,,58.7,
U0611,2025,QS,,,47.5,
U0612,2025,QS,,,28.3,
U0613,2025,QS,,,3.7,
U0614,2025,QS,,,1.6,
U0615,2025,QS,,,7.3,
U0616,2025,QS,,,15.6,
U0617,2025,QS,,,26.5,
U0618,2025,QS,,,7.5,
U0619,2025,QS,,,18.9,
U0620,2025,QS,,,11.3,
U0621,2025,QS,,,21.0,
U0622,2025,QS,,,43.2,
U0623,2025,QS,,,1.9,
U0624,2025,QS,,,1.0,
U0625,2025,QS,,,44.2,
U0626,2025,QS,,,3.5,
U0627,2025,QS,,,7.9,
U0628,2025,QS,,,10.8,
U0629,2025,QS,,,5.6,
U0630,2025,QS,,,1.0,
U0631,2025,QS,,,36.3,
U0632,2025,QS,,,8.9,
U0633,2025,QS,,,5.9,
U0634,2025,QS,,,17.9,
U0635,2025,QS,,,16.6,
U0636,2025,QS,,,41.9,
U0637,2025,QS,,,79.7,
U0638,2025,QS,,,1.7,
U0639,2025,QS,,,10.9,
U0640,2025,QS,,,35.3,
U0641,2025,QS,,,9.7,
U0642,2025,QS,,,6.7,
U0643,2025,QS,,,15.1,
U0644,2025,QS,,,3.3,
U0645,2025,QS,,,4.5,
U0646,2025,QS,,,69.7,
U0647,2025,QS,,,7.1,
U0648,2025,QS,,,32.5,
U0649,2025,QS,,,14.4,
U0650,2025,QS,,,33.9,
U0651,2025,QS,,,3.1,
U0652,2025,QS,,,63.0,
U0653,2025,QS,,,1.8,
U0654,2025,QS,,,17.3,
U0655,2025,QS,,,16.5,
U0656,2025,QS,,,19.0,
U0657,2025,QS,,,1.6,
U0658,2025,QS,,,8.5,
U0659,2025,QS,,,17.0,
U0660,2025,QS,,,24.6,
U0661,2025,QS,,,4.1,
U0662,2025,QS,,,20.3,
U0663,2025,QS,,,4.7,
U0664,2025,QS,,,3.5,
U0665,2025,QS,,,42.6,
U0666,2025,QS,,,3.1,
U0667,2025,QS,,,47.8,
U0668,2025,QS,,,28.6,
U0669,2025,QS,,,11.5,
U0670,2025,QS,,,2.0,
U0671,2025,QS,,,17.7,
U0672,2025,QS,,,1.6,
U0673,2025,QS,,,12.0,
U0674,2025,QS,,,25.9,
U0675,2025,QS,,,1.1,
U0676,2025,QS,,,48.1,
U0677,2025,QS,,,10.7,
U0678,2025,QS,,,1.1,
U0679,2025,QS,,,7.4,
U0680,2025,QS,,,7.0,
U0681,2025,QS,,,32.1,
U0682,2025,QS,,,68.5,
U0683,2025,QS,,,12.0,
U0684,2025,QS,,,71.1,
U0685,2025,QS,,,10.6,
U0686,2025,QS,,,31.7,
U0687,2025,QS,,,2.5,
U0688,2025,QS,,,16.9,
U0689,2025,QS,,,61.0,
U0690,2025,QS,,,27.5,
U0691,2025,QS,,,1.4,
U0692,2025,QS,,,8.5,
U0693,2025,QS,,,41.0,
U0694,2025,QS,,,60.7,
U0695,2025,QS,,,1.1,
U0696,2025,QS,,,1.5,
U0697,2025,QS,,,1.2,
U0698,2025,QS,,,6.0,
U0699,2025,QS,,,10.1,
U0700,2025,QS,,,56.3,
U0701,2025,QS,,,11.7,
U0702,2025,QS,,,40.4,
U0703,2025,QS,,,67.1,
U0704,2025,QS,,,9.7,
U0705,2025,QS,,,3.7,
U0706,2025,QS,,,71.0,
U0707,2025,QS,,,41.7,
U0708,2025,QS,,,2.2,
U0709,2025,QS,,,30.4,
U0710,2025,QS,,,31.1,
U0711,2025,QS,,,3.8,
U0712,2025,QS,,,4.3,
U0713,2025,QS,,,18.2,
U0714,2025,QS,,,10.8,
U0715,2025,QS,,,8.0,
U0716,2025,QS,,,11.0,
U0717,2025,QS,,,67.6,
U0718,2025,QS,,,2.3,
U0719,2025,QS,,,2.4,
U0720,2025,QS,,,13.8,
U0721,2025,QS,,,51.7,
U0722,2025,QS,,,12.4,
U0723,2025,QS,,,30.9,
U0724,2025,QS,,,11.6,
U0725,2025,QS,,,8.5,
U0726,2025,QS,,,1.5,
U0727,2025,QS,,,28.7,
U0728,2025,QS,,,17.6,
U0729,2025,QS,,,40.6,
U0730,2025,QS,,,17.1,
U0731,2025,QS,,,45.2,
U0732,2025,QS,,,10.6,
U0733,2025,QS,,,3.0,
U0734,2025,QS,,,14.7,
U0735,2025,QS,,,28.3,
U0736,2025,QS,,,49.7,
U0737,2025,QS,,,43.3,
U0738,2025,QS,,,37.9,
U0739,2025,QS,,,18.3,
U0740,2025,QS,,,5.3,
U0741,2025,QS,,,1.4,
U0742,2025,QS,,,15.6,
U0743,2025,QS,,,1.0,
U0744,2025,QS,,,1.1,
U0745,2025,QS,,,6.1,
U0746,2025,QS,,,35.0,
U0747,2025,QS,,,23.6,
U0748,2025,QS,,,11.9,
U0749,2025,QS,,,5.1,
U0750,2025,QS,,,1.4,
U0751,2025,QS,,,34.1,
U0752,2025,QS,,,2.4,
U0753,2025,QS,,,8.6,
U0754,2025,QS,,,1.6,
U0755,2025,QS,,,7.9,
U0756,2025,QS,,,5.5,
U0757,2025,QS,,,10.0,
U0758,2025,QS,,,4.2,
U0759,2025,QS,,,48.4,
U0760,2025,QS,,,21.4,
U0761,2025,QS,,,6.7,
U0762,2025,QS,,,7.2,
U0763,2025,QS,,,36.7,
U0764,2025,QS,,,4.8,
U0765,2025,QS,,,14.9,
U0766,2025,QS,,,2.7,
U0767,2025,QS,,,57.8,
U0768,2025,QS,,,22.9,
U0769,2025,QS,,,3.6,
U0770,2025,QS,,,27.0,
U0771,2025,QS,,,1.7,
U0772,2025,QS,,,16.4,
U0773,2025,QS,,,8.8,
U0774,2025,QS,,,31.8,
U0775,2025,QS,,,1.7,
U0776,2025,QS,,,2.1,
U0777,2025,QS,,,2.5,
U0778,2025,QS,,,5.1,
U0779,2025,QS,,,13.5,
U0780,2025,QS,,,2.8,
U0781,2025,QS,,,41.6,
U0782,2025,QS,,,4.4,
U0783,2025,QS,,,2.5,
U0784,2025,QS,,,1.3,
U0785,2025,QS,,,1.8,
U0786,2025,QS,,,11.3,
U0787,2025,QS,,,2.6,
U0788,2025,QS,,,1.0,
U0789,2025,QS,,,8.5,
U0790,2025,QS,,,5.3,
U0791,2025,QS,,,37.3,
U0792,2025,QS,,,2.7,
U0793,2025,QS,,,10.6,
U0794,2025,QS,,,1.2,
U0795,2025,QS,,,26.2,
U0796,2025,QS,,,30.4,
U0797,2025,QS,,,4.3,
U0798,2025,QS,,,4.3,
U0799,2025,QS,,,23.5,
U0800,2025,QS,,,14.9,
U0801,2025,QS,,,18.9,
U0802,2025,QS,,,10.6,
U0803,2025,QS,,,2.7,
U0804,2025,QS,,,2.0,
U0805,2025,QS,,,2.6,
U0806,2025,QS,,,52.5,
U0807,2025,QS,,,33.1,
U0808,2025,QS,,,1.0,
U0809,2025,QS,,,20.4,
U0810,2025,QS,,,11.8,
U0811,2025,QS,,,12.7,
U0812,2025,QS,,,59.7,
U0813,2025,QS,,,1.8,
U0814,2025,QS,,,2.0,
U0815,2025,QS,,,2.3,
U0816,2025,QS,,,1.2,
U0817,2025,QS,,,2.9,
U0818,2025,QS,,,12.3,
U0819,2025,QS,,,4.4,
