university_id,year,research_score,research_impact,research_productivity
U03486,2024,75.3,78.7,77
U03060,2024,66.3,88.2,77.25
U03329,2024,66.1,82.4,74.25
U02651,2024,67.8,87.2,77.5
U02120,2024,68.9,92,80.45
U02588,2024,63.1,96.7,79.9
U01818,2024,75.3,74.6,74.95
U03217,2024,67.5,85.5,76.5
U00301,2024,59.6,89.7,74.65
U02083,2024,62.1,92.9,77.5
U03401,2024,59.8,93.8,76.8
U00191,2024,68,86.6,77.3
U03410,2024,57.2,97.5,77.35
U02659,2024,64.7,96.9,80.8
U02117,2024,64.3,89.1,76.7
U00855,2024,61.6,70.8,66.2
U02966,2024,60.3,93.9,77.1
U01360,2024,61.7,85.3,73.5
U03093,2024,58.8,92.5,75.65
U01900,2024,60.8,83.7,72.25
U03469,2024,64.3,79.3,71.8
U01174,2024,62.7,93,77.85
U00287,2024,54.1,94.3,74.2
U02772,2024,57.2,94.5,75.85
U03235,2024,53.4,91.8,72.6
U02638,2024,56.5,97.3,76.9
U00415,2024,52.4,91.1,71.75
U01113,2024,65.8,77.4,71.6
U03336,2024,57.4,91.1,74.25
U02919,2024,58.5,87.2,72.85
U01672,2024,65.3,71.8,68.55
U02765,2024,51.8,96.8,74.3
U00770,2024,54.1,94.5,74.3
U00784,2024,63.7,82.8,73.25
U01754,2024,64.8,78.9,71.85
U02629,2024,57.7,89.7,73.7
U02652,2024,53.8,93.2,73.5
U03362,2024,48.5,96,72.25
U00373,2024,49.1,97.7,73.4
U01196,2024,75.2,33.9,54.55
U03179,2024,56.5,89,72.75
U01120,2024,57.8,81,69.4
U03092,2024,50.1,92.7,71.4
U00552,2024,54.1,96.9,75.5
U01527,2024,52.7,88.4,70.55
U02623,2024,49.3,95.5,72.4
U00636,2024,59.7,82.5,71.1
U02699,2024,51.1,91.3,71.2
U01261,2024,51.3,93,72.15
U03069,2024,49.5,92.3,70.9
U00549,2024,45.7,95.5,70.6
U01212,2024,56.6,86.6,71.6
U03206,2024,52.1,89,70.55
U00003,2024,59,86.3,72.65
U02578,2024,55.5,80.9,68.2
U02572,2024,50.6,92.8,71.7
U02779,2024,54.8,90.1,72.45
U02937,2024,54.1,81.7,67.9
U02897,2024,58.1,92.8,75.45
U00677,2024,59.3,85.3,72.3
U02620,2024,47,93.3,70.15
U01286,2024,52.3,86.2,69.25
U02062,2024,62.1,77.3,69.7
U01711,2024,45.6,86.5,66.05
U03197,2024,60.3,77.4,68.85
U02790,2024,57.6,90.6,74.1
U01588,2024,58.7,83.7,71.2
U02607,2024,42.9,87.7,65.3
U02899,2024,46.9,87.3,67.1
U03396,2024,51,93.4,72.2
U02026,2024,47.4,83.2,65.3
U02983,2024,50.6,92.1,71.35
U02751,2024,51.3,86.2,68.75
U02858,2024,49.1,87.3,68.2
U02975,2024,45.9,90.6,68.25
U02142,2024,66.4,53.8,60.1
U02745,2024,56.7,78.3,67.5
U03033,2024,42.9,88.3,65.6
U02178,2024,48.4,87.6,68
U01684,2024,42.6,97.9,70.25
U02783,2024,53.3,84.8,69.05
U02021,2024,55.6,78.1,66.85
U02692,2024,51.9,88.6,70.25
U01218,2024,47.1,86.1,66.6
U01012,2024,56.8,72.5,64.65
U01693,2024,51,91.3,71.15
U03338,2024,55,81.3,68.15
U02857,2024,46.3,87.3,66.8
U02129,2024,48.6,88.7,68.65
U03012,2024,46.1,92.4,69.25
U01961,2024,54.2,72.9,63.55
U03229,2024,44.8,90.8,67.8
U03126,2024,43.3,95.9,69.6
U01608,2024,51.5,77.2,64.35
U02597,2024,45.7,88.3,67
U01864,2024,57.3,69.3,63.3
U02604,2024,47.3,91.4,69.35
U01412,2024,54.8,70.8,62.8
U03328,2024,42.7,90.6,66.65
U02594,2024,51.3,85.7,68.5
U02627,2024,44.6,86.5,65.55
U01160,2024,40.7,93.9,67.3
U00779,2024,48.1,90,69.05
U03208,2024,49.3,83.7,66.5
U02690,2024,47.1,85.6,66.35
U02592,2024,44.4,92.5,68.45
U00477,2024,40.7,84.7,62.7
U02185,2024,51.1,79.3,65.2
U00334,2024,40.2,88.7,64.45
U03438,2024,45,88.5,66.75
U03200,2024,40.1,88.9,64.5
U02670,2024,47,88.3,67.65
U03306,2024,49.4,83.1,66.25
U00545,2024,51.5,71.3,61.4
U00734,2024,55.1,70.9,63
U02869,2024,40.2,93.4,66.8
U01461,2024,41.1,93.8,67.45
U01805,2024,42.6,82.9,62.75
U00521,2024,44.5,83.5,64
U01555,2024,65.7,50.5,58.1
U03227,2024,43.4,90.8,67.1
U00243,2024,45.8,77.5,61.65
U02741,2024,42.5,95.7,69.1
U02986,2024,46.5,84.4,65.45
U01221,2024,44.2,87.4,65.8
U01789,2024,48.1,77.9,63
U00159,2024,46.2,87.5,66.85
U02759,2024,38,86.7,62.35
U03177,2024,46,75.1,60.55
U01947,2024,49.6,91,70.3
U02167,2024,53.6,69.5,61.55
U00670,2024,37,85.1,61.05
U02890,2024,45.4,90.2,67.8
U00364,2024,46.6,79.4,63
U00330,2024,39.6,91.9,65.75
U02148,2024,63.3,49.4,56.35
U02187,2024,35,87.5,61.25
U02739,2024,48.1,79.7,63.9
U02880,2024,38.1,90.3,64.2
U02943,2024,47.3,83.7,65.5
U03099,2024,42.6,77.7,60.15
U02207,2024,41.2,87.9,64.55
U00844,2024,38.4,84.9,61.65
U02974,2024,42.6,76.1,59.35
U01687,2024,42.1,89.5,65.8
U02208,2024,40.8,85,62.9
U00001,2024,45,83,64
U00002,2024,43.1,79.7,61.4
U02570,2024,35.8,81.8,58.8
U00016,2024,30,85.8,57.9
U00193,2024,41.4,84.8,63.1
U02648,2024,41.4,81.7,61.55
U02661,2024,39.8,93.3,66.55
U00456,2024,36.5,87.5,62
U00639,2024,42,81.8,61.9
U00669,2024,35.7,86,60.85
U00686,2024,38.2,82.4,60.3
U02767,2024,43.4,90.2,66.8
U02786,2024,42.5,75.8,59.15
U02809,2024,33.9,80,56.95
U00821,2024,57.8,53.9,55.85
U02816,2024,37,79.9,58.45
U01070,2024,38.7,86.3,62.5
U01114,2024,46.6,72,59.3
U02859,2024,34.2,95.5,64.85
U03324,2024,45,83.5,64.25
U02878,2024,39.4,78.1,58.75
U01264,2024,33.5,91.6,62.55
U01270,2024,28.7,93.5,61.1
U02913,2024,34.7,83.2,58.95
U01319,2024,48.8,55.1,51.95
U01346,2024,55.7,54.3,55
U02961,2024,38.8,85.5,62.15
U01487,2024,33.6,93.3,63.45
U02991,2024,38.5,84.1,61.3
U01610,2024,49.7,71.9,60.8
U01621,2024,38.3,90.5,64.4
U03018,2024,44.7,80.4,62.55
U01690,2024,38,88.7,63.35
U03028,2024,40.6,84.1,62.35
U01751,2024,37.2,78.4,57.8
U01788,2024,39,80.1,59.55
U03113,2024,60.7,57.3,59
U01914,2024,40.8,92.8,66.8
U01960,2024,39.5,83.2,61.35
U03110,2024,35.6,92.7,64.15
U01972,2024,34,91.3,62.65
U02054,2024,49.7,83,66.35
U02134,2024,47.6,71.4,59.5
U02136,2024,44.9,80.1,62.5
U02563,2024,41.3,84,62.65
U03183,2024,38.5,87,62.75
U03397,2024,42.6,80.9,61.75
U03422,2024,42.9,75.2,59.05
U03220,2024,39.3,84,61.65
U02609,2024,35.1,80.5,57.8
U00241,2024,44,74.7,59.35
U02619,2024,33.9,84.2,59.05
U00286,2024,30.5,84.6,57.55
U00295,2024,28.3,84.6,56.45
U02656,2024,35.4,85.7,60.55
U00481,2024,34.6,91.4,63
U02725,2024,32,90.9,61.45
U03521,2024,46.8,53.9,50.35
U00630,2024,38.6,79.4,59
U00701,2024,37.8,82.7,60.25
U00745,2024,34.5,82.3,58.4
U02792,2024,35.5,85.7,60.6
U00782,2024,27.9,98,62.95
U00971,2024,32.6,82.3,57.45
U01044,2024,35.9,78.4,57.15
U01065,2024,28.6,90.7,59.65
U02840,2024,44.4,71.5,57.95
U01144,2024,40,71,55.5
U01163,2024,36.7,91.7,64.2
U01152,2024,35.4,88.1,61.75
U03323,2024,38.7,73.7,56.2
U01182,2024,41.3,86.4,63.85
U01205,2024,34.4,77.4,55.9
U01219,2024,34.2,78.9,56.55
U02885,2024,35.4,72.6,54
U01265,2024,29.3,89.6,59.45
U01364,2024,31.4,85.3,58.35
U01478,2024,41.4,73.3,57.35
U02987,2024,38.2,84.1,61.15
U01675,2024,35.6,83.4,59.5
U01689,2024,38,72.3,55.15
U01700,2024,36.6,81.7,59.15
U01720,2024,36.2,83.2,59.7
U01741,2024,46.7,72.2,59.45
U01812,2024,34.5,94,64.25
U01814,2024,27.8,76.9,52.35
U01874,2024,36.7,84.2,60.45
U01902,2024,38.2,83.2,60.7
U03094,2024,33.5,89.1,61.3
U03089,2024,36.4,87.6,62
U01948,2024,29.7,81.4,55.55
U03105,2024,49.5,63.1,56.3
U03109,2024,34.5,88,61.25
U03312,2024,26.4,84,55.2
U01969,2024,30.2,89.7,59.95
U03121,2024,38.4,82,60.2
U02025,2024,48.1,62.6,55.35
U02186,2024,44.1,57.6,50.85
U03383,2024,39.4,78.8,59.1
U03389,2024,26.9,98.3,62.6
U03445,2024,48,70,59
U00238,2024,43.5,68.6,56.05
U02635,2024,39,68.8,53.9
U02553,2024,34.1,76.1,55.1
U00340,2024,30,89.4,59.7
U00385,2024,32.8,92.4,62.6
U00443,2024,32.3,92.1,62.2
U00470,2024,31.6,78.9,55.25
U00514,2024,26,79.6,52.8
U02724,2024,32.1,84.9,58.5
U00527,2024,35.1,76.3,55.7
U02740,2024,31.8,81,56.4
U00624,2024,35.4,78.4,56.9
U02755,2024,33.8,76.7,55.25
U03319,2024,37.9,66.9,52.4
U00732,2024,40.4,62,51.2
U00744,2024,36.3,68.9,52.6
U00769,2024,28.9,77.2,53.05
U02812,2024,33.1,70.3,51.7
U02837,2024,33.3,81.6,57.45
U01148,2024,47.5,51.2,49.35
U02870,2024,38.7,72.7,55.7
U01315,2024,35.6,74.7,55.15
U02949,2024,30.4,82.3,56.35
U01499,2024,40.6,74.7,57.65
U01504,2024,38.4,74.7,56.55
U01547,2024,21.3,91.7,56.5
U02985,2024,35.1,75.8,55.45
U03000,2024,32.3,82.7,57.5
U03035,2024,33.5,74.3,53.9
U01737,2024,29.3,79,54.15
U01928,2024,25.8,93.5,59.65
U01846,2024,37.4,78.3,57.85
U03082,2024,36.8,82.5,59.65
U01906,2024,46.3,68.4,57.35
U01945,2024,39.5,76.9,58.2
U03104,2024,35.5,71.2,53.35
U01971,2024,34.9,78.8,56.85
U01994,2024,38.4,80.9,59.65
U03120,2024,31.8,86.5,59.15
U02543,2024,37.8,77.7,57.75
U02122,2024,31.6,84.5,58.05
U03175,2024,34.9,83.3,59.1
U02221,2024,34.5,83.2,58.85
U02562,2024,31.6,82.4,57
U03409,2024,34.5,74.8,54.65
U03421,2024,31.7,87.7,59.7
U03158,2024,42.9,72.4,57.65
U03440,2024,33.5,83.7,58.6
U00041,2024,27.2,71.9,49.55
U00118,2024,33.7,77,55.35
U00195,2024,29.9,76.3,53.1
U02612,2024,40.8,65,52.9
U02630,2024,29.9,72.5,51.2
U00302,2024,26.5,80.7,53.6
U02665,2024,45.5,54,49.75
U02666,2024,31.6,82.4,57
U00399,2024,38.2,75.9,57.05
U00416,2024,30.9,78.6,54.75
U02695,2024,23.7,93.7,58.7
U02697,2024,30.2,72.8,51.5
U00467,2024,38.9,64.8,51.85
U00536,2024,26.2,86.9,56.55
U02734,2024,35.2,80.9,58.05
U02744,2024,34.4,78.6,56.5
U00637,2024,22.8,85.5,54.15
U02761,2024,40.5,68.2,54.35
U00740,2024,38.1,69.1,53.6
U00748,2024,33.4,65.2,49.3
U00766,2024,44,47.4,45.7
U00786,2024,30.4,92,61.2
U00803,2024,26.9,67.8,47.35
U00891,2024,34.5,69.3,51.9
U00941,2024,30.9,79.6,55.25
U00983,2024,38,72.5,55.25
U02829,2024,25.9,73.1,49.5
U01118,2024,40.5,68.9,54.7
U01173,2024,41.5,62.1,51.8
U02889,2024,34.7,76.3,55.5
U01288,2024,43.1,53.6,48.35
U02915,2024,31.8,87.3,59.55
U02916,2024,26,91.1,58.55
U01334,2024,29.6,81.4,55.5
U02947,2024,28.3,86.9,57.6
U01595,2024,31.3,67.4,49.35
U01759,2024,37.9,69.5,53.7
U03100,2024,21,81.4,51.2
U03057,2024,35.1,62.9,49
U03068,2024,25.7,93.8,59.75
U01848,2024,34.3,85.3,59.8
U01910,2024,36.7,74.8,55.75
U03096,2024,25.9,88,56.95
U02036,2024,34,66.9,50.45
U02056,2024,24.3,85.2,54.75
U03131,2024,28.3,84.9,56.6
U03165,2024,34.8,80.5,57.65
U03170,2024,42.6,52.3,47.45
U03195,2024,31.2,80.1,55.65
U03471,2024,32.4,78.3,55.35
U00171,2024,36.6,80.6,58.6
U00173,2024,26.5,82.5,54.5
U00183,2024,21.2,84,52.6
U00190,2024,25.7,97,61.35
U00225,2024,25.3,72.7,49
U00232,2024,43.9,22.1,33
U00285,2024,23.1,82.5,52.8
U00289,2024,21.1,86.7,53.9
U02636,2024,19.2,89.3,54.25
U02517,2024,28.9,76,52.45
U02655,2024,23.9,86.8,55.35
U00322,2024,29,76.9,52.95
U02673,2024,22.7,81.2,51.95
U00355,2024,33.4,50.6,42
U02676,2024,34.4,74.7,54.55
U00374,2024,32.5,73.9,53.2
U00376,2024,33.1,61.9,47.5
U00408,2024,38.4,52,45.2
U00422,2024,27.1,65,46.05
U02688,2024,38.2,59.9,49.05
U00432,2024,31.7,74.4,53.05
U00442,2024,35.9,48.9,42.4
U00471,2024,35,68.1,51.55
U02712,2024,31.8,72.5,52.15
U00515,2024,35.2,77.1,56.15
U03505,2024,30.3,55.7,43
U00608,2024,30.2,65.7,47.95
U00629,2024,29.3,74.2,51.75
U02752,2024,33.2,63.2,48.2
U02760,2024,28.3,78,53.15
U00668,2024,27.5,82.7,55.1
U00673,2024,25.4,72.6,49
U00688,2024,25.2,75.4,50.3
U02771,2024,29.9,73.8,51.85
U02775,2024,36.2,66.2,51.2
U00718,2024,39.6,50.3,44.95
U00775,2024,44,57.3,50.65
U02800,2024,24.3,74.3,49.3
U00811,2024,23.4,65.8,44.6
U00815,2024,36.5,43.6,40.05
U00853,2024,32.6,60.2,46.4
U00896,2024,37.4,75.2,56.3
U02822,2024,36.3,66.8,51.55
U00974,2024,35.4,58.2,46.8
U02826,2024,34.1,78.2,56.15
U02519,2024,27.8,58.7,43.25
U02833,2024,29,77.6,53.3
U02834,2024,30.8,71.8,51.3
U01080,2024,19.9,84.5,52.2
U02866,2024,32.6,64.1,48.35
U01178,2024,26.7,68.4,47.55
U02868,2024,38,69.9,53.95
U02893,2024,31.4,68.8,50.1
U01258,2024,30.7,77,53.85
U01304,2024,28.7,69.6,49.15
U01306,2024,26,66,46
U02929,2024,24.6,79.6,52.1
U01399,2024,41,42.4,41.7
U01413,2024,36.9,63.8,50.35
U01420,2024,42.3,58.4,50.35
U01448,2024,44.3,52.9,48.6
U02952,2024,31.1,71.5,51.3
U02953,2024,26.4,67.2,46.8
U01456,2024,23.5,69.2,46.35
U02982,2024,30.5,79.4,54.95
U02996,2024,36.5,66.5,51.5
U03010,2024,31.2,80.5,55.85
U03013,2024,21.9,79.5,50.7
U01619,2024,30.2,73.5,51.85
U01636,2024,34.3,67.6,50.95
U03016,2024,35.4,71.1,53.25
U03017,2024,20,84.5,52.25
U01660,2024,20.5,87,53.75
U01680,2024,24.1,84.2,54.15
U03315,2024,33.8,57.2,45.5
U01705,2024,30.3,60.9,45.6
U01739,2024,20.7,75.6,48.15
U02535,2024,27.8,60,43.9
U01763,2024,16.3,80.9,48.6
U01884,2024,36.1,60.2,48.15
U03086,2024,24.6,75.1,49.85
U01946,2024,25.3,74.6,49.95
U03102,2024,26.2,82.4,54.3
U01959,2024,13.5,68.9,41.2
U01976,2024,28.2,73.3,50.75
U01985,2024,32.6,60.9,46.75
U03127,2024,28.4,71.9,50.15
U02540,2024,29.3,65,47.15
U02150,2024,31.3,53.4,42.35
U02184,2024,42.2,62.3,52.25
U02189,2024,24.4,73.1,48.75
U03174,2024,30.1,84.5,57.3
U02214,2024,33.5,80.2,56.85
U02549,2024,27.6,69.7,48.65
U03185,2024,27.7,90.3,59
U03369,2024,26.2,84.1,55.15
U03371,2024,29.9,73.1,51.5
U03372,2024,34.1,69.4,51.75
U03382,2024,23.2,82.8,53
U03201,2024,31,74.3,52.65
U03403,2024,22,80.6,51.3
U03480,2024,25.4,85.7,55.55
U00012,2024,23,68.5,45.75
U03499,2024,31.6,59.3,45.45
U00044,2024,37.7,52.8,45.25
U02577,2024,31,63.1,47.05
U00071,2024,15.2,72.7,43.95
U00110,2024,17.9,73.5,45.7
U00133,2024,16.3,84.8,50.55
U00139,2024,26.3,72.4,49.35
U02879,2024,22.8,73.2,48
U00182,2024,25.7,59.6,42.65
U00205,2024,21.5,94.4,57.95
U00227,2024,34.1,54.1,44.1
U00248,2024,24.6,47.3,35.95
U00257,2024,30.6,59,44.8
U02632,2024,22.4,73.8,48.1
U00297,2024,22,74.4,48.2
U00344,2024,36.3,52.8,44.55
U02645,2024,19.5,69.6,44.55
U02667,2024,30.9,62.4,46.65
U00331,2024,31.2,67,49.1
U00352,2024,26.7,76,51.35
U00391,2024,37.5,56.6,47.05
U00438,2024,29.4,58.8,44.1
U00440,2024,29.3,66.2,47.75
U02707,2024,22,65.6,43.8
U02702,2024,25.7,76.5,51.1
U02705,2024,25.8,75.3,50.55
U02714,2024,24.3,64.2,44.25
U00506,2024,22.1,72.8,47.45
U02728,2024,31.2,69.7,50.45
U00535,2024,18.4,77.9,48.15
U00550,2024,28.6,48.1,38.35
U02743,2024,24.9,74.3,49.6
U02768,2024,26.6,65.7,46.15
U02769,2024,21.8,66.9,44.35
U00698,2024,21.4,51.5,36.45
U02770,2024,17.5,81.2,49.35
U00729,2024,24.5,53,38.75
U02796,2024,29.7,65.8,47.75
U02799,2024,25,66.3,45.65
U02805,2024,34,70.6,52.3
U00921,2024,36.6,51.8,44.2
U00944,2024,14.4,75.7,45.05
U00967,2024,22.8,73.5,48.15
U01035,2024,24.6,73.3,48.95
U01073,2024,20.1,70.3,45.2
U02839,2024,19.4,72.4,45.9
U02844,2024,34.8,63.7,49.25
U01145,2024,38.1,51.5,44.8
U01166,2024,13.2,76.4,44.8
U01176,2024,22.9,85.3,54.1
U02867,2024,18.7,82.2,50.45
U01187,2024,19.3,77.7,48.5
U01225,2024,38.1,62.3,50.2
U01235,2024,18.5,77.4,47.95
U01256,2024,28.2,60.5,44.35
U01277,2024,24.5,60.9,42.7
U02911,2024,25.3,79.1,52.2
U01291,2024,18.5,80,49.25
U02933,2024,32.5,63.9,48.2
U01365,2024,25.2,67.2,46.2
U01379,2024,39.2,47.2,43.2
U01374,2024,23.9,77.3,50.6
U01410,2024,32,51.4,41.7
U01449,2024,27.3,74.6,50.95
U01451,2024,29.5,65.9,47.7
U02951,2024,16.4,77.8,47.1
U02962,2024,21,76.1,48.55
U01494,2024,22.7,75.8,49.25
U01507,2024,14.3,84.6,49.45
U01509,2024,33.7,61.5,47.6
U01615,2024,27.6,76.9,52.25
U03019,2024,34.3,56.7,45.5
U01673,2024,39.1,45.1,42.1
U02532,2024,30.5,51.2,40.85
U01727,2024,24.3,68.1,46.2
U01744,2024,14.2,78,46.1
U03044,2024,24.4,79.2,51.8
U01804,2024,25.6,60.1,42.85
U01843,2024,38,62.7,50.35
U01855,2024,22.8,77.7,50.25
U01858,2024,17.9,85.2,51.55
U03072,2024,25.6,75.9,50.75
U01893,2024,24.3,79.8,52.05
U01907,2024,27.7,65.4,46.55
U03153,2024,27.7,70.2,48.95
U03114,2024,23.4,80.1,51.75
U01981,2024,15.1,73.1,44.1
U01984,2024,17.8,84.1,50.95
U02124,2024,22.5,79.2,50.85
U02164,2024,40,31.8,35.9
U03166,2024,25.1,74.2,49.65
U02183,2024,24,61.5,42.75
U02127,2024,17.2,71.9,44.55
U02206,2024,22.1,68.8,45.45
U03181,2024,26.6,69,47.8
U03187,2024,25.6,75.7,50.65
U03412,2024,20.4,70.2,45.3
U03155,2024,15,82.6,48.8
U03215,2024,29.8,56.7,43.25
U03225,2024,29.8,67.3,48.55
U03453,2024,24.6,64.9,44.75
U00009,2024,12.6,80.4,46.5
U00039,2024,12.5,81.5,47
U02099,2024,13.8,58.6,36.2
U02100,2024,21.2,64.4,42.8
U00058,2024,12.8,64.8,38.8
U00078,2024,14,61.6,37.8
U00104,2024,23.5,71.3,47.4
U00106,2024,17.1,57.2,37.15
U00116,2024,26.3,57.9,42.1
U02595,2024,30.5,62.6,46.55
U02598,2024,30.2,57.3,43.75
U00206,2024,12,70.5,41.25
U00218,2024,16.4,66.4,41.4
U02606,2024,21.8,78.3,50.05
U03143,2024,23.9,65.8,44.85
U00235,2024,19.7,61.3,40.5
U02614,2024,22.2,65.4,43.8
U00265,2024,32.6,48,40.3
U00271,2024,26,48.8,37.4
U00277,2024,11.8,77.8,44.8
U00293,2024,26.6,57.4,42
U02664,2024,9.6,79,44.3
U00325,2024,15.4,83.4,49.4
U02669,2024,23.8,71,47.4
U00327,2024,20.9,65.8,43.35
U00328,2024,16.1,82,49.05
U02073,2024,20,45.6,32.8
U02074,2024,38.7,42.9,40.8
U00366,2024,34.6,47.2,40.9
U00405,2024,32.2,50.2,41.2
U00420,2024,20.8,66.8,43.8
U00439,2024,16.6,88.2,52.4
U02708,2024,19.9,62.6,41.25
U00448,2024,14.9,69.6,42.25
U00460,2024,19.1,63.3,41.2
U02711,2024,22.5,40.7,31.6
U00480,2024,15.1,71,43.05
U02715,2024,12.8,71.8,42.3
U00522,2024,14.2,87.5,50.85
U00528,2024,25.8,60.2,43
U00530,2024,15.2,73.8,44.5
U03503,2024,25.7,32.6,29.15
U03504,2024,31.4,34.5,32.95
U03507,2024,37,31.3,34.15
U00543,2024,27.6,62.4,45
U02737,2024,12.8,82.6,47.7
U02440,2024,33.1,38.1,35.6
U00575,2024,35.3,44.5,39.9
U00600,2024,36,36.7,36.35
U02469,2024,22.5,54.1,38.3
U00612,2024,17.2,71.3,44.25
U02746,2024,24.7,65.5,45.1
U00655,2024,18.3,71.7,45
U00683,2024,13.9,66.7,40.3
U00692,2024,15,83.4,49.2
U00703,2024,19.3,79.6,49.45
U00720,2024,26.8,50.4,38.6
U02781,2024,30.1,68.4,49.25
U02782,2024,10.5,72.3,41.4
U00735,2024,27.4,72.9,50.15
U02791,2024,13.4,67.2,40.3
U00759,2024,26.4,44.7,35.55
U00807,2024,13.9,70.6,42.25
U00810,2024,19.6,72.4,46
U00830,2024,24.1,52,38.05
U00833,2024,24.1,59.7,41.9
U00840,2024,24.1,70.6,47.35
U02813,2024,22.7,80.4,51.55
U00878,2024,21.4,71.7,46.55
U00895,2024,16.4,54.5,35.45
U00900,2024,35.7,56.3,46
U00902,2024,26.5,62,44.25
U00925,2024,34.9,40,37.45
U00939,2024,29,55.7,42.35
U00943,2024,15,74.8,44.9
U00952,2024,24.3,51.8,38.05
U00963,2024,14.1,77.5,45.8
U00985,2024,19.2,78.3,48.75
U02109,2024,13.4,62.7,38.05
U00979,2024,18.3,58.3,38.3
U00982,2024,17.1,59.3,38.2
U02828,2024,28.7,44.4,36.55
U01003,2024,20.9,57.4,39.15
U02831,2024,19.9,74.7,47.3
U01020,2024,15,75.6,45.3
U01036,2024,27,49.2,38.1
U01061,2024,15.8,61.5,38.65
U01079,2024,21.7,43.6,32.65
U01097,2024,27.2,48.1,37.65
U01109,2024,37.6,49.1,43.35
U01125,2024,11.2,67.6,39.4
U01172,2024,22.5,57.6,40.05
U02865,2024,23.2,58.6,40.9
U01202,2024,12.4,65.9,39.15
U02874,2024,18.9,58,38.45
U01206,2024,21.4,61.1,41.25
U01214,2024,11.3,34.2,22.75
U01227,2024,25,46.3,35.65
U01230,2024,15.6,76.5,46.05
U02525,2024,19,67.5,43.25
U01237,2024,18.5,46.3,32.4
U01243,2024,22.6,75.6,49.1
U02896,2024,24.6,61.5,43.05
U01252,2024,31,50.1,40.55
U01253,2024,14.7,63.9,39.3
U01259,2024,12.4,65.6,39
U02918,2024,30.3,59.3,44.8
U01303,2024,20,58.8,39.4
U01314,2024,22.7,61.9,42.3
U02946,2024,27.2,53.7,40.45
U01361,2024,31.6,50.1,40.85
U01356,2024,21.2,79.4,50.3
U01359,2024,16.2,69.1,42.65
U01390,2024,27,38.3,32.65
U01439,2024,19.4,71.2,45.3
U01437,2024,27.1,43.2,35.15
U01406,2024,33.7,43.8,38.75
U01415,2024,23,59.1,41.05
U01392,2024,20.2,64.7,42.45
U01393,2024,19.5,71.7,45.6
U01452,2024,18.8,66.6,42.7
U02954,2024,25.6,64.7,45.15
U02956,2024,25,62.4,43.7
U02967,2024,22.1,74.4,48.25
U01486,2024,28.1,57.8,42.95
U01492,2024,15.9,60,37.95
U01497,2024,18.7,64.3,41.5
U01502,2024,14.7,64,39.35
U01512,2024,36.6,31.6,34.1
U01529,2024,20.1,61.2,40.65
U01532,2024,20.9,60.8,40.85
U01533,2024,20.4,61.2,40.8
U01539,2024,25,63.5,44.25
U02096,2024,16.1,68.7,42.4
U01542,2024,18.2,75.9,47.05
U03531,2024,22.5,77.9,50.2
U01559,2024,18,54.4,36.2
U01561,2024,21.1,62.5,41.8
U02992,2024,22.5,69.8,46.15
U01570,2024,16.2,67.9,42.05
U02995,2024,22.6,72.2,47.4
U01579,2024,22.6,78.2,50.4
U02530,2024,25.2,38.8,32
U02511,2024,21,57.3,39.15
U01620,2024,25,55.4,40.2
U01658,2024,12,80.8,46.4
U01661,2024,16.3,66.1,41.2
U01676,2024,11.6,71.9,41.75
U01677,2024,18.4,84.1,51.25
U02513,2024,18.2,70.3,44.25
