university_id,university_name,country_id,country_name
U00074,Alfarahidi University,C0072,Iraq
U00075,Alfurat Alawsat Technical University,C0072,Iraq
U00076,Algiers 2 University,C0002,Algeria
U00077,Alhussein Bin Talal University,C0078,Jordan
U00078,Aligarh Muslim University,C0067,India
U00079,Alisher Navoãââi Tashkent State University Of Uzbek Language And Literature,C0174,Uzbekistan
U00080,Aljanad University For Science And Technology,C0180,Yemen
U00081,Alkarkh University Of Science,C0072,Iraq
U00082,Alkitab University,C0072,Iraq
U00083,Allameh Tabataba Ãââi University,C0069,Iran
U00084,Alma Mater Studiorum University Of Bologna,C0075,Italy
U00085,Almaarefa University,C0140,Saudi Arabia
U00086,Almaarif University College,C0072,Iraq
U00087,Almanara College For Medical Sciences,C0072,Iraq
U00088,Almaty Technological University,C0079,Kazakhstan
U00089,Almazov National Medical Research Centre,C0137,Russian Federation
U00090,Almustaqbal University,C0072,Iraq
U00091,Almuthanna University,C0072,Iraq
U00092,Alnahrain University,C0072,Iraq
U00093,Alnisour University College,C0072,Iraq
U00094,Alnoor University College,C0072,Iraq
U00095,Alqalam University College,C0072,Iraq
U00096,Alqasim Green University,C0072,Iraq
U00097,Alquds University,C0126,"Palestinian Territory, Occupied"
U00098,Alrafidain University College,C0072,Iraq
U00099,Altai State University,C0136,Russia
U00100,Altoosi University College,C0072,Iraq
U00101,Altãânbaã Â University,C0164,Turkey
U00102,Alzahra University,C0069,Iran
U00103,Alzaytoonah University Of Jordan,C0078,Jordan
U00104,Amedeo Avogadro University Of Eastern Piedmont,C0075,Italy
U00105,American International University Ãââ Bangladesh,C0012,Bangladesh
U00106,American University,C0171,United States
U00107,American University In Cairo,C0045,Egypt
U00108,American University In Dubai,C0169,United Arab Emirates
U00109,American University In The Emirates Aue,C0169,United Arab Emirates
U00110,American University Of Beirut,C0089,Lebanon
U00111,American University Of Beirut Aub,C0089,Lebanon
U00112,American University Of Madaba,C0078,Jordan
U00113,American University Of Nigeria,C0118,Nigeria
U00114,American University Of Ras Al Khaimah,C0169,United Arab Emirates
U00115,American University Of Ras Al Khaimah Aurak,C0169,United Arab Emirates
U00116,American University Of Sharjah,C0169,United Arab Emirates
U00117,American University Of The Middle East,C0084,Kuwait
U00118,Amirkabir University Of Technology,C0071,"Iran, Islamic Republic Of"
U00119,Amity University,C0067,India
U00120,Amity University Chhattisgarh,C0067,India
U00121,Amity University Gurugram,C0067,India
U00122,Amity University Gwalior,C0067,India
U00123,Amity University Mumbai,C0067,India
U00124,Amity University Rajasthan Jaipur,C0067,India
U00125,Amrita Vishwa Vidyapeetham,C0067,India
U00126,Anadolu University,C0164,Turkey
U00127,Andhra University,C0067,India
U00128,Andijan Machinebuilding Institute,C0174,Uzbekistan
U00129,Andijan State Medical Institute,C0174,Uzbekistan
U00130,Andijan State Pedagogical Institute Aspi,C0174,Uzbekistan
U00131,Andijan State University,C0174,Uzbekistan
U00132,Andrãâs Bello Catholic University Ucab,C0175,Venezuela
U00133,Anglia Ruskin University Aru,C0170,United Kingdom
U00134,Angloamerican University,C0041,Czech Republic
U00135,Ankara Science University,C0164,Turkey
U00136,Ankara University,C0164,Turkey
U00137,Ankara Yildirim Beyazit University,C0164,Turkey
U00138,Ankara Ãniversitesi,C0164,Turkey
U00139,Anna University,C0067,India
U00140,Annajah National University,C0126,"Palestinian Territory, Occupied"
U00141,Annamalai University,C0067,India
U00142,Antonio Nariãâo University,C0034,Colombia
U00143,Anãâhuac University,C0106,Mexico
U00144,Aoyama Gakuin University,C0077,Japan
U00145,Applied Science Private University,C0078,Jordan
U00146,Applied Science Private University Jordan,C0078,Jordan
U00147,Applied Science University Bahrain,C0011,Bahrain
U00148,Arab Academy For Science Technology And Maritime Transport,C0045,Egypt
U00149,Arab American University,C0125,Palestine
U00150,Arab Open University,C0084,Kuwait
U00151,Arab Open University Lebanon,C0089,Lebanon
U00152,Arab Open University Ãââ Kuwait,C0084,Kuwait
U00153,Arabian Gulf University,C0011,Bahrain
U00154,Arak University,C0069,Iran
U00155,Arak University Of Medical Sciences,C0069,Iran
U00156,Ariel University,C0074,Israel
U00157,Aristotle University Of Thessaloniki,C0056,Greece
U00158,Arizona State University,C0171,United States
U00159,Arizona State University Tempe,C0171,United States
U00160,Arkãân University Of Creative Arts And Design Arucad,C0120,Northern Cyprus
U00161,Armenian State Pedagogical University,C0006,Armenia
U00162,Arts Et Mãâtiers,C0052,France
U00163,Arts University Bournemouth,C0170,United Kingdom
U00164,Arts University Plymouth,C0170,United Kingdom
U00165,Arturo Prat University,C0031,Chile
U00166,Asahi University,C0077,Japan
U00167,Asfendiyarov Kazakh National Medical University,C0079,Kazakhstan
U00168,Ashikaga University,C0077,Japan
U00169,Ashur University College,C0072,Iraq
U00170,Asia Pacific University Of Technology And Innovation Apu,C0101,Malaysia
U00171,Asia University Taiwan,C0158,Taiwan
U00172,Assiut University,C0045,Egypt
U00173,Aston University,C0170,United Kingdom
U00174,Aswan University,C0045,Egypt
U00175,Ataturk University,C0164,Turkey
U00176,Atatãâ¼Rk University,C0164,Turkey
U00177,Ateneo De Manila University,C0130,Philippines
U00178,Athens University Of Economics And Business,C0056,Greece
U00179,Atma Jaya Catholic University Jakarta,C0068,Indonesia
U00180,Atyrau University,C0079,Kazakhstan
U00181,Atãâlãâm University,C0164,Turkey
U00182,Auburn University,C0171,United States
U00183,Auckland University Of Technology,C0117,New Zealand
U00184,Auckland University Of Technology Aut,C0117,New Zealand
U00185,Audencia,C0052,France
U00186,Auezov South Kazakhstan University Sku,C0079,Kazakhstan
U00187,Augustine University,C0118,Nigeria
U00188,Austral University,C0005,Argentina
U00189,Austral University Of Chile,C0031,Chile
U00190,Australian Catholic University,C0008,Australia
U00191,Australian National University,C0008,Australia
U00192,Autonomous University Of Baja California,C0106,Mexico
U00193,Autonomous University Of Barcelona,C0150,Spain
U00194,Autonomous University Of Chiapas,C0106,Mexico
U00195,Autonomous University Of Madrid,C0150,Spain
U00196,Autonomous University Of Sinaloa,C0106,Mexico
U00197,Azarbaijan Shahid Madani University,C0069,Iran
U00198,Azerbaijan State Oil And Industry University,C0010,Azerbaijan
U00199,Azerbaijan State University Of Economics,C0010,Azerbaijan
U00200,Azerbaijan University Of Architecture And Construction,C0010,Azerbaijan
U00201,B S Abdur Rahman Crescent Institute Of Science And Technology,C0067,India
U00202,Babcock University,C0118,Nigeria
U00203,Babesbolyai University,C0135,Romania
U00204,Babeã Âbolyai University,C0135,Romania
U00205,Babol Noshirvani University Of Technology,C0069,Iran
U00206,Babol University Of Medical Sciences,C0069,Iran
U00207,Bacha Khan University Charsadda,C0123,Pakistan
U00208,Badji Mokhtar University Ãââ Annaba,C0002,Algeria
U00209,Badr University In Cairo Buc,C0045,Egypt
U00210,Bahauddin Zakariya University,C0123,Pakistan
U00211,Bahria University,C0123,Pakistan
U00212,Bahãâeã Âehir University,C0164,Turkey
U00213,Bakrie University,C0068,Indonesia
U00214,Baku State University,C0010,Azerbaijan
U00215,Balochistan University Of Engineering And Technology Khuzdar,C0123,Pakistan
U00216,Balochistan University Of Information Technology Engineering And Management Sciences Buitems,C0123,Pakistan
U00217,Bamidele Olumilua University Of Education Science And Technology Ikereikiti,C0118,Nigeria
U00218,Banaras Hindu University,C0067,India
U00219,Banasthali University,C0067,India
U00220,Bandirma Onyedi Eylãâ¼L University,C0164,Turkey
U00221,Bandung Institute Of Technology Itb,C0068,Indonesia
U00222,Bangabandhu Sheikh Mujibur Rahman Agricultural University,C0012,Bangladesh
U00223,Bangladesh Agricultural University Bau,C0012,Bangladesh
U00224,Bangladesh University Of Engineering And Technology,C0012,Bangladesh
U00225,Bangor University,C0170,United Kingdom
U00226,Barawa International University,C0147,Somalia
U00227,Barilan University,C0074,Israel
U00228,Bartin University,C0164,Turkey
U00229,Bashkir State Medical University,C0137,Russian Federation
U00230,Basrah University College Of Science And Technology,C0072,Iraq
U00231,Bath Spa University,C0170,United Kingdom
U00232,Bauman Moscow State Technical University,C0136,Russia
U00233,Bayburt University,C0164,Turkey
U00234,Bayero University,C0118,Nigeria
U00235,Baylor University,C0171,United States
U00236,Baze University,C0118,Nigeria
U00237,Baã Âkent University,C0164,Turkey
U00238,Beihang University,C0032,China
U00239,Beihang University Former Buaa,C0033,China (Mainland)
U00240,Beijing Foreign Studies University,C0033,China (Mainland)
U00241,Beijing Institute Of Technology,C0033,China (Mainland)
U00242,Beijing Jiaotong University,C0033,China (Mainland)
U00243,Beijing Normal University,C0033,China (Mainland)
U00244,Beijing University Of Chemical Technology,C0033,China (Mainland)
U00245,Beijing University Of Chinese Medicine,C0033,China (Mainland)
U00246,Beijing University Of Posts And Telecommunications,C0033,China (Mainland)
U00247,Beijing University Of Technology,C0033,China (Mainland)
U00248,Beirut Arab University,C0089,Lebanon
U00249,Belarusian National Technical University Bntu,C0013,Belarus
U00250,Belarusian State Medical University,C0013,Belarus
U00251,Belarusian State University,C0013,Belarus
U00252,Belarusian State University Of Informatics And Radioelectronics,C0013,Belarus
U00253,Belgorod State National Research University,C0137,Russian Federation
U00254,Bells University Of Technology,C0118,Nigeria
U00255,Benemãrita Universidad Autã³Noma De Puebla,C0106,Mexico
U00256,Benemãârita Universidad Autãâ³Noma De Puebla,C0106,Mexico
U00257,Bengurion University Of The Negev,C0074,Israel
U00258,Benha University,C0045,Egypt
U00259,Benisuef University,C0045,Egypt
U00260,Benson Idahosa University,C0118,Nigeria
U00261,Bernardo Oãââhiggins University,C0031,Chile
U00262,Beykent University,C0164,Turkey
U00263,Bezmiãâlem Vakif University,C0164,Turkey
U00264,Bharath Institute Of Higher Education And Research,C0067,India
U00265,Bharathiar University,C0067,India
U00266,Bharati Vidyapeeth University,C0067,India
U00267,Bialystok University Of Technology,C0131,Poland
U00268,Bielefeld University,C0054,Germany
U00269,Bilad Alrafidain University College,C0072,Iraq
U00270,Bilecik Ã Âeyh Edebali University,C0164,Turkey
U00271,Bilkent University,C0164,Turkey
U00272,Bina Nusantara University Binus,C0068,Indonesia
U00273,Binghamton University Suny,C0171,United States
U00274,Binus University,C0068,Indonesia
U00275,Birkbeck University Of London,C0170,United Kingdom
U00276,Birla Institute Of Technology And Science Pilani,C0067,India
U00277,Birmingham City University,C0170,United Kingdom
U00278,Biruni University,C0164,Turkey
U00279,Birzeit University,C0126,"Palestinian Territory, Occupied"
U00280,Bishop Grosseteste University,C0170,United Kingdom
U00281,Blida 1 University,C0002,Algeria
U00282,Bogaziãi University,C0164,Turkey
U00283,Bohdan Khmelnytsky National University Of Cherkasy,C0168,Ukraine
U00284,Bolu Abant Izzet Baysal University,C0164,Turkey
U00285,Bond University,C0008,Australia
U00286,Boston College,C0171,United States
U00287,Boston University,C0171,United States
U00288,Botswana International University Of Science And Technology Biust,C0019,Botswana
U00289,Bournemouth University,C0170,United Kingdom
U00290,Bowen University,C0118,Nigeria
U00291,Bowling Green State University,C0171,United States
U00292,Bozok University,C0164,Turkey
U00293,Boãâaziãâi University,C0164,Turkey
U00294,Brac University,C0012,Bangladesh
U00295,Brandeis University,C0171,United States
U00296,Brigham Young University,C0171,United States
U00297,Brighton And Sussex Medical School,C0170,United Kingdom
U00298,British University In Egypt,C0045,Egypt
U00299,Brno University Of Technology,C0041,Czech Republic
U00300,Brock University,C0029,Canada
U00301,Brown University,C0171,United States
U00302,Brunel University London,C0170,United Kingdom
U00303,Buali Sina University,C0069,Iran
U00304,Bucharest University Of Economic Studies,C0135,Romania
U00305,Buckinghamshire New University,C0170,United Kingdom
U00306,Budapest University Of Technology And Economics,C0065,Hungary
U00307,Bukhara Engineering Technological Institute,C0174,Uzbekistan
U00308,Bukhara State Medical Institute,C0174,Uzbekistan
U00309,Bukhara State University,C0174,Uzbekistan
U00310,Bukkyo University,C0077,Japan
U00311,Burapha University,C0161,Thailand
U00312,Buriram Rajabhat University,C0161,Thailand
U00313,Bursa Technical University,C0164,Turkey
U00314,Bursa Uludaãâ University,C0164,Turkey
U00315,Ca Foscari University Of Venice,C0075,Italy
U00316,Cairo University,C0045,Egypt
U00317,California Institute Of Technology,C0171,United States
U00318,California Institute Of Technology Caltech,C0171,United States
U00319,California Polytechnic State University,C0171,United States
U00320,California State University Long Beach,C0171,United States
U00321,California State University Los Angeles,C0171,United States
U00322,Campus Biomedico University Of Rome,C0075,Italy
U00323,Canadian International College Cic Ãââ Cairo,C0045,Egypt
U00324,Canadian University Dubai,C0169,United Arab Emirates
U00325,Cankaya University,C0164,Turkey
U00326,Canterbury Christ Church University,C0170,United Kingdom
U00327,Capital Medical University,C0032,China
U00328,Capital University Of Science And Technology,C0123,Pakistan
U00329,Cardiff Metropolitan University,C0170,United Kingdom
U00330,Cardiff University,C0170,United Kingdom
U00331,Carleton University,C0029,Canada
U00332,Carlos Iii University Of Madrid,C0150,Spain
U00333,Carnegie Mellon University,C0171,United States
U00334,Case Western Reserve University,C0171,United States
U00335,Catania University,C0075,Italy
U00336,Catholic University In Erbil,C0072,Iraq
U00337,Catholic University Of Brasãâlia,C0020,Brazil
U00338,Catholic University Of Portugal,C0132,Portugal
U00339,Catholic University Of The North,C0031,Chile
U00340,Catholic University Of The Sacred Heart,C0075,Italy
U00341,Catholic University Of Ãâvila,C0150,Spain
U00342,Catã³Lica De Cã³Rdoba,C0005,Argentina
U00343,Caucasus International University,C0053,Georgia
U00344,Caãââ Foscari University Of Venice,C0075,Italy
U00345,Cbs International Business School,C0054,Germany
U00346,Cearãâ State University,C0020,Brazil
U00347,Cebu Technological University,C0130,Philippines
U00348,Cecos University Of It And Emerging Sciences,C0123,Pakistan
U00349,Central European University,C0009,Austria
U00350,Central Luzon State University,C0130,Philippines
U00351,Central Michigan University,C0171,United States
U00352,Central Queensland University,C0008,Australia
U00353,Central Queensland University Cquniversity Australia,C0008,Australia
U00354,Central South University,C0033,China (Mainland)
U00355,Centrale Nantes,C0052,France
U00356,Centro De Estudios Para La Calidad Educativa Y La Investigaciãâ³N Cientãâfica Ceceic,C0106,Mexico
U00357,Centro Federal De Educaãâãâo Tecnolãâ³Gica Celso Suckow Da Fonseca Cefetrj,C0020,Brazil
U00358,Centro Universitãârio Cesuca,C0020,Brazil
U00359,Centro Universitãârio De Jaguariãâºna,C0020,Brazil
U00360,Centro Universitãârio Max Planck,C0020,Brazil
U00361,Centurion University Of Technology And Management,C0067,India
U00362,Ces University,C0034,Colombia
U00363,Cetys Universidad,C0106,Mexico
U00364,Chalmers University Of Technology,C0155,Sweden
U00365,Chandigarh University,C0067,India
U00366,Chang Gung University,C0158,Taiwan
U00367,Chang Gung University Of Science And Technology,C0158,Taiwan
U00368,Chang Jung Christian University,C0158,Taiwan
U00369,Changsha University Of Science And Technology,C0032,China
U00370,Chaoyang University Of Technology,C0158,Taiwan
U00371,Chapman University,C0171,United States
U00372,Charisma University,C0166,Turks And Caicos Islands
U00373,Charitãâ Universitãâtsmedizin Berlin,C0054,Germany
U00374,Charles Darwin University,C0008,Australia
U00375,Charles Sturt University,C0008,Australia
U00376,Charles University,C0041,Czech Republic
U00377,Chelyabinsk State University,C0137,Russian Federation
U00378,Chengdu University,C0032,China
U00379,Chernihiv Polytechnic National University,C0168,Ukraine
U00380,Chettinad Academy Of Research And Education,C0067,India
U00381,Chiang Mai University,C0161,Thailand
U00382,Chiba Institute Of Technology,C0077,Japan
U00383,Chiba University,C0077,Japan
U00384,China Agricultural University,C0033,China (Mainland)
U00385,China Medical University Taiwan,C0158,Taiwan
U00386,China Pharmaceutical University,C0032,China
U00387,China University Of Geosciences,C0033,China (Mainland)
U00388,China University Of Geosciences Beijing,C0032,China
U00389,China University Of Mining And Technology,C0033,China (Mainland)
U00390,China University Of Petroleum,C0033,China (Mainland)
U00391,China University Of Petroleum Beijing,C0032,China
U00392,China University Of Petroleum East China,C0032,China
U00393,China University Of Political Science And Law,C0033,China (Mainland)
U00394,Chinese Culture University,C0158,Taiwan
U00395,Chinese University Of Hong Kong,C0062,Hong Kong
U00396,Chinhoyi University Of Technology,C0182,Zimbabwe
U00397,Chitkara University,C0067,India
U00398,Chittagong University Of Engineering And Technology,C0012,Bangladesh
U00399,Chongqing University,C0033,China (Mainland)
U00400,Chonnam National University,C0149,South Korea
U00401,Chosun University,C0149,South Korea
U00402,Christ University Bengaluru India,C0067,India
U00403,Christianalbrechtsuniversity Zu Kiel,C0054,Germany
U00404,Chubu University,C0077,Japan
U00405,Chulalongkorn University,C0161,Thailand
U00406,Chung Shan Medical University,C0158,Taiwan
U00407,Chung Yuan Christian University,C0158,Taiwan
U00408,Chungang University,C0149,South Korea
U00409,Chungang University Cau,C0149,South Korea
U00410,Chungbuk National University,C0149,South Korea
U00411,Chungnam National University,C0149,South Korea
U00412,Chuo University,C0077,Japan
U00413,Cihan University Sulaimaniya,C0072,Iraq
U00414,Cihan University Ãââ Erbil,C0072,Iraq
U00415,City University Of Hong Kong,C0063,Hong Kong Sar
U00416,City University Of London,C0170,United Kingdom
U00417,City University Of New York,C0171,United States
U00418,City University Of Science And Information Technology Peshawar,C0123,Pakistan
U00419,Civil Aviation Academy,C0079,Kazakhstan
U00420,Clark University,C0171,United States
U00421,Clarkson University,C0171,United States
U00422,Claude Bernard University Lyon 1,C0052,France
U00423,Clemson University,C0171,United States
U00424,Cleveland State University,C0171,United States
U00425,Coal City University,C0118,Nigeria
U00426,Cochin University Of Science And Technology,C0067,India
U00427,Colegio De Mãxico,C0106,Mexico
U00428,College Of Charleston,C0171,United States
U00429,College Of William And Mary,C0171,United States
U00430,Colorado School Of Mines,C0171,United States
U00431,Colorado State University,C0171,United States
U00432,Colorado State University Fort Collins,C0171,United States
U00433,Columbia University,C0171,United States
U00434,Comenius University Bratislava,C0145,Slovakia
U00435,Comenius University In Bratislava,C0145,Slovakia
U00436,Comillas Pontifical University,C0150,Spain
U00437,Communication University Of China,C0032,China
U00438,Complutense University Of Madrid,C0150,Spain
U00439,Comsats University Islamabad,C0123,Pakistan
U00440,Concordia University,C0029,Canada
U00441,Conservatoire For Dance And Drama,C0170,United Kingdom
U00442,Constructor University Bremen,C0054,Germany
U00443,Copenhagen Business School,C0042,Denmark
U00444,Cornell University,C0171,United States
U00445,Corvinus University Of Budapest,C0065,Hungary
U00446,Courtauld Institute Of Art,C0170,United Kingdom
U00447,Covenant University,C0118,Nigeria
U00448,Coventry University,C0170,United Kingdom
U00449,Cracow University Of Technology,C0131,Poland
U00450,Cracow University Of Technology Politechnika Krakowska,C0131,Poland
U00451,Cranfield University,C0170,United Kingdom
U00452,Creighton University,C0171,United States
U00453,Cross River University Of Technology,C0118,Nigeria
U00454,Cukurova University,C0164,Turkey
U00455,Cuny The City College Of New York,C0171,United States
U00456,Curtin University,C0008,Australia
U00457,Cv Raman Global University,C0067,India
U00458,Cy Cergy Paris University,C0052,France
U00459,Cyprus Health And Social Sciences University,C0120,Northern Cyprus
U00460,Cyprus University Of Technology,C0040,Cyprus
U00461,Czech Technical University In Prague,C0041,Czech Republic
U00462,Czech University Of Life Sciences In Prague,C0041,Czech Republic
U00463,Czech University Of Life Sciences Prague Czu,C0041,Czech Republic
U00464,Cãâsar Ritz Colleges Switzerland,C0156,Switzerland
U00465,D Serikbayev East Kazakhstan State Technical University,C0079,Kazakhstan
U00466,D Serikbayev East Kazakhstan Technical University,C0079,Kazakhstan
U00467,Daegu Gyeongbuk Institute Of Science And Technology Dgist,C0149,South Korea
U00468,Daffodil International University,C0012,Bangladesh
U00469,Daffodil International University Diu,C0012,Bangladesh
U00470,Dalhousie University,C0029,Canada
U00471,Dalian University Of Technology,C0033,China (Mainland)
U00472,Damascus University,C0157,Syrian Arab Republic
U00473,Damghan University,C0069,Iran
U00474,Damietta University,C0045,Egypt
U00475,Daneshpajoohan Pishro Higher Education Institute,C0069,Iran
U00476,Dankook University,C0149,South Korea
U00477,Dartmouth College,C0171,United States
U00478,Dawood University Of Engineering And Technology,C0123,Pakistan
U00479,De La Salle University,C0130,Philippines
U00480,De Montfort University,C0170,United Kingdom
U00481,Deakin University,C0008,Australia
U00482,Debre Tabor University,C0049,Ethiopia
U00483,Del Rosario University,C0034,Colombia
U00484,Delft University Of Technology,C0116,Netherlands
U00485,Delhi Technological University,C0067,India
U00486,Delta State University Abraka,C0118,Nigeria
U00487,Delta University For Science And Technology,C0045,Egypt
U00488,Democritus University Of Thrace,C0056,Greece
U00489,Denau Institute Of Entrepreneurship And Pedagogy,C0174,Uzbekistan
U00490,Deraya University,C0045,Egypt
U00491,Dha Suffa University,C0123,Pakistan
U00492,Dhaka International University,C0012,Bangladesh
U00493,Dhofar University,C0122,Oman
U00494,Dhonburi Rajabhat University,C0161,Thailand
U00495,Dicle University,C0164,Turkey
U00496,Diego Portales University,C0031,Chile
U00497,Dijlah University,C0072,Iraq
U00498,Diponegoro University,C0068,Indonesia
U00499,Dokkyo Medical University,C0077,Japan
U00500,Dokuz Eylã¼L Ãniversitesi,C0164,Turkey
U00501,Dokuz Eylãâ¼L University,C0164,Turkey
U00502,Don Bosco University,C0067,India
U00503,Don State Technical University,C0136,Russia
U00504,Donetsk National University Of Economics And Trade Named After Mykhailo Tuhanbaranovsky Donnuet,C0168,Ukraine
U00505,Dongguk University,C0149,South Korea
U00506,Donghua University,C0033,China (Mainland)
U00507,Doshisha University,C0077,Japan
U00508,Dovletmammet Azadi Turkmen National Institute Of World Languages,C0165,Turkmenistan
U00509,Dow University Of Health Sciences,C0123,Pakistan
U00510,Doãâuã Â University,C0164,Turkey
U00511,Dr Br Ambedkar National Institute Of Technology Jalandhar,C0067,India
U00512,Dr D Y Patil Vidyapeeth Pune,C0067,India
U00513,Dr Mgr Educational And Research Institute,C0067,India
U00514,Drexel University,C0171,United States
U00515,Dublin City University,C0073,Ireland
U00516,Duke University,C0171,United States
U00517,Dulaty University,C0079,Kazakhstan
U00518,Dumlupinar University,C0164,Turkey
U00519,Dunarea De Jos University Of Galati,C0135,Romania
U00520,Durban University Of Technology,C0148,South Africa
U00521,Durham University,C0170,United Kingdom
U00522,Duy Tan University,C0177,Vietnam
U00523,Duzce University,C0164,Turkey
U00524,Eae Business School,C0150,Spain
U00525,Eafit University,C0034,Colombia
U00526,Ean University,C0034,Colombia
U00527,East China Normal University,C0033,China (Mainland)
U00528,East China University Of Science And Technology,C0033,China (Mainland)
U00529,East West University,C0012,Bangladesh
U00530,Eastern Mediterranean University,C0120,Northern Cyprus
U00531,Eberhard Karls Universitãt Tã¼Bingen,C0054,Germany
U00532,Ebonyi State University,C0118,Nigeria
U00533,Ecole Des Ponts Paristech,C0052,France
U00534,Edge Hill University,C0170,United Kingdom
U00535,Edinburgh Napier University,C0170,United Kingdom
U00536,Edith Cowan University,C0008,Australia
U00537,Edo State University Uzairue,C0118,Nigeria
U00538,Edwin Clark University,C0118,Nigeria
U00539,Effat University,C0140,Saudi Arabia
U00540,Ege University,C0164,Turkey
U00541,Egerton University,C0080,Kenya
U00542,Egyptian Russian University,C0045,Egypt
U00543,Egyptjapan University Of Science And Technology Ejust,C0045,Egypt
U00544,Ehime University,C0077,Japan
U00545,Eindhoven University Of Technology,C0116,Netherlands
U00546,El Bosque University,C0034,Colombia
U00547,Elizade University,C0118,Nigeria
U00548,Emir Abdelkader University Of Islamic Sciences,C0002,Algeria
U00549,Emory University,C0171,United States
U00550,Ensta Bretagne,C0052,France
U00551,Epfl,C0156,Switzerland
U00552,Erasmus University Rotterdam,C0116,Netherlands
U00553,Erciyes University,C0164,Turkey
U00554,Erciyes Ãniversitesi,C0164,Turkey
U00555,Erzincan Binali Yãâldãârãâm University,C0164,Turkey
U00556,Escola Superior De Enfermagem Do Porto Esep,C0132,Portugal
U00557,Escuela Politãcnica Nacional,C0044,Ecuador
U00558,Escuela Politãâcnica Nacional,C0044,Ecuador
U00559,Escuela Superior Politãcnica Del Litoral Espol,C0044,Ecuador
U00560,Escuela Superior Politãâcnica De Chimborazo,C0044,Ecuador
U00561,Escuela Superior Politãâcnica Del Litoral,C0044,Ecuador
U00562,Esic,C0150,Spain
U00563,Eskiã Âehir Osmangazi University,C0164,Turkey
U00564,Eskiã Âehir Technical University,C0164,Turkey
U00565,Essex University Of,C0170,United Kingdom
U00566,Eth Zurich,C0156,Switzerland
U00567,Eth Zurich Swiss Federal Institute Of Technology,C0156,Switzerland
U00568,European University,C0053,Georgia
