university_id,year,global_ranking_score,research_impact_score,student_staff_ratio,faculty_student_ratio_score,international_student_percentage,academic_reputation_score,research_productivity_index
U0147,2024,52.5,22.1,,,,55.3,
U0148,2024,52.3,25.7,,,,61.0,
U0149,2024,52.2,34.4,,,,59.8,
U0150,2024,52.1,77.4,,,,54.1,
U0151,2024,52.1,52.0,15.8,54.867090977162114,31.0,35.8,53.21
U0152,2024,51.9,50.3,16.1,52.639460876076384,11.0,59.5,59.975
U0153,2024,51.9,25.4,13.0,71.19056533133659,12.0,63.2,43.23
U0154,2024,51.8,64.3,20.5,31.54249344814676,6.0,61.2,66.78
U0155,2024,51.6,62.4,8.4,91.96929988768252,40.0,45.5,59.935
U0156,2024,51.6,47.2,,,,61.4,
U0157,2024,51.6,41.3,18.1,42.41856982403595,28.0,42.1,60.89999999999999
U0158,2024,51.5,63.3,36.0,6.196181205540996,25.0,37.0,68.47999999999999
U0159,2024,51.3,19.3,20.5,31.54249344814676,22.0,55.5,47.08
U0160,2024,51.3,41.2,28.8,12.935230250842377,29.0,52.3,60.125
U0161,2024,51.2,99.3,18.2,41.913141145638335,16.0,29.7,79.495
U0162,2024,51.1,28.5,13.2,69.89891426432048,21.0,43.0,41.04
U0163,2024,51.0,1.4,5.9,97.07974541370274,10.0,54.2,11.22
U0164,2024,50.9,7.9,11.8,77.51778360164732,10.0,68.1,28.15
U0165,2024,50.7,38.1,,,,73.7,
U0166,2024,50.7,36.6,14.2,64.30175964058404,32.0,46.1,52.06
U0167,2024,50.3,27.9,7.7,93.72894047173344,13.0,58.3,40.585
U0168,2024,50.3,94.6,26.1,16.959940097341818,22.0,29.5,72.595
U0169,2024,50.1,21.5,37.6,5.278921752152755,12.0,53.2,50.67999999999999
U0170,2024,50.1,42.5,,,,42.9,
U0171,2024,50.0,46.8,13.6,67.2407338075627,13.0,45.2,57.245000000000005
U0172,2024,49.9,65.7,16.6,49.81280419318608,31.0,32.2,61.515
U0173,2024,49.8,26.0,8.2,92.62448521153128,10.0,59.0,37.65
U0174,2024,49.3,84.7,20.8,30.381879445900417,29.0,33.1,68.53
U0175,2024,49.2,59.5,,,,64.0,
U0176,2024,49.0,35.6,30.9,10.50168476226132,22.0,39.5,55.445
U0177,2024,49.9,47.7,,,,36.3,
U0178,2024,48.9,97.8,,,,52.6,
U0179,2024,48.7,91.7,,,,28.3,
U0180,2024,48.7,5.9,,,,67.7,
U0181,2024,48.5,40.5,12.7,72.85660801198053,26.0,48.6,42.705
U0182,2024,48.5,3.8,14.3,63.87120928491201,13.0,60.7,21.465
U0183,2024,48.3,100.0,,,,12.9,
U0184,2024,48.2,40.1,16.1,52.639460876076384,31.0,42.9,54.42
U0185,2024,48.1,2.4,,,,53.8,
U0186,2024,47.6,30.0,15.0,59.06027704979409,27.0,46.8,48.835
U0187,2024,47.5,93.5,7.9,93.42942718083115,11.0,29.8,67.255
U0188,2024,47.4,5.1,10.2,85.00561587420442,8.0,53.0,23.79
U0189,2024,47.3,81.3,27.2,15.16286035192812,26.0,26.2,69.89500000000001
U0190,2024,47.2,73.8,,,,33.9,
U0191,2024,47.1,54.7,,,,50.7,
U0192,2024,46.9,96.9,11.3,79.95132909022837,15.0,31.8,74.89500000000001
U0193,2024,46.8,42.6,,,,40.8,
U0194,2024,46.7,33.6,11.9,76.97491576188693,13.0,35.4,51.18
U0195,2024,46.7,91.9,15.0,59.06027704979409,5.0,39.2,74.635
U0196,2024,46.6,78.4,4.0,98.50243354548856,19.0,25.2,71.23
U0197,2024,46.4,73.6,32.7,8.704605016847623,18.0,31.3,64.4
U0198,2024,46.3,21.0,,,,61.0,
U0199,2024,46.3,40.3,18.8,38.581055784350426,24.0,37.9,51.035
U0200,2024,46.2,47.1,,,,48.6,
U0201,2024,46.2,40.0,11.9,76.97491576188693,6.0,39.4,44.09
U0202,2024,33.6,23.9,12.5,73.66154998128043,74.0,20.9,33.24
U0203,2024,46.0,55.0,,,,48.4,
U0204,2024,46.0,41.9,,,,56.8,
U0205,2024,45.8,62.6,,,,8.9,
U0206,2024,45.7,40.6,,,,35.4,
U0207,2024,45.7,2.1,,,,53.8,
U0208,2024,45.6,31.2,,,,58.6,
U0209,2024,45.2,99.4,24.2,20.74129539498315,5.0,32.0,77.905
U0210,2024,45.1,49.6,16.2,52.09659303631599,12.0,54.8,49.245000000000005
U0211,2024,45.0,99.9,9.6,87.81355297641333,1.0,45.7,73.665
U0212,2024,44.8,52.2,,,,43.1,
U0213,2024,44.7,59.9,,,,39.8,
U0214,2024,44.4,38.8,20.6,31.093223511793333,16.0,45.0,46.755
U0215,2024,44.2,20.3,15.9,54.26806439535754,11.0,51.5,33.64
U0216,2024,44.2,32.1,16.7,49.2137776113815,9.0,46.7,52.260000000000005
U0217,2024,44.1,77.7,28.2,13.68401347809809,29.0,23.6,65.495
U0218,2024,44.0,55.0,17.0,47.69749157618869,9.0,48.6,65.535
U0219,2024,43.9,52.7,14.6,61.92437289404717,9.0,32.9,49.81
U0220,2024,43.9,3.4,,,,71.0,
U0221,2024,43.8,63.7,19.2,37.28940471733433,18.0,39.4,66.68
U0222,2024,43.7,20.5,,,,46.0,
U0223,2024,43.7,90.2,,,,34.0,
U0224,2024,43.6,94.9,,,,25.8,
U0225,2024,43.6,32.4,13.9,65.87420441782103,25.0,29.7,44.35
U0226,2024,43.6,61.0,10.5,83.60164732309995,23.0,28.4,62.43000000000001
U0227,2024,43.5,70.3,,,,42.4,
U0228,2024,43.5,17.2,,,,52.8,
U0229,2024,43.4,7.5,12.7,72.85660801198053,3.0,68.2,26.82
U0230,2024,43.0,62.8,19.6,35.49232497192063,57.0,23.0,63.13
U0231,2024,43.0,49.9,,,,33.3,
U0232,2024,42.9,24.3,,,,71.8,
U0233,2024,42.7,61.3,13.9,65.87420441782103,38.0,20.7,59.395
U0234,2024,42.6,28.5,,,,36.3,
U0235,2024,42.5,84.7,20.7,30.756271059528263,26.0,19.1,63.30500000000001
U0236,2024,42.3,45.7,,,,58.9,
U0237,2024,42.3,32.0,15.3,57.35679520778735,40.0,30.5,45.78
U0238,2024,42.3,33.6,7.3,94.92699363534255,34.0,22.6,50.53
U0239,2024,41.8,1.7,,,,54.4,
U0240,2024,41.8,27.4,17.4,45.56345937850992,27.0,30.1,35.955
U0241,2024,41.7,51.6,,,,40.2,
U0242,2024,41.7,70.0,37.0,5.672032946462002,19.0,20.0,60.485
U0243,2024,41.3,60.6,7.4,94.51516286035194,16.0,22.8,59.66
U0244,2024,41.2,32.1,19.4,36.70909771621116,17.0,42.8,42.125
U0245,2024,41.1,99.1,18.6,39.666791463871206,41.0,11.9,75.55
U0246,2024,41.0,8.0,13.4,68.43878697117185,23.0,45.6,30.26
U0247,2024,41.0,56.8,17.3,46.10632721827032,34.0,22.6,58.355
U0248,2024,40.8,53.0,3.9,98.61475102957694,17.0,24.4,62.175
U0249,2024,40.7,14.7,14.3,63.87120928491201,26.0,30.6,37.095
U0250,2024,40.6,28.9,,,,28.6,
U0251,2024,40.5,10.1,,,,27.0,
U0252,2024,40.3,99.8,10.6,83.05877948333958,6.0,27.1,76.93
U0253,2024,40.3,61.4,10.2,85.00561587420442,55.0,18.2,53.975
U0254,2024,40.3,16.2,27.4,14.900786222388618,14.0,46.4,48.185
U0255,2024,40.1,62.5,31.6,9.865219019093974,15.0,27.0,58.905
U0256,2024,39.9,2.6,15.3,57.35679520778735,3.0,43.2,14.325
U0257,2024,39.9,65.2,18.2,41.913141145638335,36.0,17.8,54.07000000000001
U0258,2024,39.8,5.5,10.9,81.50505428678397,9.0,50.0,26.565
U0259,2024,39.7,61.6,8.8,90.88356420816174,25.0,17.2,60.885000000000005
U0260,2024,39.6,36.5,18.0,42.83040059902659,16.0,44.0,45.375
U0261,2024,23.5,2.7,,,,20.1,
U0262,2024,39.4,31.4,,,,34.7,
U0263,2024,39.3,73.3,,,,36.9,
U0264,2024,39.1,30.4,15.0,59.06027704979409,9.0,33.2,44.275000000000006
U0265,2024,38.8,3.6,,,,27.0,
U0266,2024,38.8,67.1,,,,31.7,
U0267,2024,38.7,48.1,31.8,9.528266566828902,17.0,24.1,57.905
U0268,2024,38.7,30.5,,,,26.5,
U0269,2024,38.6,99.5,8.9,90.49045301385247,13.0,17.2,74.31
U0270,2024,38.6,79.0,,,,19.5,
U0271,2024,38.5,92.6,14.4,63.38450018719581,9.0,33.9,72.445
U0272,2024,38.4,66.0,,,,28.0,
U0273,2024,38.3,28.5,21.1,29.48333957319356,16.0,30.1,43.06
U0274,2024,38.3,13.2,26.1,16.959940097341818,16.0,26.2,36.285
U0275,2024,38.2,53.5,14.7,61.25046798951704,27.0,19.4,52.185
U0276,2024,38.2,48.8,,,,38.2,
U0277,2024,38.2,31.3,,,,35.0,
U0278,2024,38.1,59.6,16.9,48.221639835267695,17.0,41.3,54.005
U0279,2024,38.1,18.2,,,,23.3,
U0280,2024,38.0,98.1,11.8,77.51778360164732,9.0,13.6,74.77
U0281,2024,37.9,19.4,,,,32.8,
U0282,2024,37.9,31.8,16.3,51.535005615874205,25.0,25.9,42.945
U0283,2024,37.5,2.9,,,,65.6,
U0284,2024,37.3,98.8,,,,9.3,
U0285,2024,37.2,22.3,21.2,29.14638712092849,12.0,31.2,37.405
U0286,2024,37.2,4.1,,,,33.5,
U0287,2024,37.2,29.3,28.7,13.084986896293527,17.0,35.2,49.605
U0288,2024,37.2,43.4,13.9,65.87420441782103,31.0,19.8,53.205
U0289,2024,37.2,39.6,21.8,27.293148633470608,7.0,52.8,48.795
U0290,2024,37.2,55.2,16.3,51.535005615874205,33.0,19.7,56.155
U0291,2024,37.1,86.5,28.5,13.290902283788842,24.0,13.9,69.325
U0292,2024,37.1,28.3,13.0,71.19056533133659,11.0,31.6,44.235
U0293,2024,37.0,38.8,,,,37.3,
U0294,2024,37.0,59.8,22.5,24.990640209659297,31.0,16.0,57.86
U0295,2024,36.9,89.5,,,,19.0,
U0296,2024,36.7,61.9,25.7,17.87719955073006,7.0,26.1,57.81
U0297,2024,36.6,29.1,,,,37.3,
U0298,2024,36.5,1.4,6.6,96.1437663796331,18.0,36.2,21.45
U0299,2024,36.5,27.9,16.8,48.68962935230251,21.0,23.1,44.155
U0300,2024,36.4,99.9,15.5,56.34593785099214,4.0,20.4,79.29500000000002
U0301,2024,36.3,14.0,10.1,85.62336203669038,18.0,29.3,39.825
U0302,2024,35.9,82.0,13.4,68.43878697117185,8.0,23.2,66.875
U0303,2024,35.9,87.0,16.9,48.221639835267695,18.0,27.8,72.39500000000001
U0304,2024,35.8,45.4,14.9,59.86521901909397,15.0,18.5,54.215
U0305,2024,35.8,7.8,,,,61.9,
U0306,2024,35.7,53.2,14.9,59.86521901909397,12.0,19.9,57.78
U0307,2024,35.5,40.7,16.2,52.09659303631599,26.0,37.5,58.41
U0308,2024,35.3,1.5,,,,37.1,
U0309,2024,35.2,15.9,,,,43.2,
U0310,2024,35.2,9.3,,,,20.3,
U0311,2024,35.1,63.4,15.9,54.26806439535754,11.0,26.7,58.175
U0312,2024,35.0,5.5,8.8,90.88356420816174,11.0,37.8,26.275
U0313,2024,35.0,24.9,26.5,16.15499812804193,13.0,17.7,39.365
U0314,2024,34.9,55.2,,,,23.1,
U0315,2024,34.8,93.6,20.3,32.590789966304754,1.0,17.3,66.925
U0316,2024,34.7,2.1,15.6,55.80307001123175,32.0,24.4,20.415
U0317,2024,34.7,88.2,,,,16.6,
U0318,2024,34.7,29.2,10.9,81.50505428678397,12.0,25.8,45.615
U0319,2024,34.6,36.6,26.8,15.57469112691876,31.0,24.0,48.535
U0320,2024,34.4,34.9,16.5,50.33695245226507,8.0,36.1,54.275
U0321,2024,34.2,1.4,,,,34.4,
U0322,2024,34.2,76.0,20.3,32.590789966304754,6.0,21.3,53.225
U0323,2024,34.2,11.4,,,,31.3,
U0324,2024,34.1,39.3,10.4,84.06963684013478,14.0,19.0,48.665
U0325,2024,34.1,49.3,,,,20.2,
U0326,2024,34.0,99.9,6.3,96.63047547734932,4.0,10.5,69.775
U0327,2024,34.0,17.0,25.8,17.63384500187196,14.0,27.0,32.56
U0328,2024,33.8,15.1,17.6,44.5900411830775,30.0,23.2,37.79
U0329,2024,33.8,12.8,,,,36.2,
U0330,2024,33.8,25.9,23.8,21.86447023586672,1.0,38.1,28.58
U0331,2024,33.7,49.5,15.2,57.88094346686634,5.0,31.8,54.425
U0332,2024,24.1,16.7,10.9,81.50505428678397,60.0,15.9,38.63
U0333,2024,33.6,58.7,,,,17.2,
U0334,2024,33.5,41.7,18.4,40.69636840134781,17.0,44.7,46.67
U0335,2024,33.4,93.8,,,,19.4,
U0336,2024,33.3,51.8,29.4,12.354923249719208,33.0,13.5,52.71
U0337,2024,33.3,97.6,31.6,9.865219019093974,14.0,6.4,74.81
U0338,2024,33.3,98.5,15.9,54.26806439535754,5.0,20.4,76.78
U0339,2024,33.3,1.9,11.1,80.88730812429802,0.0,36.3,15.79
U0340,2024,33.2,57.0,18.1,42.41856982403595,21.0,11.1,50.81
U0341,2024,33.2,31.9,30.2,11.119430924747286,17.0,21.3,46.265
U0342,2024,33.0,46.5,17.9,43.20479221265444,40.0,11.1,48.05
U0343,2024,33.0,99.9,21.8,27.293148633470608,2.0,11.5,72.625
U0344,2024,32.9,97.6,,,,18.8,
U0345,2024,32.9,45.7,10.5,83.60164732309995,16.0,16.9,52.405
U0346,2024,32.9,59.4,20.8,30.381879445900417,8.0,15.1,58.155
U0347,2024,32.8,55.1,32.2,9.09771621115687,21.0,14.7,57.78
U0348,2024,32.8,65.1,,,,36.6,
U0349,2024,32.6,62.5,,,,17.0,
U0350,2024,32.5,3.0,30.9,10.50168476226132,5.0,45.8,22.65
U0351,2024,32.5,2.8,42.6,3.257207038562337,32.0,16.8,25.105
U0352,2024,32.4,31.2,19.5,36.09135155372519,45.0,20.8,42.945
U0353,2024,32.3,14.5,,,,20.4,
U0354,2024,32.2,15.5,22.1,26.095095469861477,6.0,23.9,32.379999999999995
U0355,2024,32.1,29.1,,,,33.4,
U0356,2024,32.1,49.8,18.4,40.69636840134781,15.0,29.4,48.26500000000001
U0357,2024,32.1,25.2,21.3,28.828154249344816,49.0,9.2,43.395
U0358,2024,32.0,10.8,9.0,90.00374391613629,12.0,22.9,37.075
U0359,2024,31.9,100.0,9.5,88.22538375140397,7.0,13.8,66.435
U0360,2024,31.9,1.6,,,,48.4,
U0361,2024,31.9,90.6,16.3,51.535005615874205,11.0,13.9,61.135000000000005
U0362,2024,31.7,21.9,9.2,89.25496068888057,4.0,18.6,32.105000000000004
U0363,2024,31.7,72.2,15.1,58.36765256458255,2.0,23.6,61.53
U0364,2024,31.7,22.6,29.1,12.748034444028455,28.0,22.7,39.955
U0365,2024,31.6,4.6,,,,36.3,
U0366,2024,31.6,23.3,,,,38.5,
U0367,2024,31.5,10.0,,,,31.6,
U0368,2024,31.4,4.7,8.9,90.49045301385247,5.0,44.1,22.205
U0369,2024,31.4,3.5,,,,32.9,
U0370,2024,31.4,79.1,26.6,15.930363159865225,2.0,20.6,59.555
U0371,2024,31.3,27.5,13.0,71.19056533133659,14.0,25.2,44.995000000000005
U0372,2024,31.3,52.1,14.5,62.67315612130289,33.0,8.2,47.285
U0373,2024,31.3,16.7,,,,31.8,
U0374,2024,31.3,33.3,29.5,12.092849120179704,6.0,41.5,44.98
U0375,2024,31.2,46.6,24.0,21.35904155746912,10.0,34.6,50.33
U0376,2024,31.2,29.3,15.7,55.29764133283415,6.0,27.8,44.76
U0377,2024,31.1,82.9,11.7,77.94833395731936,7.0,18.5,65.47500000000001
U0378,2024,31.1,1.6,,,,45.3,
U0379,2024,31.1,17.3,12.1,75.739423436915,16.0,36.6,34.905
U0380,2024,30.8,99.1,,,,4.9,
U0381,2024,30.8,45.7,18.0,42.83040059902659,27.0,15.4,47.83
U0382,2024,30.7,38.8,20.9,30.10108573567952,5.0,40.4,46.565
U0383,2024,30.6,100.0,13.1,70.46050168476225,1.0,10.0,67.305
U0384,2024,30.5,31.0,41.8,3.5005615874204365,21.0,19.9,45.42
U0385,2024,30.4,97.8,12.6,73.23099962560839,6.0,12.1,73.29
U0386,2024,30.4,9.9,,,,20.2,
U0387,2024,30.3,1.3,7.6,93.99101460127292,19.0,28.4,8.795
U0388,2024,30.2,23.9,,,,28.7,
U0389,2024,30.1,88.5,,,,3.3,
U0390,2024,30.1,75.0,,,,10.0,
U0391,2024,30.1,28.4,18.6,39.666791463871206,13.0,26.4,44.85
U0392,2024,30.0,29.4,18.5,40.24709846499438,19.0,27.6,40.625
U0393,2024,29.9,31.0,34.0,7.712467240733812,11.0,26.7,40.09
U0394,2024,29.9,65.3,24.2,20.74129539498315,12.0,17.7,63.375
U0395,2024,29.9,47.2,,,,31.3,
U0396,2024,29.7,24.6,,,,19.2,
U0397,2024,29.7,53.4,,,,20.3,
U0398,2024,29.7,76.9,18.9,38.169225009359785,15.0,10.8,66.33500000000001
U0399,2024,29.7,38.0,,,,17.0,
U0400,2024,29.7,73.1,24.8,19.35604642456009,15.0,8.8,60.305
U0401,2024,29.6,2.4,,,,23.6,
U0402,2024,29.6,32.4,19.5,36.09135155372519,9.0,24.3,44.36
U0403,2024,29.5,100.0,20.2,33.11493822538375,3.0,5.2,71.045
U0404,2024,29.5,51.2,34.4,7.450393111194309,23.0,14.3,52.14000000000001
U0405,2024,29.3,60.6,,,,7.4,
U0406,2024,29.3,1.2,12.4,74.11081991763385,5.0,27.8,6.385
U0407,2024,29.3,40.7,,,,6.1,
U0408,2024,29.1,57.1,12.5,73.66154998128043,41.0,10.0,52.735
U0409,2024,29.1,13.8,18.4,40.69636840134781,23.0,23.5,28.895000000000003
