country,year,indicator,value,category
Belgium,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),3.4,expenditure
Canada,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),3.3,expenditure
Chile,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),3.2,expenditure
Czech Republic,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),2.8,expenditure
Denmark,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),4.1,expenditure
Finland,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),3.5,expenditure
France,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),4.0,expenditure
Germany,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),2.9,expenditure
Greece,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),2.7,expenditure
Hungary,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),2.8,expenditure
Iceland,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),4.6,expenditure
Ireland,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),2.9,expenditure
Israel,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),4.5,expenditure
Italy,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),3.2,expenditure
Japan,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),2.7,expenditure
"Korea, Republic of",2000,Elementary and Secondary Institutions — Public expenditure (% GDP),3.3,expenditure
Mexico,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),3.3,expenditure
Netherlands,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),3.0,expenditure
New Zealand,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),4.6,expenditure
Norway,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),3.6,expenditure
Poland,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),3.7,expenditure
Portugal,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),4.1,expenditure
Slovak Republic,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),2.7,expenditure
Spain,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),3.1,expenditure
Sweden,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),4.4,expenditure
Switzerland,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),3.8,expenditure
Turkey,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),2.4,expenditure
United Kingdom,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),3.4,expenditure
United States,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),3.5,expenditure
Russia,2000,Elementary and Secondary Institutions — Public expenditure (% GDP),1.7,expenditure
OECD Average,2000,Higher Education Institutions — Public expenditure (% GDP),1.0,expenditure
Australia,2000,Higher Education Institutions — Public expenditure (% GDP),0.8,expenditure
Austria,2000,Higher Education Institutions — Public expenditure (% GDP),1.2,expenditure
Belgium,2000,Higher Education Institutions — Public expenditure (% GDP),1.2,expenditure
Canada,2000,Higher Education Institutions — Public expenditure (% GDP),1.6,expenditure
Chile,2000,Higher Education Institutions — Public expenditure (% GDP),0.6,expenditure
Czech Republic,2000,Higher Education Institutions — Public expenditure (% GDP),0.8,expenditure
Denmark,2000,Higher Education Institutions — Public expenditure (% GDP),1.5,expenditure
Finland,2000,Higher Education Institutions — Public expenditure (% GDP),1.7,expenditure
France,2000,Higher Education Institutions — Public expenditure (% GDP),1.0,expenditure
Germany,2000,Higher Education Institutions — Public expenditure (% GDP),1.0,expenditure
Greece,2000,Higher Education Institutions — Public expenditure (% GDP),0.9,expenditure
Hungary,2000,Higher Education Institutions — Public expenditure (% GDP),0.9,expenditure
Iceland,2000,Higher Education Institutions — Public expenditure (% GDP),0.8,expenditure
Ireland,2000,Higher Education Institutions — Public expenditure (% GDP),1.2,expenditure
Israel,2000,Higher Education Institutions — Public expenditure (% GDP),1.1,expenditure
Italy,2000,Higher Education Institutions — Public expenditure (% GDP),0.7,expenditure
Japan,2000,Higher Education Institutions — Public expenditure (% GDP),0.5,expenditure
"Korea, Republic of",2000,Higher Education Institutions — Public expenditure (% GDP),0.6,expenditure
Mexico,2000,Higher Education Institutions — Public expenditure (% GDP),0.8,expenditure
Netherlands,2000,Higher Education Institutions — Public expenditure (% GDP),1.0,expenditure
New Zealand,2000,Higher Education Institutions — Public expenditure (% GDP),0.9,expenditure
Norway,2000,Higher Education Institutions — Public expenditure (% GDP),1.2,expenditure
Poland,2000,Higher Education Institutions — Public expenditure (% GDP),0.8,expenditure
Portugal,2000,Higher Education Institutions — Public expenditure (% GDP),1.0,expenditure
Slovak Republic,2000,Higher Education Institutions — Public expenditure (% GDP),0.7,expenditure
Spain,2000,Higher Education Institutions — Public expenditure (% GDP),0.9,expenditure
Sweden,2000,Higher Education Institutions — Public expenditure (% GDP),1.5,expenditure
Switzerland,2000,Higher Education Institutions — Public expenditure (% GDP),1.2,expenditure
Turkey,2000,Higher Education Institutions — Public expenditure (% GDP),1.0,expenditure
United Kingdom,2000,Higher Education Institutions — Public expenditure (% GDP),0.7,expenditure
United States,2000,Higher Education Institutions — Public expenditure (% GDP),0.8,expenditure
Russia,2000,Higher Education Institutions — Public expenditure (% GDP),0.5,expenditure
OECD Average,2005,All Institutions — Public expenditure (% GDP),5.0,expenditure
Australia,2005,All Institutions — Public expenditure (% GDP),4.3,expenditure
Austria,2005,All Institutions — Public expenditure (% GDP),5.2,expenditure
Belgium,2005,All Institutions — Public expenditure (% GDP),5.8,expenditure
Canada,2005,All Institutions — Public expenditure (% GDP),4.8,expenditure
Chile,2005,All Institutions — Public expenditure (% GDP),3.3,expenditure
Czech Republic,2005,All Institutions — Public expenditure (% GDP),4.1,expenditure
Denmark,2005,All Institutions — Public expenditure (% GDP),6.8,expenditure
Estonia,2005,All Institutions — Public expenditure (% GDP),4.7,expenditure
Finland,2005,All Institutions — Public expenditure (% GDP),5.9,expenditure
France,2005,All Institutions — Public expenditure (% GDP),5.6,expenditure
Germany,2005,All Institutions — Public expenditure (% GDP),4.2,expenditure
Greece,2005,All Institutions — Public expenditure (% GDP),4.0,expenditure
Hungary,2005,All Institutions — Public expenditure (% GDP),5.1,expenditure
Iceland,2005,All Institutions — Public expenditure (% GDP),7.2,expenditure
Ireland,2005,All Institutions — Public expenditure (% GDP),4.3,expenditure
Israel,2005,All Institutions — Public expenditure (% GDP),6.2,expenditure
Italy,2005,All Institutions — Public expenditure (% GDP),4.3,expenditure
Japan,2005,All Institutions — Public expenditure (% GDP),3.4,expenditure
"Korea, Republic of",2005,All Institutions — Public expenditure (% GDP),4.3,expenditure
Mexico,2005,All Institutions — Public expenditure (% GDP),5.3,expenditure
Netherlands,2005,All Institutions — Public expenditure (% GDP),4.6,expenditure
New Zealand,2005,All Institutions — Public expenditure (% GDP),5.2,expenditure
Norway,2005,All Institutions — Public expenditure (% GDP),5.7,expenditure
Poland,2005,All Institutions — Public expenditure (% GDP),5.4,expenditure
Portugal,2005,All Institutions — Public expenditure (% GDP),5.3,expenditure
Slovak Republic,2005,All Institutions — Public expenditure (% GDP),3.7,expenditure
Slovenia,2005,All Institutions — Public expenditure (% GDP),5.3,expenditure
Spain,2005,All Institutions — Public expenditure (% GDP),4.1,expenditure
Sweden,2005,All Institutions — Public expenditure (% GDP),6.2,expenditure
Switzerland,2005,All Institutions — Public expenditure (% GDP),5.6,expenditure
United Kingdom,2005,All Institutions — Public expenditure (% GDP),5.0,expenditure
United States,2005,All Institutions — Public expenditure (% GDP),4.9,expenditure
Brazil,2005,All Institutions — Public expenditure (% GDP),4.4,expenditure
Russia,2005,All Institutions — Public expenditure (% GDP),3.8,expenditure
OECD Average,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),3.5,expenditure
Australia,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),3.4,expenditure
Austria,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),3.5,expenditure
Belgium,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),3.9,expenditure
Canada,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),3.3,expenditure
Chile,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),2.7,expenditure
Czech Republic,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),2.7,expenditure
Denmark,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),4.4,expenditure
Estonia,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),3.5,expenditure
Finland,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),3.8,expenditure
France,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),3.8,expenditure
Germany,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),2.8,expenditure
Greece,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),2.5,expenditure
Hungary,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),3.3,expenditure
Iceland,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),5.2,expenditure
Ireland,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),3.3,expenditure
Israel,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),4.2,expenditure
Italy,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),3.2,expenditure
Japan,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),2.6,expenditure
"Korea, Republic of",2005,Elementary and Secondary Institutions — Public expenditure (% GDP),3.4,expenditure
Luxembourg,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),3.7,expenditure
Mexico,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),3.7,expenditure
Netherlands,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),3.3,expenditure
New Zealand,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),4.0,expenditure
Norway,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),3.8,expenditure
Poland,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),3.7,expenditure
Portugal,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),3.8,expenditure
Slovak Republic,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),2.5,expenditure
Slovenia,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),3.9,expenditure
Spain,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),2.7,expenditure
Sweden,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),4.2,expenditure
Switzerland,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),3.9,expenditure
United Kingdom,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),3.8,expenditure
United States,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),3.6,expenditure
Brazil,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),3.3,expenditure
Russia,2005,Elementary and Secondary Institutions — Public expenditure (% GDP),1.9,expenditure
OECD Average,2005,Higher Education Institutions — Public expenditure (% GDP),1.0,expenditure
Australia,2005,Higher Education Institutions — Public expenditure (% GDP),0.8,expenditure
Austria,2005,Higher Education Institutions — Public expenditure (% GDP),1.2,expenditure
Belgium,2005,Higher Education Institutions — Public expenditure (% GDP),1.2,expenditure
Canada,2005,Higher Education Institutions — Public expenditure (% GDP),1.5,expenditure
Chile,2005,Higher Education Institutions — Public expenditure (% GDP),0.3,expenditure
Czech Republic,2005,Higher Education Institutions — Public expenditure (% GDP),0.8,expenditure
Denmark,2005,Higher Education Institutions — Public expenditure (% GDP),1.6,expenditure
Estonia,2005,Higher Education Institutions — Public expenditure (% GDP),0.9,expenditure
Finland,2005,Higher Education Institutions — Public expenditure (% GDP),1.7,expenditure
France,2005,Higher Education Institutions — Public expenditure (% GDP),1.1,expenditure
Germany,2005,Higher Education Institutions — Public expenditure (% GDP),0.9,expenditure
Greece,2005,Higher Education Institutions — Public expenditure (% GDP),1.4,expenditure
Hungary,2005,Higher Education Institutions — Public expenditure (% GDP),0.9,expenditure
Iceland,2005,Higher Education Institutions — Public expenditure (% GDP),1.1,expenditure
Ireland,2005,Higher Education Institutions — Public expenditure (% GDP),1.0,expenditure
Israel,2005,Higher Education Institutions — Public expenditure (% GDP),1.0,expenditure
Italy,2005,Higher Education Institutions — Public expenditure (% GDP),0.6,expenditure
Japan,2005,Higher Education Institutions — Public expenditure (% GDP),0.5,expenditure
"Korea, Republic of",2005,Higher Education Institutions — Public expenditure (% GDP),0.6,expenditure
Mexico,2005,Higher Education Institutions — Public expenditure (% GDP),0.9,expenditure
Netherlands,2005,Higher Education Institutions — Public expenditure (% GDP),1.0,expenditure
New Zealand,2005,Higher Education Institutions — Public expenditure (% GDP),0.9,expenditure
Norway,2005,Higher Education Institutions — Public expenditure (% GDP),1.3,expenditure
Poland,2005,Higher Education Institutions — Public expenditure (% GDP),1.2,expenditure
Portugal,2005,Higher Education Institutions — Public expenditure (% GDP),0.9,expenditure
Slovak Republic,2005,Higher Education Institutions — Public expenditure (% GDP),0.7,expenditure
Slovenia,2005,Higher Education Institutions — Public expenditure (% GDP),1.0,expenditure
Spain,2005,Higher Education Institutions — Public expenditure (% GDP),0.9,expenditure
Sweden,2005,Higher Education Institutions — Public expenditure (% GDP),1.5,expenditure
Switzerland,2005,Higher Education Institutions — Public expenditure (% GDP),1.4,expenditure
United Kingdom,2005,Higher Education Institutions — Public expenditure (% GDP),0.9,expenditure
United States,2005,Higher Education Institutions — Public expenditure (% GDP),1.0,expenditure
Brazil,2005,Higher Education Institutions — Public expenditure (% GDP),0.8,expenditure
Russia,2005,Higher Education Institutions — Public expenditure (% GDP),0.8,expenditure
OECD Average,2009,All Institutions — Public expenditure (% GDP),5.4,expenditure
Australia,2009,All Institutions — Public expenditure (% GDP),4.5,expenditure
Austria,2009,All Institutions — Public expenditure (% GDP),5.7,expenditure
Belgium,2009,All Institutions — Public expenditure (% GDP),6.4,expenditure
Canada,2009,All Institutions — Public expenditure (% GDP),5.0,expenditure
Chile,2009,All Institutions — Public expenditure (% GDP),4.1,expenditure
Czech Republic,2009,All Institutions — Public expenditure (% GDP),4.2,expenditure
Denmark,2009,All Institutions — Public expenditure (% GDP),7.5,expenditure
Estonia,2009,All Institutions — Public expenditure (% GDP),5.9,expenditure
Finland,2009,All Institutions — Public expenditure (% GDP),6.3,expenditure
France,2009,All Institutions — Public expenditure (% GDP),5.8,expenditure
Germany,2009,All Institutions — Public expenditure (% GDP),4.5,expenditure
Hungary,2009,All Institutions — Public expenditure (% GDP),4.8,expenditure
Iceland,2009,All Institutions — Public expenditure (% GDP),7.3,expenditure
Ireland,2009,All Institutions — Public expenditure (% GDP),6.0,expenditure
Israel,2009,All Institutions — Public expenditure (% GDP),5.8,expenditure
Italy,2009,All Institutions — Public expenditure (% GDP),4.5,expenditure
Japan,2009,All Institutions — Public expenditure (% GDP),3.6,expenditure
"Korea, Republic of",2009,All Institutions — Public expenditure (% GDP),4.9,expenditure
Mexico,2009,All Institutions — Public expenditure (% GDP),5.0,expenditure
Netherlands,2009,All Institutions — Public expenditure (% GDP),5.3,expenditure
New Zealand,2009,All Institutions — Public expenditure (% GDP),6.1,expenditure
Norway,2009,All Institutions — Public expenditure (% GDP),6.1,expenditure
Poland,2009,All Institutions — Public expenditure (% GDP),5.0,expenditure
Portugal,2009,All Institutions — Public expenditure (% GDP),5.5,expenditure
Slovak Republic,2009,All Institutions — Public expenditure (% GDP),4.1,expenditure
Slovenia,2009,All Institutions — Public expenditure (% GDP),5.3,expenditure
Spain,2009,All Institutions — Public expenditure (% GDP),4.9,expenditure
Sweden,2009,All Institutions — Public expenditure (% GDP),6.6,expenditure
Switzerland,2009,All Institutions — Public expenditure (% GDP),5.5,expenditure
United Kingdom,2009,All Institutions — Public expenditure (% GDP),5.3,expenditure
United States,2009,All Institutions — Public expenditure (% GDP),5.3,expenditure
Brazil,2009,All Institutions — Public expenditure (% GDP),5.5,expenditure
Russia,2009,All Institutions — Public expenditure (% GDP),4.7,expenditure
OECD Average,2009,Elementary and Secondary Institutions — Public expenditure (% GDP),3.7,expenditure
Australia,2009,Elementary and Secondary Institutions — Public expenditure (% GDP),3.6,expenditure
Austria,2009,Elementary and Secondary Institutions — Public expenditure (% GDP),3.8,expenditure
Belgium,2009,Elementary and Secondary Institutions — Public expenditure (% GDP),4.3,expenditure
Canada,2009,Elementary and Secondary Institutions — Public expenditure (% GDP),3.4,expenditure
Chile,2009,Elementary and Secondary Institutions — Public expenditure (% GDP),3.3,expenditure
Czech Republic,2009,Elementary and Secondary Institutions — Public expenditure (% GDP),2.6,expenditure
Denmark,2009,Elementary and Secondary Institutions — Public expenditure (% GDP),4.7,expenditure
Estonia,2009,Elementary and Secondary Institutions — Public expenditure (% GDP),4.1,expenditure
Finland,2009,Elementary and Secondary Institutions — Public expenditure (% GDP),4.1,expenditure
France,2009,Elementary and Secondary Institutions — Public expenditure (% GDP),3.8,expenditure
Germany,2009,Elementary and Secondary Institutions — Public expenditure (% GDP),2.9,expenditure
Hungary,2009,Elementary and Secondary Institutions — Public expenditure (% GDP),3.0,expenditure
Iceland,2009,Elementary and Secondary Institutions — Public expenditure (% GDP),5.0,expenditure
Ireland,2009,Elementary and Secondary Institutions — Public expenditure (% GDP),4.6,expenditure
Israel,2009,Elementary and Secondary Institutions — Public expenditure (% GDP),3.8,expenditure
Italy,2009,Elementary and Secondary Institutions — Public expenditure (% GDP),3.3,expenditure
Japan,2009,Elementary and Secondary Institutions — Public expenditure (% GDP),2.7,expenditure
"Korea, Republic of",2009,Elementary and Secondary Institutions — Public expenditure (% GDP),3.6,expenditure
Luxembourg,2009,Elementary and Secondary Institutions — Public expenditure (% GDP),3.2,expenditure
Mexico,2009,Elementary and Secondary Institutions — Public expenditure (% GDP),3.3,expenditure
Netherlands,2009,Elementary and Secondary Institutions — Public expenditure (% GDP),3.7,expenditure
New Zealand,2009,Elementary and Secondary Institutions — Public expenditure (% GDP),4.5,expenditure
Norway,2009,Elementary and Secondary Institutions — Public expenditure (% GDP),4.2,expenditure
Poland,2009,Elementary and Secondary Institutions — Public expenditure (% GDP),3.5,expenditure
Portugal,2009,Elementary and Secondary Institutions — Public expenditure (% GDP),4.0,expenditure
